year,bula_h,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,No,0.94619,257,257,0.91855,0.97383
1999,Hamburg,No,0.93477,118,118,0.89003,0.97952
1999,Lower Saxony,Yes,0.10737,93,1027,0.08843,0.12632
1999,Lower Saxony,No,0.89263,934,1027,0.87368,0.91157
1999,Bremen,No,0.94982,78,78,0.90106,0.99859
1999,North Rhine-Westphalia,Yes,0.13269,256,2360,0.11900,0.14638
1999,North Rhine-Westphalia,No,0.86731,2104,2360,0.85362,0.88100
1999,Hesse,Yes,0.09469,58,789,0.07425,0.11514
1999,Hesse,No,0.90531,731,789,0.88486,0.92575
1999,"Rhineland-Palatinate, Saarland",Yes,0.04983,34,678,0.03344,0.06622
1999,"Rhineland-Palatinate, Saarland",No,0.95017,644,678,0.93378,0.96656
1999,Baden-Wuerttemberg,Yes,0.09464,116,1552,0.08007,0.10921
1999,Baden-Wuerttemberg,No,0.90536,1436,1552,0.89079,0.91993
1999,Bavaria,Yes,0.13317,187,1563,0.11632,0.15002
1999,Bavaria,No,0.86683,1376,1563,0.84998,0.88368
1999,Berlin,No,0.95370,425,425,0.93369,0.97370
1999,Brandenburg,No,0.94992,545,545,0.93159,0.96825
1999,Mecklenburg-Western Pomerania,No,0.97122,354,354,0.95378,0.98866
1999,Saxony,Yes,0.05411,60,1098,0.04072,0.06750
1999,Saxony,No,0.94589,1038,1098,0.93250,0.95928
1999,Saxony-Anhalt,Yes,0.05137,31,665,0.03458,0.06816
1999,Saxony-Anhalt,No,0.94863,634,665,0.93184,0.96542
1999,Thuringa,No,0.97485,669,669,0.96298,0.98672
2000,Schleswig-Holstein,Yes,0.07780,47,584,0.05606,0.09955
2000,Schleswig-Holstein,No,0.92220,537,584,0.90045,0.94394
2000,Hamburg,No,0.93945,237,237,0.90902,0.96988
2000,Lower Saxony,Yes,0.09772,165,1794,0.08398,0.11146
2000,Lower Saxony,No,0.90228,1629,1794,0.88854,0.91602
2000,Bremen,No,0.93564,165,165,0.89808,0.97320
2000,North Rhine-Westphalia,Yes,0.13704,585,4472,0.12696,0.14712
2000,North Rhine-Westphalia,No,0.86296,3887,4472,0.85288,0.87304
2000,Hesse,Yes,0.09195,121,1467,0.07716,0.10674
2000,Hesse,No,0.90805,1346,1467,0.89326,0.92284
2000,"Rhineland-Palatinate, Saarland",Yes,0.06867,81,1277,0.05480,0.08255
2000,"Rhineland-Palatinate, Saarland",No,0.93133,1196,1277,0.91745,0.94520
2000,Baden-Wuerttemberg,Yes,0.11651,264,2584,0.10414,0.12888
2000,Baden-Wuerttemberg,No,0.88349,2320,2584,0.87112,0.89586
2000,Bavaria,Yes,0.11886,333,2865,0.10701,0.13071
2000,Bavaria,No,0.88114,2532,2865,0.86929,0.89299
2000,Berlin,Yes,0.06399,50,708,0.04595,0.08203
2000,Berlin,No,0.93601,658,708,0.91797,0.95405
2000,Brandenburg,Yes,0.03948,44,962,0.02717,0.05179
2000,Brandenburg,No,0.96052,918,962,0.94821,0.97283
2000,Mecklenburg-Western Pomerania,No,0.96977,510,510,0.95489,0.98464
2000,Saxony,Yes,0.04501,66,1660,0.03504,0.05499
2000,Saxony,No,0.95499,1594,1660,0.94501,0.96496
2000,Saxony-Anhalt,No,0.96579,985,985,0.95443,0.97715
2000,Thuringa,Yes,0.04506,44,998,0.03218,0.05793
2000,Thuringa,No,0.95494,954,998,0.94207,0.96782
2001,Schleswig-Holstein,Yes,0.08954,46,547,0.06559,0.11350
2001,Schleswig-Holstein,No,0.91046,501,547,0.88650,0.93441
2001,Hamburg,No,0.94444,207,207,0.91316,0.97572
2001,Lower Saxony,Yes,0.09998,153,1635,0.08543,0.11452
2001,Lower Saxony,No,0.90002,1482,1635,0.88548,0.91457
2001,Bremen,No,0.91501,135,135,0.86780,0.96223
2001,North Rhine-Westphalia,Yes,0.13396,505,4013,0.12342,0.14450
2001,North Rhine-Westphalia,No,0.86604,3508,4013,0.85550,0.87658
2001,Hesse,Yes,0.08603,105,1284,0.07069,0.10137
2001,Hesse,No,0.91397,1179,1284,0.89863,0.92931
2001,"Rhineland-Palatinate, Saarland",Yes,0.06722,75,1168,0.05285,0.08158
2001,"Rhineland-Palatinate, Saarland",No,0.93278,1093,1168,0.91842,0.94715
2001,Baden-Wuerttemberg,Yes,0.13658,262,2278,0.12248,0.15069
2001,Baden-Wuerttemberg,No,0.86342,2016,2278,0.84931,0.87752
2001,Bavaria,Yes,0.11697,292,2613,0.10464,0.12930
2001,Bavaria,No,0.88303,2321,2613,0.87070,0.89536
2001,Berlin,Yes,0.07556,58,691,0.05584,0.09528
2001,Berlin,No,0.92444,633,691,0.90472,0.94416
2001,Brandenburg,Yes,0.04839,43,903,0.03438,0.06239
2001,Brandenburg,No,0.95161,860,903,0.93761,0.96562
2001,Mecklenburg-Western Pomerania,No,0.97160,459,459,0.95638,0.98681
2001,Saxony,Yes,0.04496,74,1539,0.03460,0.05531
2001,Saxony,No,0.95504,1465,1539,0.94469,0.96540
2001,Saxony-Anhalt,Yes,0.03668,36,960,0.02478,0.04857
2001,Saxony-Anhalt,No,0.96332,924,960,0.95143,0.97522
2001,Thuringa,No,0.97406,882,882,0.96356,0.98455
2002,Schleswig-Holstein,Yes,0.08439,63,586,0.06186,0.10692
2002,Schleswig-Holstein,No,0.91561,523,586,0.89308,0.93814
2002,Hamburg,No,0.94105,236,236,0.91094,0.97117
2002,Lower Saxony,Yes,0.09996,197,1670,0.08557,0.11435
2002,Lower Saxony,No,0.90004,1473,1670,0.88565,0.91443
2002,Bremen,No,0.94154,142,142,0.90282,0.98027
2002,North Rhine-Westphalia,Yes,0.12958,589,4025,0.11920,0.13995
