year,bula_h,pgisced97,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,Upper Secondary Level,No,0.95128,156,156,0.91738,0.98517
1999,Hamburg,Upper Secondary Level,No,0.90595,64,64,0.83388,0.97803
1999,Lower Saxony,Primary Level,No,0.95410,34,34,0.88269,1.02550
1999,Lower Saxony,Lower Secondary Level,No,0.95673,218,218,0.92966,0.98380
1999,Lower Saxony,Upper Secondary Level,Yes,0.11832,51,531,0.09082,0.14581
1999,Lower Saxony,Upper Secondary Level,No,0.88168,480,531,0.85419,0.90918
1999,Lower Saxony,Post-secondary Non-tertiary Level,No,0.85586,52,52,0.75946,0.95226
1999,Lower Saxony,First Stage of Tertiary Education,No,0.92786,51,51,0.85614,0.99957
1999,Lower Saxony,Second Stage of Tertiary Education,No,0.79230,64,64,0.69213,0.89248
1999,Bremen,Upper Secondary Level,No,0.95844,43,43,0.89808,1.01880
1999,North Rhine-Westphalia,No answer / don't know,No,0.81643,57,57,0.71504,0.91783
1999,North Rhine-Westphalia,Pre-primary Level,No,0.92826,51,51,0.85674,0.99979
1999,North Rhine-Westphalia,Primary Level,No,0.97113,112,112,0.93998,1.00228
1999,North Rhine-Westphalia,Lower Secondary Level,No,0.95508,460,460,0.93613,0.97403
1999,North Rhine-Westphalia,Upper Secondary Level,Yes,0.12873,138,1183,0.10964,0.14783
1999,North Rhine-Westphalia,Upper Secondary Level,No,0.87127,1045,1183,0.85217,0.89036
1999,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.81871,105,105,0.74466,0.89275
1999,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.83310,107,107,0.76211,0.90409
1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.32029,52,219,0.25835,0.38223
1999,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.67971,167,219,0.61777,0.74165
1999,Hesse,Lower Secondary Level,No,0.97194,178,178,0.94762,0.99627
1999,Hesse,Upper Secondary Level,No,0.91774,353,353,0.88904,0.94645
1999,Hesse,Second Stage of Tertiary Education,No,0.79474,74,74,0.70208,0.88739
1999,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.97360,181,181,0.95018,0.99702
1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.94140,320,320,0.91562,0.96717
1999,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,No,0.88442,35,35,0.77695,0.99189
1999,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.99230,35,35,0.96293,1.02168
1999,Baden-Wuerttemberg,No answer / don't know,No,0.87274,38,38,0.76535,0.98012
1999,Baden-Wuerttemberg,Lower Secondary Level,No,0.93052,399,399,0.90554,0.95550
1999,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.09667,64,708,0.07489,0.11845
1999,Baden-Wuerttemberg,Upper Secondary Level,No,0.90333,644,708,0.88155,0.92511
1999,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.87082,54,54,0.78053,0.96112
1999,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.88488,66,66,0.80729,0.96248
1999,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.82882,83,83,0.74729,0.91035
1999,Bavaria,No answer / don't know,No,0.78151,32,32,0.63604,0.92697
1999,Bavaria,Lower Secondary Level,No,0.90556,323,323,0.87362,0.93750
1999,Bavaria,Upper Secondary Level,Yes,0.13897,103,823,0.11532,0.16261
1999,Bavaria,Upper Secondary Level,No,0.86103,720,823,0.83739,0.88468
1999,Bavaria,Post-secondary Non-tertiary Level,No,0.71882,44,44,0.58444,0.85320
1999,Bavaria,First Stage of Tertiary Education,No,0.87379,86,86,0.80319,0.94439
1999,Bavaria,Second Stage of Tertiary Education,No,0.84675,112,112,0.77973,0.91376
1999,Berlin,Lower Secondary Level,No,0.99187,55,55,0.96792,1.01582
1999,Berlin,Upper Secondary Level,No,0.96767,183,183,0.94197,0.99337
1999,Berlin,Second Stage of Tertiary Education,No,0.91570,114,114,0.86447,0.96693
1999,Brandenburg,Lower Secondary Level,No,0.98486,53,53,0.95167,1.01805
1999,Brandenburg,Upper Secondary Level,No,0.93790,290,290,0.91008,0.96573
