"ple0098_v5","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1999","(noch) kein Abschluss","maennlich","12","","",""
"Ja","1999","(noch) kein Abschluss","weiblich","17","","",""
"Ja","1999","Hauptschule","maennlich","148","","",""
"Ja","1999","Hauptschule","weiblich","159","","",""
"Ja","1999","Realschule","maennlich","109","","",""
"Ja","1999","Realschule","weiblich","196","","",""
"Ja","1999","(Fach-)Abitur","maennlich","39","0.118639319782176","0.0882518442369567","0.149026795327396"
"Ja","1999","(Fach-)Abitur","weiblich","60","0.142106020304154","0.112095780356127","0.172116260252181"
"Ja","1999","AkademikerIn","maennlich","97","0.158732386852435","0.133136683490367","0.184328090214503"
"Ja","1999","AkademikerIn","weiblich","75","0.140797867509975","0.115584252674921","0.166011482345029"
"Nein","1999","(noch) kein Abschluss","maennlich","310","0.94980937362588","0.925961498515768","0.973657248735992"
"Nein","1999","(noch) kein Abschluss","weiblich","391","0.945538510511389","0.923519267840168","0.967557753182609"
"Nein","1999","Hauptschule","maennlich","2601","","",""
"Nein","1999","Hauptschule","weiblich","2774","","",""
"Nein","1999","Realschule","maennlich","1209","","",""
"Nein","1999","Realschule","weiblich","1547","","",""
"Nein","1999","(Fach-)Abitur","maennlich","396","0.881360680217824","0.850973204672604","0.911748155763043"
"Nein","1999","(Fach-)Abitur","weiblich","460","0.857893979695846","0.827883739747819","0.887904219643872"
"Nein","1999","AkademikerIn","maennlich","686","0.841267613147565","0.815671909785497","0.866863316509633"
"Nein","1999","AkademikerIn","weiblich","656","0.859202132490025","0.833988517654971","0.884415747325079"
"Ja","2000","(noch) kein Abschluss","maennlich","19","","",""
"Ja","2000","(noch) kein Abschluss","weiblich","17","","",""
"Ja","2000","Hauptschule","maennlich","262","","",""
"Ja","2000","Hauptschule","weiblich","310","0.0639831206048559","0.0573952700587231","0.0705709711509888"
"Ja","2000","Realschule","maennlich","206","","",""
"Ja","2000","Realschule","weiblich","400","0.13930105372942","0.127483553978826","0.151118553480014"
"Ja","2000","(Fach-)Abitur","maennlich","105","","",""
"Ja","2000","(Fach-)Abitur","weiblich","126","","",""
"Ja","2000","AkademikerIn","maennlich","239","","",""
