"ple0098_v5","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1999","(noch) kein Abschluss","29","","",""
"Ja","1999","Hauptschule","307","0.0618844164815235","0.0556194853453373","0.0681493476177097"
"Ja","1999","Realschule","305","0.121765440148269","0.110180769019977","0.133350111276561"
"Ja","1999","(Fach-)Abitur","99","0.131008858453712","0.109609319777034","0.152408397130391"
"Ja","1999","AkademikerIn","172","0.150754326369847","0.132730926538573","0.168777726201121"
"Nein","1999","(noch) kein Abschluss","701","0.947451610322324","0.931265410930839","0.963637809713808"
"Nein","1999","Hauptschule","5375","0.938115583518477","0.93185065238229","0.944380514654663"
"Nein","1999","Realschule","2756","0.878234559851731","0.866649888723439","0.889819230980023"
"Nein","1999","(Fach-)Abitur","856","0.868991141546288","0.847591602869609","0.890390680222966"
"Nein","1999","AkademikerIn","1342","0.849245673630153","0.831222273798879","0.867269073461427"
"Ja","2000","(noch) kein Abschluss","36","0.0480497613776315","0.0334291705398651","0.0626703522153978"
"Ja","2000","Hauptschule","572","0.0607934661928745","0.0561291954677262","0.0654577369180228"
"Ja","2000","Realschule","606","0.121980312365269","0.113434069840648","0.130526554889889"
"Ja","2000","(Fach-)Abitur","231","0.120440353456522","0.106211538842168","0.134669168070875"
"Ja","2000","AkademikerIn","422","0.175188380514031","0.160973317295117","0.189403443732944"
"Nein","2000","(noch) kein Abschluss","786","0.951950238622368","0.937329647784602","0.966570829460135"
"Nein","2000","Hauptschule","9510","0.939206533807126","0.934542263081977","0.943870804532274"
"Nein","2000","Realschule","5027","0.878019687634731","0.86947344511011","0.886565930159352"
"Nein","2000","(Fach-)Abitur","1779","0.879559646543478","0.865330831929125","0.893788461157832"
"Nein","2000","AkademikerIn","2325","0.824811619485969","0.810596556267056","0.839026682704883"
"Ja","2001","(noch) kein Abschluss","36","0.0544714247066526","0.0383894612890288","0.0705533881242763"
"Ja","2001","Hauptschule","528","0.0636642289479234","0.0585860832455669","0.0687423746502799"
"Ja","2001","Realschule","545","0.120611085324944","0.111740522540974","0.129481648108914"
"Ja","2001","(Fach-)Abitur","228","0.127499549241603","0.112518170837787","0.142480927645418"
"Ja","2001","AkademikerIn","380","0.172284118549378","0.157650184696311","0.186918052402444"
"Nein","2001","(noch) kein Abschluss","729","0.945528575293347","0.929446611875724","0.961610538710971"
"Nein","2001","Hauptschule","8352","0.936335771052077","0.93125762534972","0.941413916754433"
"Nein","2001","Realschule","4633","0.879388914675056","0.870518351891086","0.888259477459026"
"Nein","2001","(Fach-)Abitur","1676","0.872500450758397","0.857519072354582","0.887481829162213"
"Nein","2001","AkademikerIn","2178","0.827715881450622","0.813081947597556","0.842349815303689"
"Ja","2002","(noch) kein Abschluss","46","0.0409781672901914","0.0270392803885791","0.0549170541918038"
"Ja","2002","Hauptschule","600","0.0700213499844949","0.0645665441511953","0.0754761558177946"
"Ja","2002","Realschule","706","0.132929227444187","0.123784882025508","0.142073572862867"
"Ja","2002","(Fach-)Abitur","291","0.129022491964103","0.114425460190668","0.143619523737538"
"Ja","2002","AkademikerIn","544","0.17562056830646","0.161709644496166","0.189531492116754"
"Nein","2002","(noch) kein Abschluss","731","0.959021832709808","0.945082945808196","0.972960719611421"
"Nein","2002","Hauptschule","7807","0.929978650015505","0.924523844182205","0.935433455848805"
"Nein","2002","Realschule","4589","0.867070772555813","0.857926427137133","0.876215117974492"
"Nein","2002","(Fach-)Abitur","1735","0.870977508035897","0.856380476262462","0.885574539809332"
"Nein","2002","AkademikerIn","2330","0.82437943169354","0.810468507883246","0.838290355503834"
"Ja","2003","(noch) kein Abschluss","49","0.05257056017942","0.0367247172925768","0.0684164030662633"
"Ja","2003","Hauptschule","580","0.0685035837823034","0.0629574107097608","0.074049756854846"
"Ja","2003","Realschule","667","0.13075714414148","0.121527086048085","0.139987202234875"
"Ja","2003","(Fach-)Abitur","297","0.128396069759967","0.113661042254588","0.143131097265346"
"Ja","2003","AkademikerIn","534","0.188806629479853","0.174224722364304","0.203388536595402"
"Nein","2003","(noch) kein Abschluss","713","0.94742943982058","0.931583596933737","0.963275282707423"
"Nein","2003","Hauptschule","7389","0.931496416217697","0.925950243145154","0.937042589290239"
"Nein","2003","Realschule","4458","0.86924285585852","0.860012797765125","0.878472913951915"
"Nein","2003","(Fach-)Abitur","1683","0.871603930240033","0.856868902734654","0.886338957745412"
"Nein","2003","AkademikerIn","2233","0.811193370520147","0.796611463404599","0.825775277635696"
"Ja","2004","(noch) kein Abschluss","52","0.0584527289874269","0.041718794067484","0.0751866639073698"
"Ja","2004","Hauptschule","596","0.0741322484985267","0.0682449040161761","0.0800195929808774"
"Ja","2004","Realschule","681","0.139594163373909","0.129973593156866","0.149214733590951"
"Ja","2004","(Fach-)Abitur","331","0.144982874965182","0.129490321005494","0.16047542892487"
"Ja","2004","AkademikerIn","563","0.200769594932297","0.185707400762469","0.215831789102124"
"Nein","2004","(noch) kein Abschluss","703","0.941547271012573","0.92481333609263","0.958281205932516"
"Nein","2004","Hauptschule","7011","0.925867751501473","0.919980407019123","0.931755095983824"
"Nein","2004","Realschule","4304","0.860405836626091","0.850785266409049","0.870026406843133"
"Nein","2004","(Fach-)Abitur","1653","0.855017125034818","0.83952457107513","0.870509678994506"
"Nein","2004","AkademikerIn","2154","0.799230405067703","0.784168210897876","0.814292599237531"
"Ja","2005","(noch) kein Abschluss","45","0.060128163289201","0.0430920476608282","0.0771642789175738"
"Ja","2005","Hauptschule","616","0.0866296436778422","0.080090346087718","0.0931689412679664"
"Ja","2005","Realschule","728","0.155117011101806","0.144810000242628","0.165424021960983"
"Ja","2005","(Fach-)Abitur","345","0.162784185509611","0.146258409894369","0.179309961124852"
"Ja","2005","AkademikerIn","557","0.200115057271369","0.184888035254014","0.215342079288724"
"Nein","2005","(noch) kein Abschluss","703","0.939871836710799","0.922835721082426","0.956907952339172"
"Nein","2005","Hauptschule","6492","0.913370356322158","0.906831058732034","0.919909653912282"
"Nein","2005","Realschule","4011","0.844882988898194","0.834575978039017","0.855189999757372"
"Nein","2005","(Fach-)Abitur","1572","0.837215814490389","0.820690038875148","0.853741590105631"
"Nein","2005","AkademikerIn","2095","0.799884942728631","0.784657920711276","0.815111964745986"
"Ja","2006","(noch) kein Abschluss","32","0.0710435568168215","0.0491518169523932","0.0929352966812498"
"Ja","2006","Hauptschule","767","0.092454652679054","0.0859439840774154","0.0989653212806927"
"Ja","2006","Realschule","906","0.176373071442607","0.165882897403965","0.18686324548125"
"Ja","2006","(Fach-)Abitur","424","0.187896774804939","0.171032239629","0.204761309980879"
"Ja","2006","AkademikerIn","704","0.234197387462733","0.218852617755296","0.24954215717017"
"Nein","2006","(noch) kein Abschluss","497","0.928956443183178","0.90706470331875","0.950848183047607"
"Nein","2006","Hauptschule","6837","0.907545347320946","0.901034678719307","0.914056015922585"
"Nein","2006","Realschule","4165","0.823626928557393","0.81313675451875","0.834117102596035"
"Nein","2006","(Fach-)Abitur","1637","0.812103225195061","0.795238690019122","0.828967760371"
"Nein","2006","AkademikerIn","2222","0.765802612537267","0.75045784282983","0.781147382244704"
"Ja","2007","(noch) kein Abschluss","30","0.0493873088393508","0.029735653637807","0.0690389640408946"
"Ja","2007","Hauptschule","769","0.105579578007045","0.0983193280792445","0.112839827934845"
"Ja","2007","Realschule","922","0.192149958410009","0.180981988313505","0.203317928506513"
"Ja","2007","(Fach-)Abitur","425","0.206343302446806","0.188377206994202","0.224309397899411"
"Ja","2007","AkademikerIn","735","0.253554428021335","0.237483403484686","0.269625452557985"
"Nein","2007","(noch) kein Abschluss","437","0.950612691160649","0.930961035959106","0.970264346362193"
"Nein","2007","Hauptschule","6113","0.894420421992955","0.887160172065155","0.901680671920756"
"Nein","2007","Realschule","3859","0.807850041589991","0.796682071493487","0.819018011686495"
"Nein","2007","(Fach-)Abitur","1524","0.793656697553194","0.775690602100589","0.811622793005798"
"Nein","2007","AkademikerIn","2080","0.746445571978664","0.730374547442015","0.762516596515314"
"Ja","2008","(noch) kein Abschluss","40","0.0887536384278025","0.0627934037039312","0.114713873151674"
"Ja","2008","Hauptschule","856","0.129406832255824","0.121212960341128","0.13760070417052"
"Ja","2008","Realschule","1006","0.218615302782683","0.206619249119081","0.230611356446286"
"Ja","2008","(Fach-)Abitur","440","0.229071023868667","0.209769776298929","0.248372271438406"
"Ja","2008","AkademikerIn","805","0.301696803769294","0.284498032765681","0.318895574772907"
"Nein","2008","(noch) kein Abschluss","421","0.911246361572198","0.885286126848326","0.937206596296069"
"Nein","2008","Hauptschule","5590","0.870593167744176","0.86239929582948","0.878787039658872"
"Nein","2008","Realschule","3554","0.781384697217317","0.769388643553714","0.793380750880919"
"Nein","2008","(Fach-)Abitur","1381","0.770928976131333","0.751627728561594","0.790230223701071"
"Nein","2008","AkademikerIn","1931","0.698303196230706","0.681104425227093","0.715501967234319"
"Ja","2009","(noch) kein Abschluss","","","",""
"Ja","2009","Hauptschule","","","",""
"Ja","2009","Realschule","","","",""
"Ja","2009","(Fach-)Abitur","","","",""
"Ja","2009","AkademikerIn","","","",""
"Nein","2009","(noch) kein Abschluss","","","",""
"Nein","2009","Hauptschule","","","",""
"Nein","2009","Realschule","","","",""
"Nein","2009","(Fach-)Abitur","","","",""
"Nein","2009","AkademikerIn","","","",""
"Ja","2010","(noch) kein Abschluss","65","0.0744247630200624","0.0547268372111143","0.0941226888290105"
"Ja","2010","Hauptschule","964","0.132904477866214","0.125027595117796","0.140781360614633"
"Ja","2010","Realschule","1386","0.234380059100154","0.22380926402341","0.244950854176899"
"Ja","2010","(Fach-)Abitur","666","0.255202629618908","0.238644009317151","0.271761249920665"
"Ja","2010","AkademikerIn","1093","0.324405209437405","0.309093367250479","0.339717051624331"
"Nein","2010","(noch) kein Abschluss","617","0.925575236979938","0.905877311170989","0.945273162788886"
"Nein","2010","Hauptschule","6171","0.867095522133786","0.859218639385367","0.874972404882204"
"Nein","2010","Realschule","4783","0.765619940899846","0.755049145823101","0.77619073597659"
"Nein","2010","(Fach-)Abitur","1997","0.744797370381092","0.728238750079335","0.761355990682849"
"Nein","2010","AkademikerIn","2498","0.675594790562595","0.660282948375669","0.690906632749521"
"Ja","2011","(noch) kein Abschluss","54","0.0801979133888652","0.0559511764014701","0.10444465037626"
"Ja","2011","Hauptschule","1003","0.148209319433526","0.139714867916431","0.15670377095062"
"Ja","2011","Realschule","1234","0.244525448665265","0.232516821526404","0.256534075804126"
"Ja","2011","(Fach-)Abitur","533","0.246315886566537","0.227741317582915","0.26489045555016"
"Ja","2011","AkademikerIn","987","0.334391206549176","0.317511999406976","0.351270413691376"
"Nein","2011","(noch) kein Abschluss","428","0.919802086611135","0.89555534962374","0.94404882359853"
"Nein","2011","Hauptschule","5718","0.851790680566474","0.84329622904938","0.860285132083569"
"Nein","2011","Realschule","3687","0.755474551334735","0.743465924195874","0.767483178473596"
"Nein","2011","(Fach-)Abitur","1534","0.753684113433463","0.73510954444984","0.772258682417085"
"Nein","2011","AkademikerIn","2014","0.665608793450824","0.648729586308624","0.682488000593024"
"Ja","2012","(noch) kein Abschluss","64","0.0714018776652782","0.0535251655148442","0.0892785898157121"
