year,age_gr,quintil_oecd,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,1st Quintile,Yes,0.10315,86,715,0.08084,0.12546
2009,17-29 y.,1st Quintile,No,0.83134,629,715,0.80387,0.85880
2009,17-29 y.,2nd Quintile,Yes,0.12668,62,492,0.09726,0.15610
2009,17-29 y.,2nd Quintile,No,0.78486,430,492,0.74852,0.82121
2009,17-29 y.,3rd Quintile,Yes,0.10723,62,553,0.08142,0.13304
2009,17-29 y.,3rd Quintile,No,0.83084,491,553,0.79956,0.86211
2009,17-29 y.,4th Quintile,Yes,0.09349,62,587,0.06992,0.11706
2009,17-29 y.,4th Quintile,No,0.85330,525,587,0.82465,0.88195
2009,17-29 y.,5th Quintile,Yes,0.09076,45,506,0.06571,0.11582
2009,17-29 y.,5th Quintile,No,0.85306,461,506,0.82218,0.88394
2009,30-45 y.,1st Quintile,Yes,0.18749,116,655,0.15757,0.21740
2009,30-45 y.,1st Quintile,No,0.81251,539,655,0.78260,0.84243
2009,30-45 y.,2nd Quintile,Yes,0.18250,133,839,0.15635,0.20866
2009,30-45 y.,2nd Quintile,No,0.81750,706,839,0.79134,0.84365
2009,30-45 y.,3rd Quintile,Yes,0.15431,149,973,0.13160,0.17702
2009,30-45 y.,3rd Quintile,No,0.84569,824,973,0.82298,0.86840
2009,30-45 y.,4th Quintile,Yes,0.14820,137,1044,0.12664,0.16976
2009,30-45 y.,4th Quintile,No,0.85180,907,1044,0.83024,0.87336
2009,30-45 y.,5th Quintile,Yes,0.15610,164,1163,0.13523,0.17696
2009,30-45 y.,5th Quintile,No,0.84390,999,1163,0.82304,0.86477
2009,46-65 y.,1st Quintile,Yes,0.24941,190,786,0.21915,0.27968
2009,46-65 y.,1st Quintile,No,0.75059,596,786,0.72032,0.78085
2009,46-65 y.,2nd Quintile,Yes,0.22404,152,787,0.19489,0.25319
2009,46-65 y.,2nd Quintile,No,0.77596,635,787,0.74681,0.80511
2009,46-65 y.,3rd Quintile,Yes,0.21105,234,1051,0.18637,0.23574
2009,46-65 y.,3rd Quintile,No,0.78895,817,1051,0.76426,0.81363
2009,46-65 y.,4th Quintile,Yes,0.23130,321,1407,0.20926,0.25335
2009,46-65 y.,4th Quintile,No,0.76870,1086,1407,0.74665,0.79074
2009,46-65 y.,5th Quintile,Yes,0.20398,484,2293,0.18748,0.22047
2009,46-65 y.,5th Quintile,No,0.79602,1809,2293,0.77953,0.81252
2009,66 and older,1st Quintile,Yes,0.26557,174,723,0.23335,0.29778
2009,66 and older,1st Quintile,No,0.73443,549,723,0.70222,0.76665
2009,66 and older,2nd Quintile,Yes,0.24483,244,1048,0.21878,0.27087
2009,66 and older,2nd Quintile,No,0.75517,804,1048,0.72913,0.78122
2009,66 and older,3rd Quintile,Yes,0.29873,240,857,0.26807,0.32939
2009,66 and older,3rd Quintile,No,0.70127,617,857,0.67061,0.73193
2009,66 and older,4th Quintile,Yes,0.33407,209,694,0.29895,0.36918
2009,66 and older,4th Quintile,No,0.66593,485,694,0.63082,0.70105
2009,66 and older,5th Quintile,Yes,0.30710,228,840,0.27589,0.33831
2009,66 and older,5th Quintile,No,0.69290,612,840,0.66169,0.72411
2011,17-29 y.,1st Quintile,Yes,0.09104,72,531,0.06655,0.11553
2011,17-29 y.,1st Quintile,No,0.63078,459,531,0.58969,0.67186
2011,17-29 y.,2nd Quintile,Yes,0.06852,43,424,0.04444,0.09259
2011,17-29 y.,2nd Quintile,No,0.66940,381,424,0.62457,0.71423
2011,17-29 y.,3rd Quintile,Yes,0.05375,34,479,0.03353,0.07397
2011,17-29 y.,3rd Quintile,No,0.81800,445,479,0.78341,0.85259
2011,17-29 y.,4th Quintile,Yes,0.10438,57,457,0.07632,0.13244
2011,17-29 y.,4th Quintile,No,0.79148,400,457,0.75419,0.82877
2011,17-29 y.,5th Quintile,Yes,0.07723,36,393,0.05080,0.10365
2011,17-29 y.,5th Quintile,No,0.85213,357,393,0.81699,0.88727
2011,30-45 y.,1st Quintile,Yes,0.09306,81,507,0.06774,0.11837
2011,30-45 y.,1st Quintile,No,0.41825,426,507,0.37527,0.46123
2011,30-45 y.,2nd Quintile,Yes,0.08460,80,661,0.06337,0.10583
2011,30-45 y.,2nd Quintile,No,0.59527,581,661,0.55782,0.63271
2011,30-45 y.,3rd Quintile,Yes,0.08847,93,786,0.06860,0.10833
