year,migback,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.17936,3093,15653,0.17335,0.18537
2009,No migration background,No,0.67761,12560,15653,0.67028,0.68493
2009,Direct migration background,Yes,0.17476,305,1659,0.15648,0.19304
2009,Direct migration background,No,0.80122,1354,1659,0.78201,0.82043
2009,Indirect migration background,Yes,0.07496,94,706,0.05553,0.09440
2009,Indirect migration background,No,0.45480,612,706,0.41804,0.49155
2011,No migration background,Yes,0.11928,2564,17940,0.11453,0.12402
2011,No migration background,No,0.67254,15376,17940,0.66567,0.67940
2011,Direct migration background,Yes,0.09840,236,2015,0.08539,0.11141
2011,Direct migration background,No,0.73092,1779,2015,0.71155,0.75029
2011,Indirect migration background,Yes,0.04480,91,790,0.03037,0.05924
2011,Indirect migration background,No,0.35483,699,790,0.32144,0.38821
2013,No migration background,Yes,0.11651,2405,16436,0.11160,0.12141
2013,No migration background,No,0.67500,14031,16436,0.66784,0.68216
2013,Direct migration background,Yes,0.07465,238,1730,0.06226,0.08704
2013,Direct migration background,No,0.42869,1492,1730,0.40536,0.45201
2013,Indirect migration background,Yes,0.02675,86,700,0.01479,0.03871
2013,Indirect migration background,No,0.21535,614,700,0.18488,0.24583
2015,No migration background,Yes,0.13278,2788,19063,0.12796,0.13760
2015,No migration background,No,0.72748,16275,19063,0.72116,0.73380
2015,Direct migration background,Yes,0.11187,502,4415,0.10257,0.12117
2015,Direct migration background,No,0.72436,3913,4415,0.71117,0.73754
2015,Indirect migration background,Yes,0.05626,207,1562,0.04483,0.06770
2015,Indirect migration background,No,0.42573,1355,1562,0.40120,0.45026
2017,No migration background,Yes,0.13822,3087,20158,0.13346,0.14298
2017,No migration background,No,0.72189,17071,20158,0.71571,0.72808
2017,Direct migration background,Yes,0.12108,590,4754,0.11181,0.13036
2017,Direct migration background,No,0.78316,4164,4754,0.77144,0.79487
2017,Indirect migration background,Yes,0.07674,245,1637,0.06384,0.08964
2017,Indirect migration background,No,0.43063,1392,1637,0.40663,0.45462
2019,No migration background,Yes,0.12850,2935,20183,0.12389,0.13312
2019,No migration background,No,0.73022,17248,20183,0.72410,0.73634
2019,Direct migration background,Yes,0.11778,424,3963,0.10775,0.12782
2019,Direct migration background,No,0.78213,3539,3963,0.76928,0.79499
2019,Indirect migration background,Yes,0.07264,192,1579,0.05984,0.08545
2019,Indirect migration background,No,0.44060,1387,1579,0.41611,0.46510
2021,No migration background,Yes,0.12402,1859,13142,0.11839,0.12966
2021,No migration background,No,0.72646,11283,13142,0.71884,0.73408
2021,Direct migration background,Yes,0.11234,520,5124,0.10369,0.12099
2021,Direct migration background,No,0.81201,4604,5124,0.80131,0.82270
2021,Indirect migration background,Yes,0.06129,123,936,0.04592,0.07667
2021,Indirect migration background,No,0.41494,813,936,0.38336,0.44652
