year,age_gr,bula_h,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Schleswig-Holstein,No,0.84285,74,74,0.75936,0.92634
2009,17-29 y.,Hamburg,No,0.78241,47,47,0.66317,0.90165
2009,17-29 y.,Lower Saxony,No,0.84704,199,199,0.79690,0.89718
2009,17-29 y.,North Rhine-Westphalia,Yes,0.09611,53,537,0.07116,0.12107
2009,17-29 y.,North Rhine-Westphalia,No,0.82582,484,537,0.79371,0.85793
2009,17-29 y.,Hesse,No,0.82818,160,160,0.76955,0.88682
2009,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.81861,146,146,0.75589,0.88133
2009,17-29 y.,Baden-Wuerttemberg,Yes,0.11777,41,401,0.08618,0.14936
2009,17-29 y.,Baden-Wuerttemberg,No,0.81229,360,401,0.77402,0.85056
2009,17-29 y.,Bavaria,Yes,0.09056,39,410,0.06274,0.11837
2009,17-29 y.,Bavaria,No,0.83099,371,410,0.79467,0.86731
2009,17-29 y.,Berlin,No,0.72093,101,101,0.63301,0.80884
2009,17-29 y.,Brandenburg,No,0.79333,88,88,0.70825,0.87842
2009,17-29 y.,Mecklenburg-Western Pomerania,No,0.90467,58,58,0.82842,0.98091
2009,17-29 y.,Saxony,Yes,0.10817,35,227,0.06768,0.14867
2009,17-29 y.,Saxony,No,0.86642,192,227,0.82207,0.91077
2009,17-29 y.,Saxony-Anhalt,No,0.90940,122,122,0.85826,0.96055
2009,17-29 y.,Thuringa,No,0.88860,122,122,0.83254,0.94466
2009,30-45 y.,Schleswig-Holstein,No,0.79687,88,88,0.71233,0.88142
2009,30-45 y.,Hamburg,No,0.66289,45,45,0.52321,0.80257
2009,30-45 y.,Lower Saxony,Yes,0.18055,70,453,0.14509,0.21601
2009,30-45 y.,Lower Saxony,No,0.81945,383,453,0.78399,0.85491
2009,30-45 y.,Bremen,No,0.81932,34,34,0.68805,0.95060
2009,30-45 y.,North Rhine-Westphalia,Yes,0.15034,136,1000,0.12818,0.17250
2009,30-45 y.,North Rhine-Westphalia,No,0.84966,864,1000,0.82750,0.87182
2009,30-45 y.,Hesse,Yes,0.15898,56,317,0.11866,0.19930
2009,30-45 y.,Hesse,No,0.84102,261,317,0.80070,0.88134
2009,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.20382,49,245,0.15327,0.25436
2009,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.79618,196,245,0.74564,0.84673
2009,30-45 y.,Baden-Wuerttemberg,Yes,0.11698,66,581,0.09083,0.14314
2009,30-45 y.,Baden-Wuerttemberg,No,0.88302,515,581,0.85686,0.90917
2009,30-45 y.,Bavaria,Yes,0.20379,132,724,0.17443,0.23316
2009,30-45 y.,Bavaria,No,0.79621,592,724,0.76684,0.82557
2009,30-45 y.,Berlin,No,0.86971,137,137,0.81313,0.92628
2009,30-45 y.,Brandenburg,Yes,0.16868,34,183,0.11427,0.22308
2009,30-45 y.,Brandenburg,No,0.83132,149,183,0.77692,0.88573
2009,30-45 y.,Mecklenburg-Western Pomerania,No,0.86148,97,97,0.79237,0.93058
