year,sampreg,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.17109,2657,13477,0.16473,0.17745
2009,West,No,0.66677,10820,13477,0.65881,0.67473
2009,East,Yes,0.16849,835,4541,0.15760,0.17938
2009,East,No,0.70094,3706,4541,0.68762,0.71426
2011,West,Yes,0.11075,2249,15840,0.10586,0.11564
2011,West,No,0.64958,13591,15840,0.64215,0.65701
2011,East,Yes,0.11428,642,4905,0.10537,0.12318
2011,East,No,0.68333,4263,4905,0.67031,0.69635
2013,West,Yes,0.10417,2141,14414,0.09918,0.10916
2013,West,No,0.59250,12273,14414,0.58448,0.60052
2013,East,Yes,0.10356,588,4452,0.09461,0.11251
2013,East,No,0.67722,3864,4452,0.66349,0.69096
2015,West,Yes,0.12366,2751,19787,0.11907,0.12825
2015,West,No,0.69732,17036,19787,0.69092,0.70372
2015,East,Yes,0.12329,746,5253,0.11439,0.13218
2015,East,No,0.72192,4507,5253,0.70980,0.73404
2017,West,Yes,0.13071,3119,20959,0.12614,0.13527
2017,West,No,0.70155,17840,20959,0.69536,0.70775
2017,East,Yes,0.12803,803,5590,0.11927,0.13679
2017,East,No,0.71442,4787,5590,0.70258,0.72626
2019,West,Yes,0.12206,2741,20103,0.11753,0.12658
2019,West,No,0.70711,17362,20103,0.70082,0.71340
2019,East,Yes,0.11841,782,5546,0.10991,0.12692
2019,East,No,0.72294,4764,5546,0.71116,0.73472
2021,West,Yes,0.11681,1977,15343,0.11173,0.12189
2021,West,No,0.70790,13366,15343,0.70070,0.71510
2021,East,Yes,0.11504,525,3859,0.10497,0.12511
2021,East,No,0.71340,3334,3859,0.69913,0.72767
