"plb0571","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","248","0.0420746520085916","0.0367363352781842","0.047412968738999"
"Ja, viele Personen","2015","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","414","0.0322330650872669","0.0290666781060681","0.0353994520684656"
"Ja, viele Personen","2015","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","63","0.0221087962739208","0.0168879647037266","0.027329627844115"
"Ja, viele Personen","2015","66 und älter","Westdeutschland, alte Bundeslaender","64","0.0213110922316674","0.0166374160912231","0.0259847683721116"
"Ja, viele Personen","2015","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1085","0.217755391470703","0.206780910593451","0.228729872347954"
"Ja, wenige Personen","2015","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","197","0.171431729257886","0.14942802064247","0.193435437873302"
"Ja, wenige Personen","2015","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2243","0.187765130667038","0.180763872607399","0.194766388726676"
"Ja, wenige Personen","2015","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","364","0.104477069702059","0.0936162973459768","0.115337842058141"
"Ja, wenige Personen","2015","66 und älter","Westdeutschland, alte Bundeslaender","485","0.122622829333223","0.112008018505973","0.133237640160474"
"Ja, wenige Personen","2015","66 und älter","Ostdeutschland, neue Bundeslaender","53","0.0457129311088573","0.0340548893466581","0.0573709728710565"
"Nein, weiss nicht","2015","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2069","0.38286742736391","0.369942096077194","0.395792758650626"
"Nein, weiss nicht","2015","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","458","0.423311912812021","0.39446582851365","0.452157997110391"
