"plb0571","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Hamburg","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Niedersachsen","33","0.0411193951382975","0.0261508231958383","0.0560879670807567"
"Ja, viele Personen","2015","16-34 Jahre alt","Bremen","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Nordrhein-Westfalen","64","0.0341570150105397","0.0248242610951992","0.0434897689258801"
"Ja, viele Personen","2015","16-34 Jahre alt","Hessen","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Baden-Wuerttemberg","40","0.0367934729152823","0.023805049935162","0.0497818958954026"
"Ja, viele Personen","2015","16-34 Jahre alt","Bayern","47","0.049542784828572","0.036577010787585","0.0625085588695591"
"Ja, viele Personen","2015","16-34 Jahre alt","Saarland","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Berlin","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Brandenburg","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Sachsen","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Ja, viele Personen","2015","16-34 Jahre alt","Thueringen","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Schleswig-Holstein","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Hamburg","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Niedersachsen","47","0.030223454946591","0.0212619287944717","0.0391849810987103"
"Ja, viele Personen","2015","35-65 Jahre alt","Bremen","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Nordrhein-Westfalen","122","0.0384026079720079","0.0316455995188946","0.0451596164251212"
"Ja, viele Personen","2015","35-65 Jahre alt","Hessen","48","0.0369957331547148","0.0258363761988683","0.0481550901105613"
"Ja, viele Personen","2015","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Baden-Wuerttemberg","56","0.0246737762119496","0.0175990863739565","0.0317484660499426"
"Ja, viele Personen","2015","35-65 Jahre alt","Bayern","80","0.031073474366601","0.0242826162741748","0.0378643324590273"
"Ja, viele Personen","2015","35-65 Jahre alt","Saarland","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Berlin","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Brandenburg","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Sachsen","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Ja, viele Personen","2015","35-65 Jahre alt","Thueringen","","","",""
"Ja, viele Personen","2015","66 und älter","Schleswig-Holstein","","","",""
"Ja, viele Personen","2015","66 und älter","Hamburg","","","",""
"Ja, viele Personen","2015","66 und älter","Niedersachsen","","","",""
"Ja, viele Personen","2015","66 und älter","Bremen","","","",""
"Ja, viele Personen","2015","66 und älter","Nordrhein-Westfalen","","","",""
"Ja, viele Personen","2015","66 und älter","Hessen","","","",""
"Ja, viele Personen","2015","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"Ja, viele Personen","2015","66 und älter","Baden-Wuerttemberg","","","",""
"Ja, viele Personen","2015","66 und älter","Bayern","","","",""
"Ja, viele Personen","2015","66 und älter","Saarland","","","",""
"Ja, viele Personen","2015","66 und älter","Berlin","","","",""
"Ja, viele Personen","2015","66 und älter","Brandenburg","","","",""
"Ja, viele Personen","2015","66 und älter","Mecklenburg-Vorpommern","","","",""
"Ja, viele Personen","2015","66 und älter","Sachsen","","","",""
"Ja, viele Personen","2015","66 und älter","Sachsen-Anhalt","","","",""
"Ja, viele Personen","2015","66 und älter","Thueringen","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","Schleswig-Holstein","65","0.30702084501468","0.248172248954615","0.365869441074745"
"Ja, wenige Personen","2015","16-34 Jahre alt","Hamburg","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","Niedersachsen","146","0.240316990342456","0.208107549316041","0.272526431368871"
"Ja, wenige Personen","2015","16-34 Jahre alt","Bremen","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","Nordrhein-Westfalen","303","0.202807543115057","0.182147071226538","0.223468015003575"
"Ja, wenige Personen","2015","16-34 Jahre alt","Hessen","94","0.265095977524259","0.224848007167087","0.30534394788143"
"Ja, wenige Personen","2015","16-34 Jahre alt","Rheinland-Pfalz,Saarland","48","0.191496477092099","0.148317325762238","0.23467562842196"
"Ja, wenige Personen","2015","16-34 Jahre alt","Baden-Wuerttemberg","137","0.207673154767463","0.17968632609405","0.235659983440877"
"Ja, wenige Personen","2015","16-34 Jahre alt","Bayern","199","0.19403519207941","0.170406469286972","0.217663914871849"
"Ja, wenige Personen","2015","16-34 Jahre alt","Saarland","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","Berlin","73","0.228783870214317","0.179406671656932","0.278161068771702"
"Ja, wenige Personen","2015","16-34 Jahre alt","Brandenburg","33","0.213756252147218","0.152843042711913","0.274669461582522"
"Ja, wenige Personen","2015","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","Sachsen","55","0.169819903601778","0.129309033182916","0.21033077402064"
"Ja, wenige Personen","2015","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","Thueringen","34","0.12660400926505","0.0818420088351398","0.17136600969496"
"Ja, wenige Personen","2015","35-65 Jahre alt","Schleswig-Holstein","115","0.303313430405847","0.262232516883854","0.34439434392784"
"Ja, wenige Personen","2015","35-65 Jahre alt","Hamburg","49","0.221408330679742","0.168659666300835","0.274156995058649"
"Ja, wenige Personen","2015","35-65 Jahre alt","Niedersachsen","276","0.207091650792066","0.185880370901294","0.228302930682838"
"Ja, wenige Personen","2015","35-65 Jahre alt","Bremen","","","",""
"Ja, wenige Personen","2015","35-65 Jahre alt","Nordrhein-Westfalen","593","0.169970814055527","0.156763596756279","0.183178031354776"
"Ja, wenige Personen","2015","35-65 Jahre alt","Hessen","223","0.194366612652591","0.170971302562429","0.217761922742753"
"Ja, wenige Personen","2015","35-65 Jahre alt","Rheinland-Pfalz,Saarland","139","0.189804077388874","0.161795026127263","0.217813128650485"
"Ja, wenige Personen","2015","35-65 Jahre alt","Baden-Wuerttemberg","334","0.196591949914465","0.17846746813479","0.214716431694141"
"Ja, wenige Personen","2015","35-65 Jahre alt","Bayern","410","0.159981001975493","0.145633936334225","0.17432806761676"
"Ja, wenige Personen","2015","35-65 Jahre alt","Saarland","","","",""
"Ja, wenige Personen","2015","35-65 Jahre alt","Berlin","91","0.166679016726736","0.134615508729608","0.198742524723864"
"Ja, wenige Personen","2015","35-65 Jahre alt","Brandenburg","83","0.135976847681936","0.108319071387042","0.16363462397683"
"Ja, wenige Personen","2015","35-65 Jahre alt","Mecklenburg-Vorpommern","49","0.0877242004196204","0.0564838713061923","0.118964529533048"
"Ja, wenige Personen","2015","35-65 Jahre alt","Sachsen","97","0.100572335696269","0.0803888596180459","0.120755811774492"
"Ja, wenige Personen","2015","35-65 Jahre alt","Sachsen-Anhalt","41","0.0855067321805314","0.0612138182854264","0.109799646075636"
"Ja, wenige Personen","2015","35-65 Jahre alt","Thueringen","65","0.0986515906508593","0.0736623636447073","0.123640817657011"
"Ja, wenige Personen","2015","66 und älter","Schleswig-Holstein","","","",""
"Ja, wenige Personen","2015","66 und älter","Hamburg","","","",""
"Ja, wenige Personen","2015","66 und älter","Niedersachsen","81","0.174358198029819","0.140486139243765","0.208230256815873"
"Ja, wenige Personen","2015","66 und älter","Bremen","","","",""
