"plb0571","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","16-34 Jahre alt","272","0.0385021888375501","0.033846188199616","0.0431581894754841"
"Ja, viele Personen","2015","35-65 Jahre alt","477","0.0303654242344436","0.0276193601905073","0.03311148827838"
"Ja, viele Personen","2015","66 und älter","66","0.0175698712280151","0.0138916244315364","0.0212481180244937"
"Ja, wenige Personen","2015","16-34 Jahre alt","1282","0.210205566320941","0.200345602720343","0.220065529921539"
"Ja, wenige Personen","2015","35-65 Jahre alt","2607","0.172400842333882","0.166355837532452","0.178445847135312"
"Ja, wenige Personen","2015","66 und älter","538","0.108643795009735","0.0999314743874443","0.117356115632025"
"Nein, weiss nicht","2015","16-34 Jahre alt","2527","0.389459064959455","0.377658997951966","0.401259131966944"
"Nein, weiss nicht","2015","35-65 Jahre alt","6323","0.432237937766581","0.424309975680759","0.440165899852404"
"Nein, weiss nicht","2015","66 und älter","2096","0.419997383391815","0.406179420929761","0.433815345853869"
"Nein, niemand","2015","16-34 Jahre alt","2479","0.361833179882054","0.350204846458279","0.37346151330583"
"Nein, niemand","2015","35-65 Jahre alt","5592","0.364995795665093","0.357291212102928","0.372700379227259"
"Nein, niemand","2015","66 und älter","2201","0.453788950370435","0.439850549880581","0.467727350860289"
"Ja, viele Personen","2016","16-34 Jahre alt","183","0.0308400930327224","0.0263156936908388","0.035364492374606"
"Ja, viele Personen","2016","35-65 Jahre alt","326","0.0243974722004622","0.021823046439524","0.0269718979614003"
"Ja, viele Personen","2016","66 und älter","30","0.00556603077277994","0.00344537521921696","0.00768668632634292"
"Ja, wenige Personen","2016","16-34 Jahre alt","963","0.176568399321176","0.166589661186082","0.18654713745627"
"Ja, wenige Personen","2016","35-65 Jahre alt","1875","0.12971413044297","0.124107575163512","0.135320685722427"
"Ja, wenige Personen","2016","66 und älter","358","0.0749369294481557","0.0674320628669366","0.0824417960293749"
"Nein, weiss nicht","2016","16-34 Jahre alt","1868","0.335809074208068","0.323449655262521","0.348168493153614"
"Nein, weiss nicht","2016","35-65 Jahre alt","4875","0.35218808620471","0.344217627906777","0.360158544502642"
"Nein, weiss nicht","2016","66 und älter","1486","0.305950601163038","0.292815597334292","0.319085604991784"
"Nein, niemand","2016","16-34 Jahre alt","2595","0.456782433438034","0.443746354824992","0.469818512051076"
"Nein, niemand","2016","35-65 Jahre alt","6720","0.493700311151859","0.485357603428284","0.502043018875433"
"Nein, niemand","2016","66 und älter","2854","0.613546438616026","0.599666685737256","0.627426191494797"
