"plb0571","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","16-34 Jahre alt","maennlich","158","0.0449478726790794","0.0375152166913467","0.0523805286668121"
"Ja, viele Personen","2015","16-34 Jahre alt","weiblich","114","0.0315928260039271","0.0258591479349577","0.0373265040728965"
"Ja, viele Personen","2015","35-65 Jahre alt","maennlich","279","0.0359707390544002","0.0315368871725938","0.0404045909362065"
"Ja, viele Personen","2015","35-65 Jahre alt","weiblich","198","0.024822476188545","0.0214597048379098","0.0281852475391802"
"Ja, viele Personen","2015","66 und älter","maennlich","41","0.0252035593165079","0.01891164395977","0.0314954746732459"
"Ja, viele Personen","2015","66 und älter","weiblich","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","maennlich","624","0.231709898988736","0.216573908853064","0.246845889124408"
"Ja, wenige Personen","2015","16-34 Jahre alt","weiblich","658","0.187154290374171","0.174368899182863","0.19993968156548"
"Ja, wenige Personen","2015","35-65 Jahre alt","maennlich","1314","0.198712823435894","0.189211842739976","0.208213804131812"
"Ja, wenige Personen","2015","35-65 Jahre alt","weiblich","1293","0.146381617916037","0.138741358641202","0.154021877190872"
"Ja, wenige Personen","2015","66 und älter","maennlich","317","0.136124674647907","0.122359271737111","0.149890077558702"
"Ja, wenige Personen","2015","66 und älter","weiblich","221","0.0868410619695521","0.0758398069209536","0.0978423170181507"
"Nein, weiss nicht","2015","16-34 Jahre alt","maennlich","1112","0.378429505143321","0.361030932785623","0.395828077501019"
"Nein, weiss nicht","2015","16-34 Jahre alt","weiblich","1415","0.401282051090703","0.385214633752379","0.417349468429026"
"Nein, weiss nicht","2015","35-65 Jahre alt","maennlich","2806","0.428758106878574","0.416974517790486","0.440541695966662"
"Nein, weiss nicht","2015","35-65 Jahre alt","weiblich","3517","0.435679050788826","0.424961899260039","0.446396202317614"
"Nein, weiss nicht","2015","66 und älter","maennlich","1006","0.414452949672629","0.394678086749383","0.434227812595876"
"Nein, weiss nicht","2015","66 und älter","weiblich","1090","0.424396216683545","0.405087471332536","0.443704962034554"
"Nein, niemand","2015","16-34 Jahre alt","maennlich","1091","0.344912723188863","0.327860535150246","0.36196491122748"
"Nein, niemand","2015","16-34 Jahre alt","weiblich","1388","0.379970832531199","0.364060060317704","0.395881604744693"
"Nein, niemand","2015","35-65 Jahre alt","maennlich","2377","0.336558330631131","0.325307283670952","0.34780937759131"
"Nein, niemand","2015","35-65 Jahre alt","weiblich","3215","0.393116855106592","0.382559714245727","0.403673995967457"
"Nein, niemand","2015","66 und älter","maennlich","1020","0.424218816362956","0.404379867247843","0.44405776547807"
"Nein, niemand","2015","66 und älter","weiblich","1181","0.477249252450138","0.457736144690344","0.496762360209933"
"Ja, viele Personen","2016","16-34 Jahre alt","maennlich","121","0.0441143574715585","0.0361890637216464","0.0520396512214705"
"Ja, viele Personen","2016","16-34 Jahre alt","weiblich","62","0.0167635850968329","0.0121922905474786","0.0213348796461872"
"Ja, viele Personen","2016","35-65 Jahre alt","maennlich","189","0.0339270774669321","0.0294086293810563","0.0384455255528079"
"Ja, viele Personen","2016","35-65 Jahre alt","weiblich","137","0.0148677802716817","0.0121520626377511","0.0175834979056123"
"Ja, viele Personen","2016","66 und älter","maennlich","","","",""
"Ja, viele Personen","2016","66 und älter","weiblich","","","",""
"Ja, wenige Personen","2016","16-34 Jahre alt","maennlich","471","0.18705665489593","0.172006563341725","0.202106746450134"
"Ja, wenige Personen","2016","16-34 Jahre alt","weiblich","492","0.165446275491872","0.152215587620085","0.178676963363659"
"Ja, wenige Personen","2016","35-65 Jahre alt","maennlich","922","0.142975370038978","0.134238851897803","0.151711888180153"
"Ja, wenige Personen","2016","35-65 Jahre alt","weiblich","953","0.116452770249137","0.109254898892871","0.123650641605403"
"Ja, wenige Personen","2016","66 und älter","maennlich","237","0.102055759267231","0.0896975350662271","0.114413983468236"
"Ja, wenige Personen","2016","66 und älter","weiblich","121","0.0536430662345955","0.0446717603361952","0.0626143721329957"
"Nein, weiss nicht","2016","16-34 Jahre alt","maennlich","851","0.332452725642856","0.3142712812341","0.350634170051612"
"Nein, weiss nicht","2016","16-34 Jahre alt","weiblich","1017","0.33936826706817","0.322508867343944","0.356227666792396"
"Nein, weiss nicht","2016","35-65 Jahre alt","maennlich","2195","0.353271567777869","0.341341952537894","0.365201183017844"
"Nein, weiss nicht","2016","35-65 Jahre alt","weiblich","2680","0.35110459477836","0.340393844606046","0.361815344950673"
"Nein, weiss nicht","2016","66 und älter","maennlich","727","0.314172213432488","0.295222438752357","0.333121988112619"
"Nein, weiss nicht","2016","66 und älter","weiblich","759","0.299494943296213","0.281257171872641","0.317732714719786"
"Nein, niemand","2016","16-34 Jahre alt","maennlich","1136","0.436376261989656","0.417236011514015","0.455516512465296"
"Nein, niemand","2016","16-34 Jahre alt","weiblich","1459","0.478421872343125","0.460635311780474","0.496208432905777"
"Nein, niemand","2016","35-65 Jahre alt","maennlich","2861","0.469825984716221","0.457369690652335","0.482282278780107"
"Nein, niemand","2016","35-65 Jahre alt","weiblich","3859","0.517574854700822","0.506362009251106","0.528787700150538"
"Nein, niemand","2016","66 und älter","maennlich","1323","0.578334485094927","0.558174685382427","0.598494284807427"
"Nein, niemand","2016","66 und älter","weiblich","1531","0.641195069724479","0.622096727461607","0.660293411987351"
