year,sex,plh0108,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Very important,0.23751,858,3402,0.22321,0.25182
1990,male,Important,0.31862,1117,3402,0.30296,0.33428
1990,male,Less important,0.31047,1034,3402,0.29492,0.32603
1990,male,Unimportant,0.13339,393,3402,0.12197,0.14482
1990,female,Very important,0.17343,702,3685,0.16121,0.18566
1990,female,Important,0.29913,1177,3685,0.28434,0.31392
1990,female,Less important,0.31313,1162,3685,0.29816,0.32811
1990,female,Unimportant,0.21430,644,3685,0.20105,0.22755
1992,male,Very important,0.24327,1308,5188,0.23160,0.25495
1992,male,Important,0.30609,1559,5188,0.29355,0.31863
1992,male,Less important,0.30210,1622,5188,0.28960,0.31459
1992,male,Unimportant,0.14854,699,5188,0.13886,0.15822
1992,female,Very important,0.19338,1182,5703,0.18313,0.20363
1992,female,Important,0.28917,1668,5703,0.27740,0.30093
1992,female,Less important,0.29952,1794,5703,0.28763,0.31141
1992,female,Unimportant,0.21794,1059,5703,0.20722,0.22865
1995,male,Very important,0.25795,1401,5301,0.24617,0.26973
1995,male,Important,0.32320,1754,5301,0.31061,0.33579
1995,male,Less important,0.30249,1617,5301,0.29013,0.31486
1995,male,Unimportant,0.11635,529,5301,0.10772,0.12499
1995,female,Very important,0.20642,1266,5829,0.19603,0.21681
1995,female,Important,0.30989,1872,5829,0.29801,0.32176
1995,female,Less important,0.29888,1809,5829,0.28713,0.31063
1995,female,Unimportant,0.18481,882,5829,0.17485,0.19478
2004,male,Very important,0.24745,2715,10303,0.23912,0.25578
2004,male,Important,0.31487,3464,10303,0.30590,0.32384
2004,male,Less important,0.29382,2897,10303,0.28502,0.30262
2004,male,Unimportant,0.14386,1227,10303,0.13708,0.15064
2004,female,Very important,0.20845,2449,11107,0.20090,0.21601
2004,female,Important,0.31277,3767,11107,0.30415,0.32139
2004,female,Less important,0.29570,3261,11107,0.28721,0.30419
2004,female,Unimportant,0.18308,1630,11107,0.17589,0.19027
2008,male,Very important,0.20972,2099,9151,0.20138,0.21806
2008,male,Important,0.32675,3182,9151,0.31714,0.33636
2008,male,Less important,0.30685,2640,9151,0.29740,0.31630
2008,male,Unimportant,0.15668,1230,9151,0.14923,0.16413
2008,female,Very important,0.16146,1822,10020,0.15426,0.16867
2008,female,Important,0.31515,3394,10020,0.30606,0.32425
2008,female,Less important,0.32025,3105,10020,0.31111,0.32938
2008,female,Unimportant,0.20313,1699,10020,0.19525,0.21101
2012,male,Very important,0.21539,3006,12487,0.20818,0.22260
2012,male,Important,0.34435,4491,12487,0.33602,0.35269
2012,male,Less important,0.28178,3367,12487,0.27389,0.28967
2012,male,Unimportant,0.15848,1623,12487,0.15207,0.16489
2012,female,Very important,0.16077,2548,14971,0.15489,0.16665
2012,female,Important,0.32349,5070,14971,0.31599,0.33098
2012,female,Less important,0.30973,4734,14971,0.30233,0.31714
2012,female,Unimportant,0.20601,2619,14971,0.19953,0.21249
2016,male,Very important,0.21741,2697,11064,0.20973,0.22510
2016,male,Important,0.34505,4027,11064,0.33619,0.35391
2016,male,Less important,0.28557,2913,11064,0.27716,0.29399
2016,male,Unimportant,0.15196,1427,11064,0.14527,0.15865
2016,female,Very important,0.17420,2397,13070,0.16770,0.18070
2016,female,Important,0.33370,4496,13070,0.32561,0.34178
2016,female,Less important,0.29607,3904,13070,0.28824,0.30390
2016,female,Unimportant,0.19603,2273,13070,0.18923,0.20284
2021,male,Very important,0.22297,1955,8045,0.21387,0.23206
2021,male,Important,0.33785,2787,8045,0.32751,0.34819
2021,male,Less important,0.30574,2282,8045,0.29567,0.31581
2021,male,Unimportant,0.13344,1021,8045,0.12601,0.14087
2021,female,Very important,0.17296,1656,9047,0.16516,0.18075
2021,female,Important,0.33934,3133,9047,0.32959,0.34910
2021,female,Less important,0.29976,2750,9047,0.29032,0.30920
2021,female,Unimportant,0.18794,1508,9047,0.17989,0.19599
