"plb0037_h","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Unbefristet","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","103","0.846788803348573","0.781522657680275","0.912054949016871"
"Unbefristet","1995","(noch) kein Abschluss","2","79","0.869245383223429","0.798403813280917","0.940086953165942"
"Unbefristet","1995","(noch) kein Abschluss","3","36","0.893674249125695","0.796930115717682","0.990418382533709"
"Unbefristet","1995","(noch) kein Abschluss","4","18","","",""
"Unbefristet","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","6","","",""
"Unbefristet","1995","Hauptschule","1 Einkommensschwächstes Quintil","776","0.835995026033073","0.812145873335306","0.85984417873084"
"Unbefristet","1995","Hauptschule","2","855","0.911691564737853","0.89360078650457","0.929782342971135"
"Unbefristet","1995","Hauptschule","3","538","0.949161967376287","0.931144465806704","0.96717946894587"
"Unbefristet","1995","Hauptschule","4","333","0.91898761859245","0.890841078329867","0.947134158855033"
"Unbefristet","1995","Hauptschule","5 Einkommensstärkstes Quintil","84","0.961427162887141","0.921418680922635","1.00143564485165"
"Unbefristet","1995","Realschule","1 Einkommensschwächstes Quintil","478","0.770938102224141","0.738045328073778","0.803830876374503"
"Unbefristet","1995","Realschule","2","553","0.883634825274497","0.858575423849545","0.908694226699449"
"Unbefristet","1995","Realschule","3","358","0.905436575697793","0.876470099252295","0.934403052143291"
"Unbefristet","1995","Realschule","4","284","0.9573941693449","0.93465331982951","0.98013501886029"
"Unbefristet","1995","Realschule","5 Einkommensstärkstes Quintil","113","0.964256976984887","0.93061765796816","0.997896296001614"
"Unbefristet","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","112","0.653141235965997","0.579619620517005","0.726662851414988"
"Unbefristet","1995","(Fach-)Abitur","2","123","0.772642304609265","0.707081792735094","0.838202816483436"
"Unbefristet","1995","(Fach-)Abitur","3","86","0.883060679046581","0.821595521552994","0.944525836540168"
