year,bula_h,pgisced97,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2000,Hesse,Second Stage of Tertiary Education,Permanent job,1.0,140,10733,1.0,1.0
2000,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Permanent job,1.0,53,10733,1.0,1.0
2000,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Permanent job,0.8943096334254451,339,10733,0.8937264667593359,0.8948928000915544
2000,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Temporary job,0.10569036657455481,35,10733,0.10510719990844553,0.1062735332406641
2000,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Permanent job,1.0,31,10733,1.0,1.0
2000,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Permanent job,1.0,63,10733,1.0,1.0
2000,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Permanent job,1.0,80,10733,1.0,1.0
2000,Baden-Wuerttemberg,Lower Secondary Level,Permanent job,0.7272178286288563,183,10733,0.7260522019940733,0.7283834552636393
2000,Baden-Wuerttemberg,Lower Secondary Level,Temporary job,0.27278217137114386,61,10733,0.27161654473636077,0.27394779800592695
2000,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,0.8979695126686179,658,10733,0.8975571974492879,0.898381827887948
2000,Baden-Wuerttemberg,Upper Secondary Level,Temporary job,0.10203048733138217,68,10733,0.10161817211205217,0.10244280255071218
2000,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Permanent job,1.0,66,10733,1.0,1.0
2000,Baden-Wuerttemberg,First Stage of Tertiary Education,Permanent job,1.0,144,10733,1.0,1.0
2000,Baden-Wuerttemberg,Second Stage of Tertiary Education,Permanent job,1.0,206,10733,1.0,1.0
2000,Bavaria,Lower Secondary Level,Permanent job,0.6039295935099536,126,10733,0.602663729625907,0.6051954573940002
2000,Bavaria,Lower Secondary Level,Temporary job,0.3960704064900463,86,10733,0.3948045426059997,0.39733627037409297
2000,Bavaria,Upper Secondary Level,Permanent job,0.9284323767774234,899,10733,0.9281217127839727,0.9287430407708741
2000,Bavaria,Upper Secondary Level,Temporary job,0.07156762322257663,71,10733,0.0712569592291259,0.07187828721602738
2000,Bavaria,Post-secondary Non-tertiary Level,Permanent job,1.0,61,10733,1.0,1.0
2000,Bavaria,First Stage of Tertiary Education,Permanent job,1.0,119,10733,1.0,1.0
2000,Bavaria,Second Stage of Tertiary Education,Permanent job,1.0,256,10733,1.0,1.0
2000,Berlin,Upper Secondary Level,Permanent job,1.0,153,10733,1.0,1.0
2000,Berlin,First Stage of Tertiary Education,Permanent job,1.0,35,10733,1.0,1.0
