"plb0037_h","year","bildungsniveau","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Unbefristet","1985","(noch) kein Abschluss","Schleswig-Holstein","4","","",""
"Unbefristet","1985","(noch) kein Abschluss","Hamburg","12","","",""
"Unbefristet","1985","(noch) kein Abschluss","Niedersachsen","22","","",""
"Unbefristet","1985","(noch) kein Abschluss","Bremen","","","",""
"Unbefristet","1985","(noch) kein Abschluss","Nordrhein-Westfalen","127","0.924911643332266","0.880620686761198","0.969202599903333"
"Unbefristet","1985","(noch) kein Abschluss","Hessen","56","0.931495333897144","0.868103459650773","0.994887208143515"
"Unbefristet","1985","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","34","0.928516515059906","0.844358687628321","1.01267434249149"
"Unbefristet","1985","(noch) kein Abschluss","Baden-Wuerttemberg","142","0.948031472721145","0.91214993835182","0.98391300709047"
"Unbefristet","1985","(noch) kein Abschluss","Bayern","48","0.777274361025718","0.665257748734131","0.889290973317305"
"Unbefristet","1985","(noch) kein Abschluss","Saarland","","","",""
"Unbefristet","1985","(noch) kein Abschluss","Berlin","9","","",""
"Unbefristet","1985","(noch) kein Abschluss","Brandenburg","","","",""
"Unbefristet","1985","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Unbefristet","1985","(noch) kein Abschluss","Sachsen","","","",""
"Unbefristet","1985","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Unbefristet","1985","(noch) kein Abschluss","Thueringen","","","",""
"Unbefristet","1985","Hauptschule","Schleswig-Holstein","96","0.925692361758689","0.875527050568184","0.975857672949194"
"Unbefristet","1985","Hauptschule","Hamburg","63","0.859487530970565","0.780308632795913","0.938666429145216"
"Unbefristet","1985","Hauptschule","Niedersachsen","270","0.911380606378022","0.878895170058683","0.943866042697361"
"Unbefristet","1985","Hauptschule","Bremen","21","","",""
"Unbefristet","1985","Hauptschule","Nordrhein-Westfalen","759","0.915679119726605","0.8967639585123","0.934594280940911"
"Unbefristet","1985","Hauptschule","Hessen","289","0.918950429785907","0.88904882461908","0.948852034952734"
