year,quintil_oecd,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,West,Permanent job,0.76302,664,816,0.73383,0.79222
1985,1st Quintile,West,Temporary job,0.23698,152,816,0.20778,0.26617
1985,2nd Quintile,West,Permanent job,0.83168,848,991,0.80837,0.85498
1985,2nd Quintile,West,Temporary job,0.16832,143,991,0.14502,0.19163
1985,3rd Quintile,West,Permanent job,0.86129,1047,1211,0.84181,0.88076
1985,3rd Quintile,West,Temporary job,0.13871,164,1211,0.11924,0.15819
1985,4th Quintile,West,Permanent job,0.89797,1230,1368,0.88193,0.91402
1985,4th Quintile,West,Temporary job,0.10203,138,1368,0.08598,0.11807
1985,5th Quintile,West,Permanent job,0.93835,1250,1336,0.92545,0.95125
1985,5th Quintile,West,Temporary job,0.06165,86,1336,0.04875,0.07455
1986,1st Quintile,West,Permanent job,0.60528,88,128,0.52027,0.69029
1986,1st Quintile,West,Temporary job,0.39472,40,128,0.30971,0.47973
1986,2nd Quintile,West,Permanent job,0.65788,85,138,0.57843,0.73732
1986,2nd Quintile,West,Temporary job,0.34212,53,138,0.26268,0.42157
1986,3rd Quintile,West,Permanent job,0.75070,132,178,0.68697,0.81444
1986,3rd Quintile,West,Temporary job,0.24930,46,178,0.18556,0.31303
1986,4th Quintile,West,Permanent job,0.85075,170,205,0.80186,0.89965
1986,4th Quintile,West,Temporary job,0.14925,35,205,0.10035,0.19814
1986,5th Quintile,West,Permanent job,0.75494,148,189,0.69345,0.81642
1986,5th Quintile,West,Temporary job,0.24506,41,189,0.18358,0.30655
1987,1st Quintile,West,Permanent job,0.69438,138,198,0.63004,0.75871
1987,1st Quintile,West,Temporary job,0.30562,60,198,0.24129,0.36996
1987,2nd Quintile,West,Permanent job,0.65207,143,228,0.59011,0.71403
1987,2nd Quintile,West,Temporary job,0.34793,85,228,0.28597,0.40989
1987,3rd Quintile,West,Permanent job,0.69695,159,231,0.63756,0.75635
1987,3rd Quintile,West,Temporary job,0.30305,72,231,0.24365,0.36244
1987,4th Quintile,West,Permanent job,0.74696,197,276,0.69557,0.79834
1987,4th Quintile,West,Temporary job,0.25304,79,276,0.20166,0.30443
1987,5th Quintile,West,Permanent job,0.80403,162,202,0.74916,0.85891
1987,5th Quintile,West,Temporary job,0.19597,40,202,0.14109,0.25084
1988,1st Quintile,West,Permanent job,0.77144,531,674,0.73971,0.80316
1988,1st Quintile,West,Temporary job,0.22856,143,674,0.19684,0.26029
1988,2nd Quintile,West,Permanent job,0.83684,798,953,0.81337,0.86031
1988,2nd Quintile,West,Temporary job,0.16316,155,953,0.13969,0.18663
1988,3rd Quintile,West,Permanent job,0.88320,1001,1146,0.86460,0.90181
1988,3rd Quintile,West,Temporary job,0.11680,145,1146,0.09819,0.13540
1988,4th Quintile,West,Permanent job,0.91322,1178,1295,0.89789,0.92856
1988,4th Quintile,West,Temporary job,0.08678,117,1295,0.07144,0.10211
1988,5th Quintile,West,Permanent job,0.92659,1131,1223,0.91197,0.94122
1988,5th Quintile,West,Temporary job,0.07341,92,1223,0.05878,0.08803
1989,1st Quintile,West,Permanent job,0.66708,122,184,0.59880,0.73536
1989,1st Quintile,West,Temporary job,0.33292,62,184,0.26464,0.40120
1989,2nd Quintile,West,Permanent job,0.75766,131,183,0.69541,0.81991
1989,2nd Quintile,West,Temporary job,0.24234,52,183,0.18009,0.30459
1989,3rd Quintile,West,Permanent job,0.78410,128,175,0.72297,0.84524
1989,3rd Quintile,West,Temporary job,0.21590,47,175,0.15476,0.27703
1989,4th Quintile,West,Permanent job,0.72994,128,179,0.66472,0.79517
1989,4th Quintile,West,Temporary job,0.27006,51,179,0.20483,0.33528
1989,5th Quintile,West,Permanent job,0.81712,134,172,0.75918,0.87506
1989,5th Quintile,West,Temporary job,0.18288,38,172,0.12494,0.24082
1990,1st Quintile,West,Permanent job,0.68113,142,206,0.61733,0.74492
1990,1st Quintile,West,Temporary job,0.31887,64,206,0.25508,0.38267
