,Unnamed: 0,year,bula_h,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,Permanent job,1.0,161,5641,0.95001,1.06067
1,1,1985,Hamburg,Permanent job,1.0,133,5641,0.90793,1.09972
2,2,1985,Lower Saxony,Permanent job,0.86796,447,5641,0.84005,0.8996
3,3,1985,Lower Saxony,Temporary job,0.13204,61,5641,0.1205,0.14323
4,4,1985,North Rhine-Westphalia,Permanent job,0.87337,1318,5641,0.8476,0.90121
5,5,1985,North Rhine-Westphalia,Temporary job,0.12663,183,5641,0.11476,0.13597
6,6,1985,Hesse,Permanent job,0.8805,520,5641,0.82863,0.93067
7,7,1985,Hesse,Temporary job,0.1195,71,5641,0.10445,0.13829
8,8,1985,"Rhineland-Palatinate, Saarland",Permanent job,0.86767,316,5641,0.82879,0.90229
9,9,1985,"Rhineland-Palatinate, Saarland",Temporary job,0.13233,48,5641,0.11585,0.14914
10,10,1985,Baden-Wuerttemberg,Permanent job,0.90558,1062,5641,0.86712,0.94098
11,11,1985,Baden-Wuerttemberg,Temporary job,0.09442,105,5641,0.08322,0.1097
12,12,1985,Bavaria,Permanent job,0.86444,874,5641,0.83326,0.89095
13,13,1985,Bavaria,Temporary job,0.13556,131,5641,0.12576,0.14491
14,14,1985,Berlin,Permanent job,0.85728,179,5641,0.79058,0.92244
15,15,1985,Berlin,Temporary job,0.14272,32,5641,0.11948,0.16493
16,16,1986,Lower Saxony,Permanent job,0.54295,57,710,0.45667,0.64895
17,17,1986,Lower Saxony,Temporary job,0.45705,33,710,0.38075,0.53048
18,18,1986,North Rhine-Westphalia,Permanent job,0.71663,146,710,0.65351,0.79772
19,19,1986,North Rhine-Westphalia,Temporary job,0.28337,49,710,0.24546,0.32305
20,20,1986,Hesse,Permanent job,1.0,64,710,0.85251,1.15279
21,21,1986,"Rhineland-Palatinate, Saarland",Permanent job,1.0,50,710,0.87175,1.13986
22,22,1986,Baden-Wuerttemberg,Permanent job,0.81393,136,710,0.72102,0.89377
23,23,1986,Baden-Wuerttemberg,Temporary job,0.18607,40,710,0.13973,0.22901
24,24,1986,Bavaria,Permanent job,1.0,100,710,0.90023,1.09684
25,25,1986,Berlin,Permanent job,1.0,35,710,0.8041,1.19073
26,26,1987,Lower Saxony,Permanent job,0.65692,85,1034,0.58032,0.72225
27,27,1987,Lower Saxony,Temporary job,0.34308,40,1034,0.29206,0.38919
28,28,1987,North Rhine-Westphalia,Permanent job,0.73382,203,1034,0.68269,0.78764
29,29,1987,North Rhine-Westphalia,Temporary job,0.26618,87,1034,0.22877,0.30261
30,30,1987,Hesse,Permanent job,0.75717,84,1034,0.63962,0.88668
31,31,1987,Hesse,Temporary job,0.24283,37,1034,0.17627,0.32421
32,32,1987,"Rhineland-Palatinate, Saarland",Permanent job,1.0,47,1034,0.87626,1.12541
33,33,1987,Baden-Wuerttemberg,Permanent job,0.75602,143,1034,0.67732,0.84312
34,34,1987,Baden-Wuerttemberg,Temporary job,0.24398,49,1034,0.19735,0.29171
35,35,1987,Bavaria,Permanent job,0.70856,143,1034,0.65178,0.76575
36,36,1987,Bavaria,Temporary job,0.29144,70,1034,0.2456,0.33714
37,37,1987,Berlin,Permanent job,1.0,46,1034,0.75861,1.18659
38,38,1988,Schleswig-Holstein,Permanent job,0.82668,133,5248,0.75509,0.89162
39,39,1988,Schleswig-Holstein,Temporary job,0.17332,33,5248,0.13156,0.21757
40,40,1988,Hamburg,Permanent job,1.0,98,5248,0.87628,1.1187
41,41,1988,Lower Saxony,Permanent job,0.85188,449,5248,0.80937,0.89256
42,42,1988,Lower Saxony,Temporary job,0.14812,80,5248,0.13106,0.16658
43,43,1988,Bremen,Permanent job,1.0,35,5248,0.86572,1.14871
44,44,1988,North Rhine-Westphalia,Permanent job,0.88222,1199,5248,0.85202,0.91679
45,45,1988,North Rhine-Westphalia,Temporary job,0.11778,176,5248,0.10559,0.12707
46,46,1988,Hesse,Permanent job,0.90516,469,5248,0.8364,0.98285
47,47,1988,Hesse,Temporary job,0.09484,58,5248,0.0761,0.11315
48,48,1988,"Rhineland-Palatinate, Saarland",Permanent job,0.86368,301,5248,0.81189,0.9145
49,49,1988,"Rhineland-Palatinate, Saarland",Temporary job,0.13632,50,5248,0.11838,0.15576
50,50,1988,Baden-Wuerttemberg,Permanent job,0.91356,994,5248,0.87185,0.95736
51,51,1988,Baden-Wuerttemberg,Temporary job,0.08644,98,5248,0.07404,0.09655
52,52,1988,Bavaria,Permanent job,0.88773,792,5248,0.85495,0.92044
53,53,1988,Bavaria,Temporary job,0.11227,113,5248,0.10026,0.1265
54,54,1988,Berlin,Permanent job,1.0,170,5248,0.91326,1.09762
55,55,1989,Lower Saxony,Permanent job,1.0,54,756,0.87373,1.13089
56,56,1989,North Rhine-Westphalia,Permanent job,0.71055,162,756,0.63816,0.78528
57,57,1989,North Rhine-Westphalia,Temporary job,0.28945,76,756,0.25651,0.3262
58,58,1989,Hesse,Permanent job,1.0,62,756,0.80612,1.17246
59,59,1989,"Rhineland-Palatinate, Saarland",Permanent job,1.0,44,756,0.8479,1.16156
60,60,1989,Baden-Wuerttemberg,Permanent job,0.75959,123,756,0.65867,0.88214
61,61,1989,Baden-Wuerttemberg,Temporary job,0.24041,49,756,0.18473,0.29863
62,62,1989,Bavaria,Permanent job,0.81629,120,756,0.73284,0.88868
63,63,1989,Bavaria,Temporary job,0.18371,34,756,0.14325,0.2312
64,64,1989,Berlin,Permanent job,1.0,32,756,0.72159,1.24171
65,65,1990,Lower Saxony,Permanent job,1.0,66,3980,0.85913,1.14555
66,66,1990,North Rhine-Westphalia,Permanent job,0.73359,167,3980,0.66421,0.81792
67,67,1990,North Rhine-Westphalia,Temporary job,0.26641,74,3980,0.22769,0.30859
68,68,1990,Hesse,Permanent job,1.0,77,3980,0.84316,1.1306
69,69,1990,Baden-Wuerttemberg,Permanent job,0.7856,159,3980,0.66873,0.90573
70,70,1990,Baden-Wuerttemberg,Temporary job,0.2144,43,3980,0.15847,0.25763
71,71,1990,Bavaria,Permanent job,1.0,142,3980,0.91734,1.09891
72,72,1990,Berlin,Permanent job,1.0,228,3980,0.9415,1.0789
73,73,1990,Brandenburg,Permanent job,0.93315,499,3980,0.9029,0.96605
74,74,1990,Brandenburg,Temporary job,0.06685,32,3980,0.05952,0.07501
75,75,1990,Mecklenburg-Western Pomerania,Permanent job,1.0,356,3980,0.9588,1.03833
76,76,1990,Saxony,Permanent job,0.93253,918,3980,0.91268,0.95277
77,77,1990,Saxony,Temporary job,0.06747,73,3980,0.06238,0.07374
78,78,1990,Saxony-Anhalt,Permanent job,0.92534,557,3980,0.88904,0.95669
79,79,1990,Saxony-Anhalt,Temporary job,0.07466,46,3980,0.0672,0.08169
80,80,1990,Thuringa,Permanent job,0.93776,509,3980,0.90281,0.9697
81,81,1990,Thuringa,Temporary job,0.06224,34,3980,0.05293,0.06989
82,82,1991,Lower Saxony,Permanent job,1.0,78,1418,0.85218,1.14237
83,83,1991,North Rhine-Westphalia,Permanent job,0.71552,165,1418,0.64285,0.79148
84,84,1991,North Rhine-Westphalia,Temporary job,0.28448,70,1418,0.24209,0.33618
85,85,1991,Hesse,Permanent job,1.0,77,1418,0.82415,1.18815
86,86,1991,"Rhineland-Palatinate, Saarland",Permanent job,1.0,57,1418,0.87455,1.14037
87,87,1991,Baden-Wuerttemberg,Permanent job,0.81558,154,1418,0.72767,0.91107
88,88,1991,Baden-Wuerttemberg,Temporary job,0.18442,41,1418,0.14706,0.22415
89,89,1991,Bavaria,Permanent job,0.79985,126,1418,0.71611,0.88428
90,90,1991,Bavaria,Temporary job,0.20015,33,1418,0.16224,0.24027
91,91,1991,Berlin,Permanent job,1.0,70,1418,0.84892,1.18001
92,92,1991,Brandenburg,Permanent job,1.0,87,1418,0.92074,1.08542
93,93,1991,Mecklenburg-Western Pomerania,Permanent job,1.0,65,1418,0.88149,1.11968
94,94,1991,Saxony,Permanent job,0.75261,147,1418,0.70127,0.80542
95,95,1991,Saxony,Temporary job,0.24739,47,1418,0.21794,0.27956
96,96,1991,Saxony-Anhalt,Permanent job,1.0,106,1418,0.87674,1.1082
97,97,1991,Thuringa,Permanent job,1.0,95,1418,0.86314,1.12631
98,98,1992,Lower Saxony,Permanent job,1.0,69,1395,0.85051,1.14081
99,99,1992,North Rhine-Westphalia,Permanent job,0.73754,168,1395,0.66561,0.82414
100,100,1992,North Rhine-Westphalia,Temporary job,0.26246,61,1395,0.21485,0.32151
