"plb0037_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Unbefristet","1985","17-29","(noch) kein Abschluss","53","0.799059956939021","0.700113386563484","0.898006527314559"
"Unbefristet","1985","17-29","Hauptschule","714","0.76864773494661","0.741428044352802","0.795867425540417"
"Unbefristet","1985","17-29","Realschule","342","0.678394769223677","0.637736685246508","0.719052853200847"
"Unbefristet","1985","17-29","(Fach-)Abitur","108","0.614409709549536","0.54270403301663","0.686115386082442"
"Unbefristet","1985","17-29","AkademikerIn","49","0.599646616321292","0.494237422887216","0.705055809755367"
"Unbefristet","1985","30-45","(noch) kein Abschluss","190","0.94039579512775","0.907584234916022","0.973207355339478"
"Unbefristet","1985","30-45","Hauptschule","1268","0.950046633453993","0.93836072981076","0.961732537097226"
"Unbefristet","1985","30-45","Realschule","320","0.971824845166815","0.953944442428515","0.989705247905115"
"Unbefristet","1985","30-45","(Fach-)Abitur","110","0.829054612662211","0.762793685007348","0.895315540317074"
"Unbefristet","1985","30-45","AkademikerIn","236","0.901075470334033","0.86533063714669","0.936820303521375"
"Unbefristet","1985","46-65","(noch) kein Abschluss","211","0.975464597471083","0.954975237929187","0.99595395701298"
"Unbefristet","1985","46-65","Hauptschule","1001","0.970476521381397","0.960144268226772","0.980808774536023"
"Unbefristet","1985","46-65","Realschule","168","0.95778991244896","0.928084539250138","0.987495285647781"
"Unbefristet","1985","46-65","(Fach-)Abitur","60","0.982971049421341","0.950503651810408","1.01543844703227"
"Unbefristet","1985","46-65","AkademikerIn","142","0.971565966430125","0.944605522087147","0.998526410773103"
"Unbefristet","1985","66","(noch) kein Abschluss","","","",""
"Unbefristet","1985","66","Hauptschule","","","",""
"Unbefristet","1985","66","Realschule","","","",""
"Unbefristet","1985","66","(Fach-)Abitur","","","",""
"Unbefristet","1985","66","AkademikerIn","","","",""
"Befristet","1985","17-29","(noch) kein Abschluss","10","","",""
"Befristet","1985","17-29","Hauptschule","208","0.23135226505339","0.204132574459583","0.258571955647198"
"Befristet","1985","17-29","Realschule","165","0.321605230776323","0.280947146799153","0.362263314753492"
"Befristet","1985","17-29","(Fach-)Abitur","69","0.385590290450464","0.313884613917558","0.45729596698337"
"Befristet","1985","17-29","AkademikerIn","34","0.400353383678708","0.294944190244633","0.505762577112784"
"Befristet","1985","30-45","(noch) kein Abschluss","10","","",""
"Befristet","1985","30-45","Hauptschule","67","0.0499533665460073","0.0382674629027742","0.0616392701892404"
"Befristet","1985","30-45","Realschule","9","","",""
"Befristet","1985","30-45","(Fach-)Abitur","14","","",""
"Befristet","1985","30-45","AkademikerIn","32","0.0989245296659675","0.0631796964786253","0.13466936285331"
"Befristet","1985","46-65","(noch) kein Abschluss","8","","",""
"Befristet","1985","46-65","Hauptschule","30","0.0295234786186026","0.0191912254639768","0.0398557317732284"
"Befristet","1985","46-65","Realschule","8","","",""
"Befristet","1985","46-65","(Fach-)Abitur","1","","",""
"Befristet","1985","46-65","AkademikerIn","4","","",""
"Befristet","1985","66","(noch) kein Abschluss","","","",""
"Befristet","1985","66","Hauptschule","","","",""
"Befristet","1985","66","Realschule","","","",""
"Befristet","1985","66","(Fach-)Abitur","","","",""
"Befristet","1985","66","AkademikerIn","","","",""
"Unbefristet","1986","17-29","(noch) kein Abschluss","16","","",""
