"plb0037_h","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Befristet","1985","(Fach-)Abitur","84","0.263119157866257","0.217884400282039","0.308353915450475"
"Befristet","1985","(noch) kein Abschluss","28","","",""
"Befristet","1985","AkademikerIn","70","0.123740071822962","0.0947905393520336","0.15268960429389"
"Befristet","1985","Hauptschule","305","0.0891516127804474","0.079426146906893","0.0988770786540018"
"Befristet","1985","Realschule","182","","",""
"Unbefristet","1985","(Fach-)Abitur","280","","",""
"Unbefristet","1985","(noch) kein Abschluss","454","0.914659464377633","0.889717424437621","0.939601504317646"
"Unbefristet","1985","AkademikerIn","427","0.876259928177038","0.84731039570611","0.905209460647966"
"Unbefristet","1985","Hauptschule","2993","","",""
"Unbefristet","1985","Realschule","832","0.826661423242968","0.80336224722155","0.849960599264387"
"Befristet","1986","(Fach-)Abitur","19","","",""
"Befristet","1986","(noch) kein Abschluss","8","0.206677599423897","0.0725291578373215","0.340826041010472"
"Befristet","1986","AkademikerIn","25","","",""
"Befristet","1986","Hauptschule","90","0.194088254421746","0.156487462162779","0.231689046680713"
"Befristet","1986","Realschule","69","0.343402224326296","0.277919964032451","0.40888448462014"
"Unbefristet","1986","(Fach-)Abitur","58","0.710387689336958","0.609076141367832","0.811699237306083"
"Unbefristet","1986","(noch) kein Abschluss","27","","",""
"Unbefristet","1986","AkademikerIn","64","0.722859456753408","0.629870783102823","0.815848130403993"
"Unbefristet","1986","Hauptschule","335","0.805911745578254","0.768310953319287","0.843512537837221"
"Unbefristet","1986","Realschule","133","","",""
"Befristet","1987","(Fach-)Abitur","44","0.417361587360802","0.326035495265174","0.50868767945643"
"Befristet","1987","(noch) kein Abschluss","12","","",""
"Befristet","1987","AkademikerIn","32","0.276437326592974","0.190482980471267","0.362391672714681"
"Befristet","1987","Hauptschule","149","","",""
"Befristet","1987","Realschule","85","0.305067636513983","0.248884293687887","0.361250979340079"
"Unbefristet","1987","(Fach-)Abitur","68","0.582638412639198","0.49131232054357","0.673964504734826"
