,Unnamed: 0,year,bula_h,regtyp,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,Urban regions,Permanent job,1.0,79,5575,0.91752,1.08114
1,1,1985,Schleswig-Holstein,Rural regions,Permanent job,1.0,82,5575,0.90935,1.08478
2,2,1985,Hamburg,Urban regions,Permanent job,1.0,130,5575,0.90201,1.08155
3,3,1985,Lower Saxony,Urban regions,Permanent job,1.0,219,5575,0.94835,1.05833
4,4,1985,Lower Saxony,Rural regions,Permanent job,0.8609,228,5575,0.82003,0.90282
5,5,1985,Lower Saxony,Rural regions,Temporary job,0.1391,34,5575,0.11976,0.15336
6,6,1985,North Rhine-Westphalia,Urban regions,Permanent job,0.87596,1286,5575,0.84555,0.90138
7,7,1985,North Rhine-Westphalia,Urban regions,Temporary job,0.12404,176,5575,0.11408,0.13454
8,8,1985,North Rhine-Westphalia,Rural regions,Permanent job,1.0,32,5575,0.93156,1.06607
9,9,1985,Hesse,Urban regions,Permanent job,0.88495,464,5575,0.83712,0.94497
10,10,1985,Hesse,Urban regions,Temporary job,0.11505,60,5575,0.09391,0.13277
11,11,1985,Hesse,Rural regions,Permanent job,1.0,56,5575,0.89813,1.1221
12,12,1985,"Rhineland-Palatinate, Saarland",Urban regions,Permanent job,0.86471,269,5575,0.81854,0.9081
13,13,1985,"Rhineland-Palatinate, Saarland",Urban regions,Temporary job,0.13529,41,5575,0.11712,0.15291
14,14,1985,"Rhineland-Palatinate, Saarland",Rural regions,Permanent job,1.0,47,5575,0.9169,1.06287
15,15,1985,Baden-Wuerttemberg,Urban regions,Permanent job,0.89937,910,5575,0.8551,0.94513
16,16,1985,Baden-Wuerttemberg,Urban regions,Temporary job,0.10063,94,5575,0.08679,0.11343
17,17,1985,Baden-Wuerttemberg,Rural regions,Permanent job,1.0,152,5575,0.90436,1.09261
18,18,1985,Bavaria,Urban regions,Permanent job,0.88263,488,5575,0.84175,0.93104
19,19,1985,Bavaria,Urban regions,Temporary job,0.11737,64,5575,0.10574,0.13107
20,20,1985,Bavaria,Rural regions,Permanent job,0.84433,386,5575,0.81021,0.88031
21,21,1985,Bavaria,Rural regions,Temporary job,0.15567,67,5575,0.14177,0.17075
22,22,1985,Berlin,Urban regions,Permanent job,0.85728,179,5575,0.79072,0.92442
23,23,1985,Berlin,Urban regions,Temporary job,0.14272,32,5575,0.11879,0.16714
24,24,1986,Lower Saxony,Urban regions,Permanent job,1.0,31,605,0.79636,1.23757
25,25,1986,North Rhine-Westphalia,Urban regions,Permanent job,0.72003,142,605,0.64915,0.80808
26,26,1986,North Rhine-Westphalia,Urban regions,Temporary job,0.27997,47,605,0.23729,0.33273
27,27,1986,Hesse,Urban regions,Permanent job,1.0,59,605,0.86883,1.14835
28,28,1986,"Rhineland-Palatinate, Saarland",Urban regions,Permanent job,1.0,44,605,0.80454,1.15348
29,29,1986,Baden-Wuerttemberg,Urban regions,Permanent job,0.82501,115,605,0.7274,0.91066
30,30,1986,Baden-Wuerttemberg,Urban regions,Temporary job,0.17499,32,605,0.12242,0.22522
31,31,1986,Bavaria,Urban regions,Permanent job,1.0,55,605,0.85284,1.13399
32,32,1986,Bavaria,Rural regions,Permanent job,1.0,45,605,0.84991,1.14544
33,33,1986,Berlin,Urban regions,Permanent job,1.0,35,605,0.78942,1.19858
34,34,1987,Lower Saxony,Urban regions,Permanent job,1.0,42,950,0.86409,1.13964
35,35,1987,Lower Saxony,Rural regions,Permanent job,1.0,43,950,0.85528,1.14863
36,36,1987,North Rhine-Westphalia,Urban regions,Permanent job,0.72651,194,950,0.65918,0.80101
37,37,1987,North Rhine-Westphalia,Urban regions,Temporary job,0.27349,86,950,0.23976,0.31241
38,38,1987,Hesse,Urban regions,Permanent job,0.75206,74,950,0.63892,0.8939
39,39,1987,Hesse,Urban regions,Temporary job,0.24794,32,950,0.17854,0.33624
40,40,1987,"Rhineland-Palatinate, Saarland",Urban regions,Permanent job,1.0,36,950,0.863,1.13908
41,41,1987,Baden-Wuerttemberg,Urban regions,Permanent job,0.73008,108,950,0.62389,0.82004
42,42,1987,Baden-Wuerttemberg,Urban regions,Temporary job,0.26992,41,950,0.21443,0.31791
43,43,1987,Baden-Wuerttemberg,Rural regions,Permanent job,1.0,35,950,0.80354,1.22554
44,44,1987,Bavaria,Urban regions,Permanent job,0.69583,74,950,0.61132,0.79911
45,45,1987,Bavaria,Urban regions,Temporary job,0.30417,39,950,0.23829,0.38132
46,46,1987,Bavaria,Rural regions,Permanent job,0.722,69,950,0.65043,0.79507
47,47,1987,Bavaria,Rural regions,Temporary job,0.278,31,950,0.23151,0.32629
48,48,1987,Berlin,Urban regions,Permanent job,1.0,46,950,0.82908,1.17451
49,49,1988,Schleswig-Holstein,Urban regions,Permanent job,1.0,71,5155,0.89633,1.10341
50,50,1988,Schleswig-Holstein,Rural regions,Permanent job,1.0,62,5155,0.88993,1.12886
51,51,1988,Hamburg,Urban regions,Permanent job,1.0,96,5155,0.8757,1.12662
52,52,1988,Lower Saxony,Urban regions,Permanent job,0.90467,245,5155,0.83289,0.96237
53,53,1988,Lower Saxony,Urban regions,Temporary job,0.09533,32,5155,0.07039,0.12451
54,54,1988,Lower Saxony,Rural regions,Permanent job,0.79775,204,5155,0.75578,0.83622
55,55,1988,Lower Saxony,Rural regions,Temporary job,0.20225,48,5155,0.18051,0.2208
56,56,1988,Bremen,Urban regions,Permanent job,1.0,35,5155,0.85871,1.13394
57,57,1988,North Rhine-Westphalia,Urban regions,Permanent job,0.88085,1169,5155,0.84727,0.91286
58,58,1988,North Rhine-Westphalia,Urban regions,Temporary job,0.11915,173,5155,0.1074,0.13071
59,59,1988,Hesse,Urban regions,Permanent job,0.91464,412,5155,0.84459,0.98435
60,60,1988,Hesse,Urban regions,Temporary job,0.08536,49,5155,0.06979,0.10504
61,61,1988,Hesse,Rural regions,Permanent job,1.0,57,5155,0.84735,1.14786
62,62,1988,"Rhineland-Palatinate, Saarland",Urban regions,Permanent job,0.87172,257,5155,0.8054,0.92953
63,63,1988,"Rhineland-Palatinate, Saarland",Urban regions,Temporary job,0.12828,41,5155,0.10723,0.14583
64,64,1988,"Rhineland-Palatinate, Saarland",Rural regions,Permanent job,1.0,44,5155,0.86544,1.14201
65,65,1988,Baden-Wuerttemberg,Urban regions,Permanent job,0.91072,862,5155,0.85825,0.969
66,66,1988,Baden-Wuerttemberg,Urban regions,Temporary job,0.08928,91,5155,0.07609,0.10321
67,67,1988,Baden-Wuerttemberg,Rural regions,Permanent job,1.0,132,5155,0.86507,1.12168
68,68,1988,Bavaria,Urban regions,Permanent job,0.91983,436,5155,0.87216,0.97608
69,69,1988,Bavaria,Urban regions,Temporary job,0.08017,52,5155,0.0631,0.09924
70,70,1988,Bavaria,Rural regions,Permanent job,0.84993,356,5155,0.80932,0.899
71,71,1988,Bavaria,Rural regions,Temporary job,0.15007,61,5155,0.12909,0.16919
72,72,1988,Berlin,Urban regions,Permanent job,1.0,170,5155,0.90721,1.09129
73,73,1989,North Rhine-Westphalia,Urban regions,Permanent job,0.70755,155,610,0.64032,0.78386
74,74,1989,North Rhine-Westphalia,Urban regions,Temporary job,0.29245,73,610,0.25423,0.33652
75,75,1989,Hesse,Urban regions,Permanent job,1.0,53,610,0.81068,1.23906
76,76,1989,"Rhineland-Palatinate, Saarland",Urban regions,Permanent job,1.0,40,610,0.84362,1.20434
77,77,1989,Baden-Wuerttemberg,Urban regions,Permanent job,0.7445,93,610,0.63738,0.86961
78,78,1989,Baden-Wuerttemberg,Urban regions,Temporary job,0.2555,44,610,0.19505,0.32699
79,79,1989,Bavaria,Urban regions,Permanent job,1.0,69,610,0.83535,1.16645
80,80,1989,Bavaria,Rural regions,Permanent job,1.0,51,610,0.87253,1.13841
81,81,1989,Berlin,Urban regions,Permanent job,1.0,32,610,0.76726,1.25019
82,82,1990,Lower Saxony,Rural regions,Permanent job,1.0,39,3771,0.83775,1.17454
83,83,1990,North Rhine-Westphalia,Urban regions,Permanent job,0.72611,162,3771,0.6447,0.79623
84,84,1990,North Rhine-Westphalia,Urban regions,Temporary job,0.27389,73,3771,0.23467,0.3135
85,85,1990,Hesse,Urban regions,Permanent job,1.0,68,3771,0.80926,1.16707
86,86,1990,Baden-Wuerttemberg,Urban regions,Permanent job,0.78952,136,3771,0.69017,0.92
87,87,1990,Baden-Wuerttemberg,Urban regions,Temporary job,0.21048,35,3771,0.16278,0.26064
88,88,1990,Bavaria,Urban regions,Permanent job,1.0,71,3771,0.85059,1.14947
89,89,1990,Bavaria,Rural regions,Permanent job,1.0,71,3771,0.8831,1.09232
90,90,1990,Berlin,Urban regions,Permanent job,1.0,217,3771,0.92597,1.07536
91,91,1990,Brandenburg,Urban regions,Permanent job,1.0,49,3771,0.89654,1.12869
92,92,1990,Brandenburg,Rural regions,Permanent job,1.0,442,3771,0.95958,1.03684
93,93,1990,Mecklenburg-Western Pomerania,Urban regions,Permanent job,1.0,41,3771,0.90427,1.11549
94,94,1990,Mecklenburg-Western Pomerania,Rural regions,Permanent job,1.0,311,3771,0.96231,1.03809
95,95,1990,Saxony,Urban regions,Permanent job,0.92657,478,3771,0.89716,0.95435
96,96,1990,Saxony,Urban regions,Temporary job,0.07343,40,3771,0.06694,0.08215
97,97,1990,Saxony,Rural regions,Permanent job,0.93962,425,3771,0.9096,0.96758
98,98,1990,Saxony,Rural regions,Temporary job,0.06038,31,3771,0.05428,0.06804
99,99,1990,Saxony-Anhalt,Urban regions,Permanent job,1.0,124,3771,0.91874,1.11151
100,100,1990,Saxony-Anhalt,Rural regions,Permanent job,0.91291,425,3771,0.87291,0.94599
101,101,1990,Saxony-Anhalt,Rural regions,Temporary job,0.08709,42,3771,0.07803,0.09958
102,102,1990,Thuringa,Urban regions,Permanent job,1.0,150,3771,0.93806,1.06827
103,103,1990,Thuringa,Rural regions,Permanent job,1.0,341,3771,0.95633,1.04809
104,104,1991,Lower Saxony,Urban regions,Permanent job,1.0,44,1268,0.7913,1.18902
105,105,1991,Lower Saxony,Rural regions,Permanent job,1.0,34,1268,0.80645,1.15895
106,106,1991,North Rhine-Westphalia,Urban regions,Permanent job,0.70772,160,1268,0.63633,0.7871
107,107,1991,North Rhine-Westphalia,Urban regions,Temporary job,0.29228,69,1268,0.23576,0.34406
108,108,1991,Hesse,Urban regions,Permanent job,1.0,69,1268,0.80441,1.20721
109,109,1991,"Rhineland-Palatinate, Saarland",Urban regions,Permanent job,1.0,47,1268,0.84276,1.18176
110,110,1991,Baden-Wuerttemberg,Urban regions,Permanent job,0.8392,137,1268,0.72467,0.95425
111,111,1991,Baden-Wuerttemberg,Urban regions,Temporary job,0.1608,34,1268,0.1081,0.20429
112,112,1991,Bavaria,Urban regions,Permanent job,1.0,73,1268,0.86631,1.20177
113,113,1991,Bavaria,Rural regions,Permanent job,1.0,53,1268,0.83642,1.1512
114,114,1991,Berlin,Urban regions,Permanent job,1.0,68,1268,0.84991,1.19543
115,115,1991,Brandenburg,Rural regions,Permanent job,1.0,81,1268,0.92537,1.08621
116,116,1991,Mecklenburg-Western Pomerania,Rural regions,Permanent job,1.0,58,1268,0.85848,1.13986
117,117,1991,Saxony,Urban regions,Permanent job,1.0,85,1268,0.91472,1.10883
118,118,1991,Saxony,Rural regions,Permanent job,1.0,57,1268,0.91135,1.11197
119,119,1991,Saxony-Anhalt,Urban regions,Permanent job,1.0,35,1268,0.78462,1.24785
120,120,1991,Saxony-Anhalt,Rural regions,Permanent job,1.0,71,1268,0.88235,1.14298
121,121,1991,Thuringa,Urban regions,Permanent job,1.0,32,1268,0.80124,1.20216
122,122,1991,Thuringa,Rural regions,Permanent job,1.0,61,1268,0.87554,1.16764
123,123,1992,Lower Saxony,Urban regions,Permanent job,1.0,33,1103,0.79248,1.25264
124,124,1992,Lower Saxony,Rural regions,Permanent job,1.0,33,1103,0.81112,1.18215
125,125,1992,North Rhine-Westphalia,Urban regions,Permanent job,0.72782,163,1103,0.64677,0.81965
126,126,1992,North Rhine-Westphalia,Urban regions,Temporary job,0.27218,61,1103,0.22496,0.31453
127,127,1992,Hesse,Urban regions,Permanent job,1.0,57,1103,0.76719,1.19604
128,128,1992,"Rhineland-Palatinate, Saarland",Urban regions,Permanent job,1.0,32,1103,0.80921,1.18271
129,129,1992,Baden-Wuerttemberg,Urban regions,Permanent job,1.0,108,1103,0.87413,1.15004
130,130,1992,Bavaria,Urban regions,Permanent job,1.0,80,1103,0.84454,1.18639
131,131,1992,Bavaria,Rural regions,Permanent job,1.0,64,1103,0.87467,1.11221
132,132,1992,Berlin,Urban regions,Permanent job,1.0,68,1103,0.8737,1.16571
133,133,1992,Brandenburg,Rural regions,Permanent job,1.0,60,1103,0.90945,1.11239
134,134,1992,Mecklenburg-Western Pomerania,Rural regions,Permanent job,1.0,50,1103,0.89703,1.13363
135,135,1992,Saxony,Urban regions,Permanent job,1.0,76,1103,0.92144,1.07995
136,136,1992,Saxony,Rural regions,Permanent job,1.0,52,1103,0.91593,1.09606
137,137,1992,Saxony-Anhalt,Rural regions,Permanent job,0.68775,71,1103,0.57699,0.79224
138,138,1992,Saxony-Anhalt,Rural regions,Temporary job,0.31225,31,1103,0.25295,0.39827
139,139,1992,Thuringa,Rural regions,Permanent job,1.0,64,1103,0.88515,1.14929
140,140,1993,Lower Saxony,Urban regions,Permanent job,1.0,38,970,0.80305,1.25091
141,141,1993,Lower Saxony,Rural regions,Permanent job,1.0,31,970,0.84673,1.14556
142,142,1993,North Rhine-Westphalia,Urban regions,Permanent job,0.72691,159,970,0.65239,0.81303
143,143,1993,North Rhine-Westphalia,Urban regions,Temporary job,0.27309,59,970,0.22723,0.32575
144,144,1993,Hesse,Urban regions,Permanent job,1.0,61,970,0.81136,1.23364
145,145,1993,"Rhineland-Palatinate, Saarland",Urban regions,Permanent job,1.0,34,970,0.85283,1.15616
146,146,1993,Baden-Wuerttemberg,Urban regions,Permanent job,1.0,102,970,0.85049,1.15862
147,147,1993,Bavaria,Urban regions,Permanent job,1.0,55,970,0.84609,1.16184
148,148,1993,Bavaria,Rural regions,Permanent job,1.0,56,970,0.84348,1.18995
149,149,1993,Berlin,Urban regions,Permanent job,1.0,70,970,0.87303,1.15619
150,150,1993,Brandenburg,Rural regions,Permanent job,1.0,52,970,0.84752,1.19747
151,151,1993,Mecklenburg-Western Pomerania,Rural regions,Permanent job,1.0,37,970,0.85083,1.22136
152,152,1993,Saxony,Urban regions,Permanent job,1.0,65,970,0.90219,1.09506
153,153,1993,Saxony,Rural regions,Permanent job,1.0,54,970,0.87077,1.1194
154,154,1993,Saxony-Anhalt,Rural regions,Permanent job,1.0,52,970,0.86937,1.15375
155,155,1993,Thuringa,Rural regions,Permanent job,1.0,45,970,0.84216,1.1579
156,156,1994,Lower Saxony,Urban regions,Permanent job,1.0,31,744,0.73911,1.36906
157,157,1994,North Rhine-Westphalia,Urban regions,Permanent job,0.64173,133,744,0.55502,0.74042
158,158,1994,North Rhine-Westphalia,Urban regions,Temporary job,0.35827,77,744,0.29332,0.42257
159,159,1994,Hesse,Urban regions,Permanent job,1.0,36,744,0.78725,1.22689
160,160,1994,Baden-Wuerttemberg,Urban regions,Permanent job,0.79628,97,744,0.65347,0.93067
161,161,1994,Baden-Wuerttemberg,Urban regions,Temporary job,0.20372,32,744,0.13954,0.27383
162,162,1994,Bavaria,Urban regions,Permanent job,1.0,52,744,0.83939,1.17068
163,163,1994,Bavaria,Rural regions,Permanent job,1.0,44,744,0.80174,1.18469
