"plb0037_h","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Befristet","1985","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Befristet","1985","(Fach-)Abitur","Staedtischer Raum","69","0.251107839107374","0.203295022602773","0.298920655611976"
"Befristet","1985","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Befristet","1985","(noch) kein Abschluss","Staedtischer Raum","23","","",""
"Befristet","1985","AkademikerIn","Laendlicher Raum","5","","",""
"Befristet","1985","AkademikerIn","Staedtischer Raum","65","0.134467641090383","0.101956781305611","0.166978500875156"
"Befristet","1985","Hauptschule","Laendlicher Raum","64","0.0888952529736776","0.0680786763860905","0.109711829561265"
"Befristet","1985","Hauptschule","Staedtischer Raum","241","0.0892363975677113","0.0782359061636326","0.10023688897179"
"Befristet","1985","Realschule","Laendlicher Raum","52","0.230647175848449","0.176324776003227","0.284969575693671"
"Befristet","1985","Realschule","Staedtischer Raum","130","0.155640964172862","0.1302492077172","0.181032720628524"
"Unbefristet","1985","(Fach-)Abitur","Laendlicher Raum","33","0.663186898688145","0.529484275035111","0.796889522341179"
"Unbefristet","1985","(Fach-)Abitur","Staedtischer Raum","247","0.748892160892626","0.701079344388025","0.796704977397227"
"Unbefristet","1985","(noch) kein Abschluss","Laendlicher Raum","44","0.840990734208684","0.738600892265054","0.943380576152314"
"Unbefristet","1985","(noch) kein Abschluss","Staedtischer Raum","410","0.92459332944963","0.899722835912194","0.949463822987065"
"Unbefristet","1985","AkademikerIn","Laendlicher Raum","69","0.933497371408976","0.876728771061557","0.990265971756394"
"Unbefristet","1985","AkademikerIn","Staedtischer Raum","358","0.865532358909617","0.833021499124844","0.898043218694389"
"Unbefristet","1985","Hauptschule","Laendlicher Raum","654","0.911104747026322","0.890288170438735","0.93192132361391"
"Unbefristet","1985","Hauptschule","Staedtischer Raum","2339","0.910763602432289","0.89976311102821","0.921764093836367"
"Unbefristet","1985","Realschule","Laendlicher Raum","179","0.769352824151551","0.715030424306329","0.823675223996773"
"Unbefristet","1985","Realschule","Staedtischer Raum","653","0.844359035827138","0.818967279371476","0.8697507922828"
