year,bula_h,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,West,Permanent job,0.35234,161,161,0.27832,0.42636
1985,Hamburg,West,Permanent job,0.37636,133,133,0.29371,0.45901
1985,Lower Saxony,West,Permanent job,0.31146,447,508,0.27114,0.35177
1985,Lower Saxony,West,Temporary job,0.04739,61,508,0.02890,0.06589
1985,North Rhine-Westphalia,West,Permanent job,0.33368,1318,1501,0.30982,0.35755
1985,North Rhine-Westphalia,West,Temporary job,0.04833,183,1501,0.03748,0.05918
1985,Hesse,West,Permanent job,0.34807,520,591,0.30963,0.38651
1985,Hesse,West,Temporary job,0.04724,71,591,0.03012,0.06436
1985,"Rhineland-Palatinate, Saarland",West,Permanent job,0.31658,316,364,0.26873,0.36443
1985,"Rhineland-Palatinate, Saarland",West,Temporary job,0.04828,48,364,0.02623,0.07033
1985,Baden-Wuerttemberg,West,Permanent job,0.37386,1062,1167,0.34609,0.40163
1985,Baden-Wuerttemberg,West,Temporary job,0.03899,105,1167,0.02788,0.05010
1985,Bavaria,West,Permanent job,0.33594,874,1005,0.30673,0.36516
1985,Bavaria,West,Temporary job,0.05263,131,1005,0.03882,0.06645
1985,Berlin,West,Permanent job,0.38095,179,211,0.31527,0.44663
1985,Berlin,West,Temporary job,0.06342,32,211,0.03046,0.09638
1986,Lower Saxony,West,Permanent job,0.02758,57,90,-0.00644,0.06160
1986,Lower Saxony,West,Temporary job,0.02317,33,90,-0.00809,0.05442
1986,North Rhine-Westphalia,West,Permanent job,0.03459,146,195,0.00888,0.06031
1986,North Rhine-Westphalia,West,Temporary job,0.01363,49,195,-0.00269,0.02995
1986,Hesse,West,Permanent job,0.05082,64,64,-0.00341,0.10506
1986,"Rhineland-Palatinate, Saarland",West,Permanent job,0.04749,50,50,-0.01206,0.10704
1986,Baden-Wuerttemberg,West,Permanent job,0.05559,136,176,0.02165,0.08954
1986,Baden-Wuerttemberg,West,Temporary job,0.01268,40,176,-0.00390,0.02926
1986,Bavaria,West,Permanent job,0.03733,100,100,-0.00001,0.07467
1986,Berlin,West,Permanent job,0.08111,35,35,-0.01066,0.17287
1987,Lower Saxony,West,Permanent job,0.05394,85,125,0.01418,0.09370
1987,Lower Saxony,West,Temporary job,0.02814,40,125,-0.00097,0.05725
1987,North Rhine-Westphalia,West,Permanent job,0.05660,203,290,0.02996,0.08324
1987,North Rhine-Westphalia,West,Temporary job,0.02051,87,290,0.00417,0.03685
1987,Hesse,West,Permanent job,0.05520,84,121,0.01434,0.09606
1987,Hesse,West,Temporary job,0.01770,37,121,-0.00589,0.04130
1987,"Rhineland-Palatinate, Saarland",West,Permanent job,0.04422,47,47,-0.01519,0.10364
1987,Baden-Wuerttemberg,West,Permanent job,0.05159,143,192,0.02022,0.08296
1987,Baden-Wuerttemberg,West,Temporary job,0.01665,49,192,-0.00150,0.03479
1987,Bavaria,West,Permanent job,0.06174,143,213,0.02934,0.09414
1987,Bavaria,West,Temporary job,0.02541,70,213,0.00422,0.04659
1987,Berlin,West,Permanent job,0.09136,46,46,0.00717,0.17554
1988,Schleswig-Holstein,West,Permanent job,0.30601,133,166,0.23569,0.37633
1988,Schleswig-Holstein,West,Temporary job,0.06417,33,166,0.02678,0.10156
1988,Hamburg,West,Permanent job,0.41721,98,98,0.31908,0.51534
1988,Lower Saxony,West,Permanent job,0.33343,449,529,0.29322,0.37364
1988,Lower Saxony,West,Temporary job,0.05803,80,529,0.03808,0.07797
1988,Bremen,West,Permanent job,0.25858,35,35,0.11140,0.40575
1988,North Rhine-Westphalia,West,Permanent job,0.34824,1199,1375,0.32305,0.37343
1988,North Rhine-Westphalia,West,Temporary job,0.04644,176,1375,0.03532,0.05757
1988,Hesse,West,Permanent job,0.34485,469,527,0.30423,0.38548
1988,Hesse,West,Temporary job,0.03614,58,527,0.02019,0.05209
1988,"Rhineland-Palatinate, Saarland",West,Permanent job,0.32221,301,351,0.27325,0.37117
1988,"Rhineland-Palatinate, Saarland",West,Temporary job,0.05086,50,351,0.02784,0.07388
1988,Baden-Wuerttemberg,West,Permanent job,0.39133,994,1092,0.36237,0.42029
1988,Baden-Wuerttemberg,West,Temporary job,0.03699,98,1092,0.02579,0.04818
1988,Bavaria,West,Permanent job,0.36197,792,905,0.33064,0.39330
1988,Bavaria,West,Temporary job,0.04579,113,905,0.03217,0.05942
1988,Berlin,West,Permanent job,0.42714,170,170,0.35256,0.50172
1989,Lower Saxony,West,Permanent job,0.04784,54,54,-0.00962,0.10530
1989,North Rhine-Westphalia,West,Permanent job,0.05443,162,238,0.02555,0.08331
1989,North Rhine-Westphalia,West,Temporary job,0.02217,76,238,0.00342,0.04091
1989,Hesse,West,Permanent job,0.04040,62,62,-0.00901,0.08982
1989,"Rhineland-Palatinate, Saarland",West,Permanent job,0.06051,44,44,-0.01076,0.13177
1989,Baden-Wuerttemberg,West,Permanent job,0.05146,123,172,0.01834,0.08457
1989,Baden-Wuerttemberg,West,Temporary job,0.01628,49,172,-0.00269,0.03525
1989,Bavaria,West,Permanent job,0.05881,120,154,0.02153,0.09609
