year,bula_h,hgeqpnrj,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,No,0.036428663068047956,292,10177,0.03636927566032213,0.03648805047577378
2009,Hamburg,No,0.023009875230842063,172,10177,0.022962349037034764,0.023057401424649362
2009,Lower Saxony,No,0.09276742869234168,867,10177,0.09267547103640718,0.09285938634827619
2009,Bremen,No,0.00969276765362263,71,10177,0.009661712070207445,0.009723823237037814
2009,North Rhine-Westphalia,Yes,0.0033895600424367605,34,10177,0.0033711368368843685,0.0034079832479891525
2009,North Rhine-Westphalia,No,0.21409522121674823,1958,10177,0.21396519849063683,0.21422524394285963
2009,Hesse,No,0.0723398185595905,665,10177,0.07225770516976647,0.07242193194941453
2009,"Rhineland-Palatinate, Saarland",No,0.05850776185712332,558,10177,0.058433366483308394,0.05858215723093825
2009,Baden-Wuerttemberg,No,0.12323726000567568,1093,10177,0.12313306596621341,0.12334145404513795
2009,Bavaria,Yes,0.003216877921433328,41,10177,0.003198928583104627,0.003234827259762029
2009,Bavaria,No,0.14883836092958797,1368,10177,0.14872553880434908,0.14895118305482685
2009,Berlin,No,0.048194142405968005,422,10177,0.04812625298091198,0.04826203183102403
2009,Brandenburg,No,0.03237276143116159,428,10177,0.03231665989776222,0.03242886296456096
2009,Mecklenburg-Western Pomerania,No,0.0214264180479931,256,10177,0.021380519140702638,0.021472316955283566
2009,Saxony,No,0.05440327161627641,718,10177,0.05433137701077637,0.05447516622177644
2009,Saxony-Anhalt,No,0.030428371953329866,407,10177,0.030373926687413975,0.030482817219245756
2009,Thuringa,No,0.02765143936782087,436,10177,0.027599463628554435,0.027703415107087306
2010,Schleswig-Holstein,No,0.03506946525854134,439,13799,0.03501205267340648,0.035126877843676206
2010,Hamburg,No,0.023420223308675093,237,13799,0.023373023103679464,0.02346742351367072
2010,Lower Saxony,Yes,0.002188408660444465,31,13799,0.002173824447713876,0.002202992873175054
2010,Lower Saxony,No,0.09428801188249453,1224,13799,0.0941968070598774,0.09437921670511165
2010,Bremen,No,0.009809065683383012,104,13799,0.009778306995871915,0.00983982437089411
2010,North Rhine-Westphalia,Yes,0.004063649172953762,73,13799,0.004043794241082302,0.004083504104825222
2010,North Rhine-Westphalia,No,0.21188773780037332,2726,13799,0.21176019925475495,0.21201527634599168
2010,Hesse,No,0.07168883540648488,930,13799,0.07160832221257725,0.07176934860039251
2010,"Rhineland-Palatinate, Saarland",No,0.05841775195493485,744,13799,0.05834455448720333,0.05849094942266637
2010,Baden-Wuerttemberg,Yes,0.0028084252832536465,54,13799,0.0027919088889272053,0.0028249416775800876
2010,Baden-Wuerttemberg,No,0.12291779013134854,1560,13799,0.1228153141635257,0.12302026609917138
2010,Bavaria,Yes,0.004167840865082448,88,13799,0.004147734056494836,0.004187947673670061
2010,Bavaria,No,0.14753649820758283,1933,13799,0.14742581489760911,0.14764718151755654
2010,Berlin,No,0.04950967580207524,585,13799,0.049441971947182875,0.04957737965696761
2010,Brandenburg,No,0.03112366338325235,545,13799,0.031069466534554238,0.03117786023195046
2010,Mecklenburg-Western Pomerania,No,0.020763835048474025,342,13799,0.020719331769270266,0.020808338327677783
2010,Saxony,No,0.05304613457230177,897,13799,0.052976184883348695,0.053116084261254845
2010,Saxony-Anhalt,No,0.029433216510848428,517,13799,0.029380466071605386,0.02948596695009147
2010,Thuringa,No,0.027859771067495414,523,13799,0.02780840838053674,0.027911133754454087
2011,Schleswig-Holstein,No,0.03625446453443092,590,16603,0.036195829144568946,0.0363130999242929
2011,Hamburg,No,0.022403345818206678,262,16603,0.022356922714302865,0.02244976892211049
2011,Lower Saxony,Yes,0.0028872037348092443,53,16603,0.002870372780531581,0.0029040346890869075
2011,Lower Saxony,No,0.0933888414924211,1457,16603,0.09329756563865628,0.09348011734618593
2011,Bremen,No,0.009056554765086105,120,16603,0.00902683784315166,0.00908627168702055
2011,North Rhine-Westphalia,Yes,0.004863376690254736,92,16603,0.004841554004989197,0.004885199375520275
2011,North Rhine-Westphalia,No,0.2119148918774243,3193,16603,0.2117866986212746,0.21204308513357398
2011,Hesse,No,0.07226558106185633,1122,16603,0.07218435872807108,0.07234680339564159
2011,"Rhineland-Palatinate, Saarland",Yes,0.0014513225497166814,36,16603,0.0014393808960417108,0.001463264203391652
2011,"Rhineland-Palatinate, Saarland",No,0.05844910014099056,905,16603,0.05837551185356718,0.058522688428413946
2011,Baden-Wuerttemberg,Yes,0.004087046228484408,96,16603,0.004067033175481898,0.004107059281486918
2011,Baden-Wuerttemberg,No,0.1209630770202263,1899,16603,0.12086078827490865,0.12106536576554394
2011,Bavaria,Yes,0.005198749943614776,129,16603,0.00517619116898989,0.005221308718239661
2011,Bavaria,No,0.1476070371829246,2439,16603,0.14749576891201585,0.14771830545383333
2011,Berlin,No,0.04858351228415511,666,16603,0.04851607071432374,0.04865095385398648
2011,Brandenburg,No,0.030544118595110557,664,16603,0.0304901394871314,0.030598097703089713
2011,Mecklenburg-Western Pomerania,No,0.02047784115317035,394,16603,0.020433414141964087,0.020522268164376616
2011,Saxony,No,0.05277114459252313,1020,16603,0.05270101140196053,0.05284127778308572
2011,Saxony-Anhalt,No,0.02922084175060367,640,16603,0.02916800884899731,0.029273674652210032
2011,Thuringa,No,0.027611948583990374,638,16603,0.02756054821759741,0.02766334895038334
2012,Schleswig-Holstein,No,0.03575396686999213,587,16303,0.03569596655550961,0.03581196718447465
2012,Hamburg,No,0.022502003905652112,269,16303,0.022455675981920303,0.02254833182938392
2012,Lower Saxony,Yes,0.003131001830102641,53,16303,0.0031135502398759248,0.0031484534203293575
2012,Lower Saxony,No,0.09258969021503831,1427,16303,0.09249914667478726,0.09268023375528936
2012,Bremen,No,0.009375208359897297,122,16303,0.009345104695636517,0.009405312024158077
2012,North Rhine-Westphalia,Yes,0.004773647223415612,90,16303,0.0047521164120817964,0.004795178034749428
2012,North Rhine-Westphalia,No,0.21057721979646837,3113,16303,0.21044985927685453,0.21070458031608222
2012,Hesse,No,0.07338337541369022,1111,16303,0.07330191939354093,0.07346483143383951
2012,"Rhineland-Palatinate, Saarland",Yes,0.0022942885412357587,38,16303,0.002279343416351392,0.0023092336661201256
2012,"Rhineland-Palatinate, Saarland",No,0.05760064765247792,890,16303,0.05752786875469843,0.0576734265502574
2012,Baden-Wuerttemberg,Yes,0.005001370583766911,105,16303,0.004979334720942137,0.005023406446591686
2012,Baden-Wuerttemberg,No,0.12011356314193002,1795,16303,0.12001201227435326,0.12021511400950677
2012,Bavaria,Yes,0.0051804069166001354,110,16303,0.005157982125626746,0.005202831707573525
2012,Bavaria,No,0.14779066482264855,2415,16303,0.14767980582533694,0.14790152381996016
2012,Berlin,No,0.048622721169901156,692,16303,0.04855553647967568,0.048689905860126635
2012,Brandenburg,No,0.03012287652477541,649,16303,0.030069483948114217,0.030176269101436604
2012,Mecklenburg-Western Pomerania,No,0.020828980682466025,393,16303,0.020784370131673485,0.020873591233258566
2012,Saxony,Yes,0.0016156132725720957,37,16303,0.0016030676592492176,0.0016281588858949737
2012,Saxony,No,0.0529911664919716,1036,16303,0.05292118985671746,0.05306114312722574
