year,quintil_oecd_hh,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,No,0.99274,1741,1741,0.98875,0.99673
2009,2nd Quintile,No,0.98965,1823,1823,0.98500,0.99430
2009,3rd Quintile,No,0.98929,1873,1873,0.98462,0.99395
2009,4th Quintile,Yes,0.02356,53,2008,0.01692,0.03019
2009,4th Quintile,No,0.97644,1955,2008,0.96981,0.98308
2009,5th Quintile,Yes,0.03361,103,2418,0.02643,0.04080
2009,5th Quintile,No,0.96639,2315,2418,0.95920,0.97357
2010,1st Quintile,No,0.99316,3099,3099,0.99025,0.99606
2010,2nd Quintile,Yes,0.01070,61,2906,0.00696,0.01444
2010,2nd Quintile,No,0.98930,2845,2906,0.98556,0.99304
2010,3rd Quintile,Yes,0.01236,80,2541,0.00806,0.01666
2010,3rd Quintile,No,0.98764,2461,2541,0.98334,0.99194
2010,4th Quintile,Yes,0.02754,100,2435,0.02104,0.03405
2010,4th Quintile,No,0.97246,2335,2435,0.96595,0.97896
2010,5th Quintile,Yes,0.03823,121,2683,0.03097,0.04548
2010,5th Quintile,No,0.96177,2562,2683,0.95452,0.96903
2011,1st Quintile,Yes,0.01050,45,3693,0.00721,0.01379
2011,1st Quintile,No,0.98950,3648,3693,0.98621,0.99279
2011,2nd Quintile,Yes,0.01043,62,3403,0.00701,0.01384
2011,2nd Quintile,No,0.98957,3341,3403,0.98616,0.99299
2011,3rd Quintile,Yes,0.01960,103,3214,0.01481,0.02439
2011,3rd Quintile,No,0.98040,3111,3214,0.97561,0.98519
2011,4th Quintile,Yes,0.03482,155,3056,0.02832,0.04132
2011,4th Quintile,No,0.96518,2901,3056,0.95868,0.97168
2011,5th Quintile,Yes,0.04714,174,3179,0.03977,0.05451
2011,5th Quintile,No,0.95286,3005,3179,0.94549,0.96023
2012,1st Quintile,Yes,0.01148,40,3590,0.00799,0.01496
2012,1st Quintile,No,0.98852,3550,3590,0.98504,0.99201
2012,2nd Quintile,Yes,0.01380,74,3307,0.00983,0.01778
