year,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Owner,Yes,0.03026,181,4927,0.02548,0.03505
2009,Owner,No,0.92410,4746,4927,0.91670,0.93149
2009,Tenant,Yes,0.00525,32,4997,0.00324,0.00725
2009,Tenant,No,0.96200,4965,4997,0.95669,0.96730
2010,Owner,Yes,0.03449,320,6284,0.02998,0.03901
2010,Owner,No,0.95188,5964,6284,0.94659,0.95718
2010,Tenant,Yes,0.00559,72,7414,0.00390,0.00729
2010,Tenant,No,0.97725,7342,7414,0.97386,0.98064
2011,Owner,Yes,0.04411,449,7693,0.03952,0.04870
2011,Owner,No,0.95054,7244,7693,0.94570,0.95539
2011,Tenant,Yes,0.00771,90,8855,0.00589,0.00953
2011,Tenant,No,0.98611,8765,8855,0.98367,0.98855
2012,Owner,Yes,0.04874,454,7581,0.04389,0.05359
2012,Owner,No,0.94757,7127,7581,0.94255,0.95259
2012,Tenant,Yes,0.00809,85,8693,0.00620,0.00997
2012,Tenant,No,0.98825,8608,8693,0.98598,0.99052
2013,Owner,Yes,0.04796,485,7706,0.04319,0.05273
2013,Owner,No,0.95157,7221,7706,0.94677,0.95636
2013,Tenant,Yes,0.00912,84,10154,0.00727,0.01097
2013,Tenant,No,0.98969,10070,10154,0.98772,0.99165
2014,Owner,Yes,0.05646,495,7048,0.05107,0.06185
2014,Owner,No,0.94254,6553,7048,0.93711,0.94797
2014,Tenant,Yes,0.01401,107,8766,0.01155,0.01647
2014,Tenant,No,0.98398,8659,8766,0.98135,0.98661
2015,Owner,Yes,0.04808,455,6733,0.04297,0.05319
2015,Owner,No,0.95138,6278,6733,0.94624,0.95651
2015,Tenant,Yes,0.01485,114,9005,0.01235,0.01735
2015,Tenant,No,0.98125,8891,9005,0.97845,0.98405
2016,Owner,Yes,0.05924,439,6300,0.05341,0.06507
2016,Owner,No,0.94064,5861,6300,0.93480,0.94647
2016,Tenant,Yes,0.01044,92,7985,0.00821,0.01267
2016,Tenant,No,0.98590,7893,7985,0.98332,0.98849
2017,Owner,Yes,0.06120,526,7058,0.05561,0.06680
2017,Owner,No,0.93744,6532,7058,0.93179,0.94309
2017,Tenant,Yes,0.01586,134,8588,0.01321,0.01850
2017,Tenant,No,0.97180,8454,8588,0.96830,0.97530
2018,Owner,Yes,0.06581,515,6747,0.05990,0.07173
2018,Owner,No,0.93288,6232,6747,0.92691,0.93886
2018,Tenant,Yes,0.01555,129,8671,0.01294,0.01815
2018,Tenant,No,0.96627,8542,8671,0.96247,0.97007
2019,Owner,Yes,0.05660,450,5934,0.05072,0.06248
2019,Owner,No,0.88109,5484,5934,0.87285,0.88933
2019,Tenant,Yes,0.01393,110,6670,0.01111,0.01674
2019,Tenant,No,0.83370,6560,6670,0.82476,0.84263
2020,Owner,Yes,0.05286,527,6934,0.04759,0.05812
2020,Owner,No,0.94424,6407,6934,0.93884,0.94964
2020,Tenant,Yes,0.01847,154,9265,0.01573,0.02122
2020,Tenant,No,0.95645,9111,9265,0.95230,0.96061
2021,Owner,Yes,0.05208,355,4641,0.04568,0.05847
2021,Owner,No,0.86581,4286,4641,0.85601,0.87562
2021,Tenant,Yes,0.01672,87,5275,0.01326,0.02018
2021,Tenant,No,0.83959,5188,5275,0.82969,0.84950
2022,Owner,Yes,0.07712,838,7829,0.07121,0.08303
2022,Owner,No,0.92036,6991,7829,0.91436,0.92635
2022,Tenant,Yes,0.02830,396,11313,0.02524,0.03136
2022,Tenant,No,0.94874,10917,11313,0.94468,0.95281
