year,quintil_oecd_hh,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,West,No,0.99282,1172,1172,0.98799,0.99766
2009,1st Quintile,East,No,0.99251,569,569,0.98542,0.99960
2009,2nd Quintile,West,No,0.98955,1223,1223,0.98385,0.99525
2009,2nd Quintile,East,No,0.98999,600,600,0.98201,0.99796
2009,3rd Quintile,West,No,0.98938,1300,1300,0.98381,0.99496
2009,3rd Quintile,East,No,0.98895,573,573,0.98038,0.99751
2009,4th Quintile,West,Yes,0.02454,38,1596,0.01695,0.03213
2009,4th Quintile,West,No,0.97546,1558,1596,0.96787,0.98305
2009,4th Quintile,East,No,0.98227,397,397,0.96928,0.99527
2009,5th Quintile,West,Yes,0.03298,81,2098,0.02534,0.04063
2009,5th Quintile,West,No,0.96702,2017,2098,0.95937,0.97466
2009,5th Quintile,East,No,0.95947,298,298,0.93704,0.98190
2010,1st Quintile,West,No,0.99431,2245,2245,0.99119,0.99742
2010,1st Quintile,East,No,0.98957,854,854,0.98275,0.99639
2010,2nd Quintile,West,Yes,0.01027,47,2052,0.00591,0.01463
2010,2nd Quintile,West,No,0.98973,2005,2052,0.98537,0.99409
2010,2nd Quintile,East,No,0.98797,840,840,0.98060,0.99535
2010,3rd Quintile,West,Yes,0.01327,68,1895,0.00812,0.01842
2010,3rd Quintile,West,No,0.98673,1827,1895,0.98158,0.99188
2010,3rd Quintile,East,No,0.99140,634,634,0.98421,0.99859
2010,4th Quintile,West,Yes,0.02680,79,1974,0.01967,0.03392
2010,4th Quintile,West,No,0.97320,1895,1974,0.96608,0.98033
2010,4th Quintile,East,No,0.96839,440,440,0.95202,0.98476
2010,5th Quintile,West,Yes,0.03660,95,2369,0.02903,0.04416
2010,5th Quintile,West,No,0.96340,2274,2369,0.95584,0.97097
2010,5th Quintile,East,No,0.94242,288,288,0.91547,0.96937
2011,1st Quintile,West,Yes,0.00925,38,2598,0.00556,0.01293
2011,1st Quintile,West,No,0.99075,2560,2598,0.98707,0.99444
2011,1st Quintile,East,No,0.98592,1088,1088,0.97892,0.99293
2011,2nd Quintile,West,Yes,0.01016,50,2448,0.00619,0.01413
2011,2nd Quintile,West,No,0.98984,2398,2448,0.98587,0.99381
2011,2nd Quintile,East,No,0.98868,943,943,0.98193,0.99544
2011,3rd Quintile,West,Yes,0.02066,83,2427,0.01500,0.02632
2011,3rd Quintile,West,No,0.97934,2344,2427,0.97368,0.98500
2011,3rd Quintile,East,No,0.98442,767,767,0.97565,0.99319
2011,4th Quintile,West,Yes,0.03458,131,2522,0.02745,0.04172
2011,4th Quintile,West,No,0.96542,2391,2522,0.95828,0.97255
2011,4th Quintile,East,No,0.96371,510,510,0.94746,0.97996
