,Unnamed: 0,year,quintil_oecd_hh,rentown,hgeqpnrj,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,1st Quintile,Owner,No,1.0,284,9845,0.90946,1.09828
1,1,2009,1st Quintile,Tenant,No,1.0,1452,9845,0.95713,1.04064
2,2,2009,2nd Quintile,Owner,No,1.0,667,9845,0.93474,1.06885
3,3,2009,2nd Quintile,Tenant,No,1.0,1173,9845,0.96321,1.037
4,4,2009,3rd Quintile,Owner,No,1.0,964,9845,0.94882,1.04745
5,5,2009,3rd Quintile,Tenant,No,1.0,925,9845,0.94974,1.06467
6,6,2009,4th Quintile,Owner,Yes,0.03395,45,9845,0.02463,0.04558
7,7,2009,4th Quintile,Owner,No,0.96605,1171,9845,0.9133,1.00956
8,8,2009,4th Quintile,Tenant,No,1.0,755,9845,0.93478,1.07067
9,9,2009,5th Quintile,Owner,Yes,0.04745,93,9845,0.03799,0.06032
10,10,2009,5th Quintile,Owner,No,0.95255,1659,9845,0.91168,0.99406
11,11,2009,5th Quintile,Tenant,No,1.0,657,9845,0.93054,1.06472
12,12,2010,1st Quintile,Owner,No,1.0,448,13614,0.89464,1.10983
13,13,2010,1st Quintile,Tenant,No,1.0,2657,13614,0.94976,1.04319
14,14,2010,2nd Quintile,Owner,Yes,0.01735,40,13614,0.01235,0.02381
15,15,2010,2nd Quintile,Owner,No,0.98265,1037,13614,0.90523,1.03931
16,16,2010,2nd Quintile,Tenant,No,1.0,1785,13614,0.94575,1.05281
17,17,2010,3rd Quintile,Owner,Yes,0.02132,77,13614,0.01654,0.027
18,18,2010,3rd Quintile,Owner,No,0.97868,1262,13614,0.92096,1.0309
19,19,2010,3rd Quintile,Tenant,No,1.0,1214,13614,0.95571,1.06808
20,20,2010,4th Quintile,Owner,Yes,0.04166,81,13614,0.03089,0.05553
21,21,2010,4th Quintile,Owner,No,0.95834,1419,13614,0.90375,1.00826
22,22,2010,4th Quintile,Tenant,No,1.0,909,13614,0.93849,1.06915
23,23,2010,5th Quintile,Owner,Yes,0.05524,114,13614,0.04024,0.07037
24,24,2010,5th Quintile,Owner,No,0.94476,1798,13614,0.89854,0.99292
25,25,2010,5th Quintile,Tenant,No,1.0,773,13614,0.93013,1.0608
26,26,2011,1st Quintile,Owner,No,1.0,540,16436,0.91456,1.08307
27,27,2011,1st Quintile,Tenant,No,1.0,3083,16436,0.95768,1.04389
28,28,2011,2nd Quintile,Owner,Yes,0.02361,52,16436,0.0169,0.03059
29,29,2011,2nd Quintile,Owner,No,0.97639,1269,16436,0.91933,1.02948
30,30,2011,2nd Quintile,Tenant,No,1.0,2121,16436,0.95763,1.04974
31,31,2011,3rd Quintile,Owner,Yes,0.0323,88,16436,0.02497,0.03877
32,32,2011,3rd Quintile,Owner,No,0.9677,1575,16436,0.9208,1.02066
33,33,2011,3rd Quintile,Tenant,No,1.0,1532,16436,0.95617,1.05088
34,34,2011,4th Quintile,Owner,Yes,0.05388,137,16436,0.04252,0.06496
35,35,2011,4th Quintile,Owner,No,0.94612,1716,16436,0.90319,0.9901
36,36,2011,4th Quintile,Tenant,No,1.0,1150,16436,0.93832,1.06777
37,37,2011,5th Quintile,Owner,Yes,0.06271,153,16436,0.0513,0.07554
38,38,2011,5th Quintile,Owner,No,0.93729,2144,16436,0.89536,0.98228
39,39,2011,5th Quintile,Tenant,No,1.0,876,16436,0.94565,1.0587
40,40,2012,1st Quintile,Owner,No,1.0,540,16166,0.91218,1.09681
41,41,2012,1st Quintile,Tenant,No,1.0,3044,16166,0.96345,1.03764
42,42,2012,2nd Quintile,Owner,Yes,0.0325,57,16166,0.02311,0.04253
43,43,2012,2nd Quintile,Owner,No,0.9675,1131,16166,0.90925,1.02038
44,44,2012,2nd Quintile,Tenant,No,1.0,2056,16166,0.95606,1.05036
45,45,2012,3rd Quintile,Owner,Yes,0.03753,91,16166,0.03001,0.04782
46,46,2012,3rd Quintile,Owner,No,0.96247,1580,16166,0.91018,1.01529
47,47,2012,3rd Quintile,Tenant,No,1.0,1540,16166,0.95511,1.05054
48,48,2012,4th Quintile,Owner,Yes,0.05873,133,16166,0.04764,0.07071
49,49,2012,4th Quintile,Owner,No,0.94127,1752,16166,0.89198,0.98792
50,50,2012,4th Quintile,Tenant,No,1.0,1106,16166,0.94483,1.05195
51,51,2012,5th Quintile,Owner,Yes,0.06417,156,16166,0.05181,0.07955
52,52,2012,5th Quintile,Owner,No,0.93583,2123,16166,0.89563,0.97667
53,53,2012,5th Quintile,Tenant,No,1.0,857,16166,0.93338,1.05943
54,54,2013,1st Quintile,Owner,No,1.0,555,17739,0.90259,1.10716
55,55,2013,1st Quintile,Tenant,No,1.0,3609,17739,0.9597,1.04389
56,56,2013,2nd Quintile,Owner,Yes,0.03219,61,17739,0.02341,0.04139
57,57,2013,2nd Quintile,Owner,No,0.96781,1176,17739,0.90508,1.03335
58,58,2013,2nd Quintile,Tenant,No,1.0,2608,17739,0.95797,1.04389
59,59,2013,3rd Quintile,Owner,Yes,0.03463,99,17739,0.0269,0.04309
60,60,2013,3rd Quintile,Owner,No,0.96537,1627,17739,0.9181,1.00788
61,61,2013,3rd Quintile,Tenant,No,1.0,1663,17739,0.94948,1.05441
62,62,2013,4th Quintile,Owner,Yes,0.05841,131,17739,0.04559,0.07182
63,63,2013,4th Quintile,Owner,No,0.94159,1703,17739,0.89998,0.98277
64,64,2013,4th Quintile,Tenant,No,1.0,1282,17739,0.95581,1.06833
65,65,2013,5th Quintile,Owner,Yes,0.06192,165,17739,0.04975,0.07464
66,66,2013,5th Quintile,Owner,No,0.93808,2160,17739,0.90529,0.97768
67,67,2013,5th Quintile,Tenant,No,1.0,900,17739,0.94194,1.07098
68,68,2014,1st Quintile,Owner,No,1.0,475,15717,0.90879,1.09494
69,69,2014,1st Quintile,Tenant,No,1.0,2934,15717,0.95775,1.04255
70,70,2014,2nd Quintile,Owner,Yes,0.03257,50,15717,0.02097,0.04472
71,71,2014,2nd Quintile,Owner,No,0.96743,1076,15717,0.90596,1.03048
72,72,2014,2nd Quintile,Tenant,Yes,0.01223,35,15717,0.00832,0.01678
73,73,2014,2nd Quintile,Tenant,No,0.98777,2165,15717,0.94612,1.03938
74,74,2014,3rd Quintile,Owner,Yes,0.04918,105,15717,0.03654,0.06177
75,75,2014,3rd Quintile,Owner,No,0.95082,1447,15717,0.90059,0.99736
76,76,2014,3rd Quintile,Tenant,No,1.0,1524,15717,0.9494,1.05923
77,77,2014,4th Quintile,Owner,Yes,0.06807,145,15717,0.05513,0.08337
78,78,2014,4th Quintile,Owner,No,0.93193,1589,15717,0.88705,0.98339
79,79,2014,4th Quintile,Tenant,No,1.0,1201,15717,0.94701,1.06172
