,Unnamed: 0,year,bula_h,rentown,hgeqpnrj,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,Owner,No,1.0,157,9716,0.88757,1.14044
1,1,2009,Schleswig-Holstein,Tenant,No,1.0,135,9716,0.89629,1.11884
2,2,2009,Hamburg,Owner,No,1.0,45,9716,0.7292,1.28906
3,3,2009,Hamburg,Tenant,No,1.0,127,9716,0.88508,1.13403
4,4,2009,Lower Saxony,Owner,No,1.0,501,9716,0.90901,1.06725
5,5,2009,Lower Saxony,Tenant,No,1.0,366,9716,0.9158,1.07081
6,6,2009,Bremen,Tenant,No,1.0,41,9716,0.80649,1.27571
7,7,2009,North Rhine-Westphalia,Owner,No,1.0,935,9716,0.94793,1.05654
8,8,2009,North Rhine-Westphalia,Tenant,No,1.0,1023,9716,0.95205,1.04392
9,9,2009,Hesse,Owner,No,1.0,333,9716,0.9018,1.09117
10,10,2009,Hesse,Tenant,No,1.0,332,9716,0.91816,1.08341
11,11,2009,"Rhineland-Palatinate, Saarland",Owner,No,1.0,321,9716,0.90802,1.09339
12,12,2009,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,237,9716,0.90787,1.10164
13,13,2009,Baden-Wuerttemberg,Owner,No,1.0,599,9716,0.93758,1.06383
14,14,2009,Baden-Wuerttemberg,Tenant,No,1.0,494,9716,0.93825,1.07519
15,15,2009,Bavaria,Owner,Yes,0.03015,35,9716,0.02125,0.04231
16,16,2009,Bavaria,Owner,No,0.96985,753,9716,0.90465,1.02464
17,17,2009,Bavaria,Tenant,No,1.0,615,9716,0.94158,1.06468
18,18,2009,Berlin,Owner,No,1.0,87,9716,0.80657,1.19966
19,19,2009,Berlin,Tenant,No,1.0,335,9716,0.93932,1.07784
20,20,2009,Brandenburg,Owner,No,1.0,176,9716,0.86437,1.17976
21,21,2009,Brandenburg,Tenant,No,1.0,252,9716,0.89617,1.09588
22,22,2009,Mecklenburg-Western Pomerania,Owner,No,1.0,119,9716,0.83372,1.18166
23,23,2009,Mecklenburg-Western Pomerania,Tenant,No,1.0,137,9716,0.86644,1.12762
24,24,2009,Saxony,Owner,No,1.0,274,9716,0.9049,1.12026
25,25,2009,Saxony,Tenant,No,1.0,444,9716,0.92216,1.0864
26,26,2009,Saxony-Anhalt,Owner,No,1.0,194,9716,0.87663,1.13143
27,27,2009,Saxony-Anhalt,Tenant,No,1.0,213,9716,0.88608,1.12674
28,28,2009,Thuringa,Owner,No,1.0,222,9716,0.84908,1.1434
29,29,2009,Thuringa,Tenant,No,1.0,214,9716,0.9065,1.10202
30,30,2010,Schleswig-Holstein,Owner,No,1.0,205,13477,0.86527,1.13301
31,31,2010,Schleswig-Holstein,Tenant,No,1.0,234,13477,0.86167,1.13608
32,32,2010,Hamburg,Owner,No,1.0,57,13477,0.68835,1.29867
33,33,2010,Hamburg,Tenant,No,1.0,180,13477,0.87283,1.12484
34,34,2010,Lower Saxony,Owner,No,1.0,634,13477,0.90723,1.09242
35,35,2010,Lower Saxony,Tenant,No,1.0,590,13477,0.92248,1.08145
36,36,2010,Bremen,Owner,No,1.0,40,13477,0.65454,1.32676
37,37,2010,Bremen,Tenant,No,1.0,64,13477,0.75446,1.28299
38,38,2010,North Rhine-Westphalia,Owner,Yes,0.03306,53,13477,0.02252,0.04376
39,39,2010,North Rhine-Westphalia,Owner,No,0.96694,1175,13477,0.91044,1.02323
40,40,2010,North Rhine-Westphalia,Tenant,No,1.0,1551,13477,0.94179,1.06317
41,41,2010,Hesse,Owner,No,1.0,406,13477,0.90813,1.11565
42,42,2010,Hesse,Tenant,No,1.0,524,13477,0.91209,1.10808
43,43,2010,"Rhineland-Palatinate, Saarland",Owner,No,1.0,413,13477,0.89386,1.10289
44,44,2010,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,331,13477,0.88817,1.11602
45,45,2010,Baden-Wuerttemberg,Owner,Yes,0.03181,42,13477,0.01777,0.04933
46,46,2010,Baden-Wuerttemberg,Owner,No,0.96819,799,13477,0.88423,1.05096
47,47,2010,Baden-Wuerttemberg,Tenant,No,1.0,761,13477,0.89398,1.07625
48,48,2010,Bavaria,Owner,Yes,0.04629,76,13477,0.0326,0.06059
49,49,2010,Bavaria,Owner,No,0.95371,1001,13477,0.88052,1.01799
50,50,2010,Bavaria,Tenant,No,1.0,932,13477,0.9179,1.07842
51,51,2010,Berlin,Owner,No,1.0,102,13477,0.82197,1.18612
52,52,2010,Berlin,Tenant,No,1.0,483,13477,0.89321,1.12141
53,53,2010,Brandenburg,Owner,No,1.0,212,13477,0.85461,1.16639
54,54,2010,Brandenburg,Tenant,No,1.0,333,13477,0.89954,1.12777
55,55,2010,Mecklenburg-Western Pomerania,Owner,No,1.0,128,13477,0.8475,1.16214
56,56,2010,Mecklenburg-Western Pomerania,Tenant,No,1.0,214,13477,0.85561,1.1611
57,57,2010,Saxony,Owner,No,1.0,312,13477,0.88366,1.12905
58,58,2010,Saxony,Tenant,No,1.0,585,13477,0.91343,1.09023
59,59,2010,Saxony-Anhalt,Owner,No,1.0,230,13477,0.8699,1.15069
60,60,2010,Saxony-Anhalt,Tenant,No,1.0,287,13477,0.88392,1.11116
61,61,2010,Thuringa,Owner,No,1.0,250,13477,0.87134,1.12763
62,62,2010,Thuringa,Tenant,No,1.0,273,13477,0.89434,1.13825
63,63,2011,Schleswig-Holstein,Owner,No,1.0,269,16354,0.89185,1.14312
64,64,2011,Schleswig-Holstein,Tenant,No,1.0,321,16354,0.90043,1.13144
65,65,2011,Hamburg,Owner,No,1.0,63,16354,0.73957,1.25928
66,66,2011,Hamburg,Tenant,No,1.0,199,16354,0.89401,1.12508
67,67,2011,Lower Saxony,Owner,Yes,0.04804,47,16354,0.03494,0.06048
68,68,2011,Lower Saxony,Owner,No,0.95196,799,16354,0.88789,1.01782
69,69,2011,Lower Saxony,Tenant,No,1.0,658,16354,0.92523,1.08783
70,70,2011,Bremen,Owner,No,1.0,39,16354,0.64954,1.3582
71,71,2011,Bremen,Tenant,No,1.0,81,16354,0.80943,1.17755
72,72,2011,North Rhine-Westphalia,Owner,Yes,0.04444,73,16354,0.03182,0.05654
73,73,2011,North Rhine-Westphalia,Owner,No,0.95556,1383,16354,0.9142,0.9961
74,74,2011,North Rhine-Westphalia,Tenant,No,1.0,1810,16354,0.95616,1.04951
75,75,2011,Hesse,Owner,No,1.0,530,16354,0.91248,1.09605
76,76,2011,Hesse,Tenant,No,1.0,592,16354,0.91659,1.06704
77,77,2011,"Rhineland-Palatinate, Saarland",Owner,Yes,0.0439,35,16354,0.0272,0.06522
78,78,2011,"Rhineland-Palatinate, Saarland",Owner,No,0.9561,500,16354,0.88057,1.03882
79,79,2011,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,405,16354,0.89001,1.1098
80,80,2011,Baden-Wuerttemberg,Owner,Yes,0.05177,81,16354,0.03792,0.06728
81,81,2011,Baden-Wuerttemberg,Owner,No,0.94823,999,16354,0.88971,1.00902
82,82,2011,Baden-Wuerttemberg,Tenant,No,1.0,900,16354,0.92494,1.07666
83,83,2011,Bavaria,Owner,Yes,0.0522,109,16354,0.04134,0.06438
84,84,2011,Bavaria,Owner,No,0.9478,1251,16354,0.88814,0.99624
85,85,2011,Bavaria,Tenant,No,1.0,1188,16354,0.93062,1.07091
86,86,2011,Berlin,Owner,No,1.0,120,16354,0.82324,1.16997
87,87,2011,Berlin,Tenant,No,1.0,546,16354,0.93124,1.07391
88,88,2011,Brandenburg,Owner,No,1.0,271,16354,0.89236,1.10672
89,89,2011,Brandenburg,Tenant,No,1.0,393,16354,0.90336,1.12441
90,90,2011,Mecklenburg-Western Pomerania,Owner,No,1.0,137,16354,0.8495,1.19242
91,91,2011,Mecklenburg-Western Pomerania,Tenant,No,1.0,257,16354,0.88739,1.11442
92,92,2011,Saxony,Owner,No,1.0,343,16354,0.89162,1.10403
93,93,2011,Saxony,Tenant,No,1.0,677,16354,0.93602,1.08163
94,94,2011,Saxony-Anhalt,Owner,No,1.0,264,16354,0.88512,1.111
95,95,2011,Saxony-Anhalt,Tenant,No,1.0,376,16354,0.90127,1.10589
96,96,2011,Thuringa,Owner,No,1.0,276,16354,0.87824,1.12743
97,97,2011,Thuringa,Tenant,No,1.0,362,16354,0.91547,1.10484
