year,sampreg,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,East,Not compensated,0.04436,362,2092,0.03553,0.05318
2001,West,Comp. time,0.12444,2545,5730,0.11590,0.13299
2001,West,Some of both,0.05956,1262,5730,0.05343,0.06568
2001,West,Paid,0.04533,966,5730,0.03994,0.05071
2001,West,Not compensated,0.04580,957,5730,0.04039,0.05121
2001,East,Comp. time,0.13828,968,1986,0.12310,0.15347
2001,East,Some of both,0.06487,442,1986,0.05403,0.07570
2001,East,Paid,0.03883,262,1986,0.03033,0.04733
2001,East,Not compensated,0.04184,314,1986,0.03303,0.05064
2002,West,Comp. time,0.12174,2654,5996,0.11346,0.13001
2002,West,Some of both,0.05330,1235,5996,0.04761,0.05898
2002,West,Paid,0.03662,787,5996,0.03187,0.04138
2002,West,Not compensated,0.04714,1320,5996,0.04177,0.05250
2002,East,Comp. time,0.13766,968,1962,0.12241,0.15291
2002,East,Some of both,0.05989,422,1962,0.04939,0.07039
2002,East,Paid,0.02949,203,1962,0.02200,0.03698
2002,East,Not compensated,0.04162,369,1962,0.03278,0.05046
2003,West,Comp. time,0.12854,2650,5703,0.11986,0.13723
2003,West,Some of both,0.05076,1128,5703,0.04507,0.05646
2003,West,Paid,0.03495,706,5703,0.03019,0.03972
2003,West,Not compensated,0.04608,1219,5703,0.04064,0.05153
2003,East,Comp. time,0.14537,971,1845,0.12928,0.16145
2003,East,Some of both,0.05319,358,1845,0.04295,0.06343
2003,East,Paid,0.02866,191,1845,0.02104,0.03627
2003,East,Not compensated,0.03585,325,1845,0.02736,0.04433
2004,West,Comp. time,0.12754,2558,5478,0.11871,0.13638
2004,West,Some of both,0.04753,1003,5478,0.04190,0.05317
2004,West,Paid,0.03308,631,5478,0.02834,0.03782
2004,West,Not compensated,0.05112,1286,5478,0.04529,0.05696
2004,East,Comp. time,0.13552,926,1805,0.11972,0.15131
2004,East,Some of both,0.05758,388,1805,0.04683,0.06833
2004,East,Paid,0.02607,176,1805,0.01871,0.03342
2004,East,Not compensated,0.03828,315,1805,0.02943,0.04714
2005,West,Comp. time,0.13129,2509,5096,0.12201,0.14056
2005,West,Some of both,0.05280,988,5096,0.04666,0.05894
2005,West,Paid,0.02857,525,5096,0.02400,0.03315
2005,West,Not compensated,0.04807,1074,5096,0.04219,0.05394
2005,East,Comp. time,0.13903,871,1683,0.12249,0.15556
2005,East,Some of both,0.05397,349,1683,0.04317,0.06477
2005,East,Paid,0.03081,164,1683,0.02255,0.03907
2005,East,Not compensated,0.03674,299,1683,0.02775,0.04573
2006,West,Comp. time,0.13703,2787,5676,0.12809,0.14598
2006,West,Some of both,0.05041,1022,5676,0.04472,0.05610
2006,West,Paid,0.03331,612,5676,0.02864,0.03798
2006,West,Not compensated,0.05488,1255,5676,0.04895,0.06080
2006,East,Comp. time,0.13675,942,1819,0.12096,0.15254
2006,East,Some of both,0.06046,367,1819,0.04950,0.07142
2006,East,Paid,0.02787,150,1819,0.02030,0.03544
2006,East,Not compensated,0.04666,360,1819,0.03697,0.05636
2007,West,Comp. time,0.13437,2517,5166,0.12507,0.14367
2007,West,Some of both,0.05463,1003,5166,0.04843,0.06083
2007,West,Paid,0.02865,496,5166,0.02410,0.03320
2007,West,Not compensated,0.05435,1150,5166,0.04817,0.06054
2007,East,Comp. time,0.14669,928,1778,0.13024,0.16314
2007,East,Some of both,0.06738,367,1778,0.05572,0.07904
2007,East,Paid,0.02359,139,1778,0.01654,0.03065
2007,East,Not compensated,0.04480,344,1778,0.03518,0.05442
2008,West,Comp. time,0.14182,2444,5122,0.13227,0.15138
2008,West,Some of both,0.05924,1001,5122,0.05277,0.06570
2008,West,Paid,0.03279,529,5122,0.02792,0.03767
2008,West,Not compensated,0.05773,1148,5122,0.05134,0.06412
2008,East,Comp. time,0.15519,877,1729,0.13812,0.17226
2008,East,Some of both,0.07320,365,1729,0.06092,0.08548
2008,East,Paid,0.02774,161,1729,0.02000,0.03549
2008,East,Not compensated,0.04586,326,1729,0.03599,0.05572
2009,West,Comp. time,0.13636,2160,4506,0.12634,0.14638
2009,West,Some of both,0.05939,883,4506,0.05249,0.06629
2009,West,Paid,0.03204,445,4506,0.02690,0.03719
2009,West,Not compensated,0.05676,1018,4506,0.05000,0.06351
2009,East,Comp. time,0.15388,816,1568,0.13601,0.17174
2009,East,Some of both,0.07184,339,1568,0.05905,0.08462
2009,East,Paid,0.02094,143,1568,0.01385,0.02803
2009,East,Not compensated,0.03906,270,1568,0.02947,0.04865
2010,West,Comp. time,0.14912,3247,6499,0.14046,0.15778
2010,West,Some of both,0.05338,1187,6499,0.04792,0.05885
2010,West,Paid,0.03241,763,6499,0.02811,0.03672
2010,West,Not compensated,0.05623,1302,6499,0.05063,0.06183
2010,East,Comp. time,0.16771,1017,1932,0.15104,0.18437
2010,East,Some of both,0.06242,389,1932,0.05163,0.07321
2010,East,Paid,0.02559,199,1932,0.01855,0.03264
2010,East,Not compensated,0.04579,327,1932,0.03647,0.05512
2011,West,Comp. time,0.14166,3813,7867,0.13396,0.14937
2011,West,Some of both,0.05703,1505,7867,0.05190,0.06215
2011,West,Paid,0.03642,990,7867,0.03228,0.04056
2011,West,Not compensated,0.05695,1559,7867,0.05183,0.06208
2011,East,Comp. time,0.16384,1199,2272,0.14862,0.17906
2011,East,Some of both,0.05907,424,2272,0.04937,0.06876
2011,East,Paid,0.03055,252,2272,0.02347,0.03762
2011,East,Not compensated,0.05023,397,2272,0.04124,0.05921
2012,West,Comp. time,0.15396,4068,8112,0.14610,0.16181
2012,West,Some of both,0.06330,1566,8112,0.05800,0.06860
2012,West,Paid,0.03667,993,8112,0.03258,0.04076
2012,West,Not compensated,0.05299,1485,8112,0.04812,0.05787
2012,East,Comp. time,0.17127,1231,2262,0.15574,0.18680
2012,East,Some of both,0.06563,492,2262,0.05542,0.07583
2012,East,Paid,0.02664,216,2262,0.02000,0.03328
2012,East,Not compensated,0.04263,323,2262,0.03430,0.05095
2013,West,Comp. time,0.14669,4421,8858,0.13932,0.15406
2013,West,Some of both,0.06026,1787,8858,0.05530,0.06522
2013,West,Paid,0.03413,1160,8858,0.03035,0.03791
2013,West,Not compensated,0.05077,1490,8858,0.04619,0.05534
2013,East,Comp. time,0.16351,1177,2169,0.14794,0.17908
2013,East,Some of both,0.06284,418,2169,0.05263,0.07306
2013,East,Paid,0.03074,240,2169,0.02348,0.03801
2013,East,Not compensated,0.04189,334,2169,0.03346,0.05032
2014,West,Comp. time,0.15173,4028,8049,0.14389,0.15957
2014,West,Some of both,0.06612,1709,8049,0.06069,0.07154
2014,West,Paid,0.03488,1002,8049,0.03087,0.03889
2014,West,Not compensated,0.04963,1310,8049,0.04488,0.05437
2014,East,Comp. time,0.16415,1057,2006,0.14793,0.18036
2014,East,Some of both,0.06783,454,2006,0.05682,0.07883
2014,East,Paid,0.02920,195,2006,0.02183,0.03657
2014,East,Not compensated,0.04346,300,2006,0.03454,0.05239
2018,West,Comp. time,0.16969,4144,7864,0.16140,0.17799
2018,West,Some of both,0.07271,1684,7864,0.06697,0.07845
2018,West,Paid,0.03608,979,7864,0.03196,0.04020
2018,West,Not compensated,0.04320,1057,7864,0.03871,0.04770
2018,East,Comp. time,0.17689,1118,2008,0.16020,0.19358
2018,East,Some of both,0.06485,456,2008,0.05408,0.07563
2018,East,Paid,0.03062,212,2008,0.02309,0.03816
2018,East,Not compensated,0.03759,222,2008,0.02927,0.04592
2020,West,Comp. time,0.18173,4204,7959,0.17326,0.19021
2020,West,Some of both,0.07669,1759,7959,0.07085,0.08254
2020,West,Paid,0.03272,904,7959,0.02881,0.03663
2020,West,Not compensated,0.03821,1092,7959,0.03400,0.04242
2020,East,Comp. time,0.18887,1084,1983,0.17164,0.20610
2020,East,Some of both,0.07355,466,1983,0.06205,0.08504
2020,East,Paid,0.03091,201,1983,0.02329,0.03853
2020,East,Not compensated,0.03360,232,1983,0.02567,0.04154
