year,age_gr,quintil_oecd,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Comp. time,0.05193,33,121,0.01223,0.09163
1984,17-29 y.,1st Quintile,Paid,0.10710,88,121,0.05177,0.16242
1984,17-29 y.,2nd Quintile,Comp. time,0.10372,54,148,0.05443,0.15301
1984,17-29 y.,2nd Quintile,Paid,0.12382,94,148,0.07057,0.17706
1984,17-29 y.,3rd Quintile,Comp. time,0.17594,97,269,0.13035,0.22153
1984,17-29 y.,3rd Quintile,Some of both,0.07281,40,269,0.04170,0.10392
1984,17-29 y.,3rd Quintile,Paid,0.15246,100,269,0.10942,0.19549
1984,17-29 y.,3rd Quintile,Not compensated,0.04811,32,269,0.02249,0.07373
1984,17-29 y.,4th Quintile,Comp. time,0.16431,102,322,0.12377,0.20485
1984,17-29 y.,4th Quintile,Some of both,0.06349,40,322,0.03681,0.09016
1984,17-29 y.,4th Quintile,Paid,0.16331,132,322,0.12287,0.20375
1984,17-29 y.,4th Quintile,Not compensated,0.07917,48,322,0.04963,0.10871
1984,17-29 y.,5th Quintile,Comp. time,0.16899,87,285,0.12541,0.21257
1984,17-29 y.,5th Quintile,Some of both,0.07445,44,285,0.04392,0.10498
1984,17-29 y.,5th Quintile,Paid,0.19530,111,285,0.14920,0.24141
1984,17-29 y.,5th Quintile,Not compensated,0.08513,43,285,0.05267,0.11759
1984,30-45 y.,1st Quintile,Comp. time,0.07452,43,198,0.03785,0.11120
1984,30-45 y.,1st Quintile,Paid,0.17874,155,198,0.12523,0.23224
1984,30-45 y.,2nd Quintile,Comp. time,0.13242,77,333,0.09596,0.16887
1984,30-45 y.,2nd Quintile,Some of both,0.05872,38,333,0.03343,0.08401
1984,30-45 y.,2nd Quintile,Paid,0.20045,168,333,0.15739,0.24351
1984,30-45 y.,2nd Quintile,Not compensated,0.08381,50,333,0.05400,0.11362
1984,30-45 y.,3rd Quintile,Comp. time,0.15000,97,376,0.11386,0.18614
1984,30-45 y.,3rd Quintile,Some of both,0.07967,50,376,0.05227,0.10708
1984,30-45 y.,3rd Quintile,Paid,0.21976,173,376,0.17784,0.26167
1984,30-45 y.,3rd Quintile,Not compensated,0.08181,56,376,0.05407,0.10955
1984,30-45 y.,4th Quintile,Comp. time,0.13488,89,416,0.10201,0.16774
1984,30-45 y.,4th Quintile,Some of both,0.06396,47,416,0.04042,0.08750
1984,30-45 y.,4th Quintile,Paid,0.18821,171,416,0.15060,0.22581
1984,30-45 y.,4th Quintile,Not compensated,0.16696,109,416,0.13108,0.20284
1984,30-45 y.,5th Quintile,Comp. time,0.16866,116,478,0.13506,0.20227
1984,30-45 y.,5th Quintile,Some of both,0.07119,55,478,0.04811,0.09427
1984,30-45 y.,5th Quintile,Paid,0.13266,118,478,0.10222,0.16311
1984,30-45 y.,5th Quintile,Not compensated,0.27523,189,478,0.23515,0.31531
1984,46-65 y.,1st Quintile,Paid,0.07666,69,69,0.01343,0.13990
1984,46-65 y.,2nd Quintile,Comp. time,0.08385,46,144,0.03842,0.12928
1984,46-65 y.,2nd Quintile,Paid,0.12066,98,144,0.06727,0.17404
1984,46-65 y.,3rd Quintile,Comp. time,0.10208,62,227,0.06261,0.14155
1984,46-65 y.,3rd Quintile,Paid,0.15354,130,227,0.10653,0.20054
1984,46-65 y.,3rd Quintile,Not compensated,0.05340,35,227,0.02408,0.08271
1984,46-65 y.,4th Quintile,Comp. time,0.10230,75,266,0.06581,0.13879
1984,46-65 y.,4th Quintile,Paid,0.13410,124,266,0.09308,0.17513
1984,46-65 y.,4th Quintile,Not compensated,0.09936,67,266,0.06334,0.13538
1984,46-65 y.,5th Quintile,Comp. time,0.10695,86,425,0.07753,0.13636
1984,46-65 y.,5th Quintile,Some of both,0.03558,32,425,0.01795,0.05321
1984,46-65 y.,5th Quintile,Paid,0.11870,117,425,0.08792,0.14949
1984,46-65 y.,5th Quintile,Not compensated,0.23528,190,425,0.19491,0.27566
