year,age_gr,bula_h,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Lower Saxony,Comp. time,0.14637,45,88,0.07209,0.22065
1984,17-29 y.,Lower Saxony,Paid,0.14199,43,88,0.06864,0.21533
1984,17-29 y.,North Rhine-Westphalia,Comp. time,0.12404,93,329,0.08837,0.15971
1984,17-29 y.,North Rhine-Westphalia,Some of both,0.04849,39,329,0.02525,0.07174
1984,17-29 y.,North Rhine-Westphalia,Paid,0.15227,155,329,0.11339,0.19115
1984,17-29 y.,North Rhine-Westphalia,Not compensated,0.05304,42,329,0.02878,0.07729
1984,17-29 y.,Hesse,Comp. time,0.14363,39,94,0.07235,0.21492
1984,17-29 y.,Hesse,Paid,0.13240,55,94,0.06352,0.20129
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Comp. time,0.12644,31,31,0.00751,0.24537
1984,17-29 y.,Baden-Wuerttemberg,Comp. time,0.11274,55,181,0.06654,0.15894
1984,17-29 y.,Baden-Wuerttemberg,Paid,0.20220,126,181,0.14352,0.26087
1984,17-29 y.,Bavaria,Comp. time,0.15034,76,221,0.10311,0.19757
1984,17-29 y.,Bavaria,Some of both,0.08103,42,221,0.04497,0.11709
1984,17-29 y.,Bavaria,Paid,0.12116,70,221,0.07804,0.16428
1984,17-29 y.,Bavaria,Not compensated,0.06811,33,221,0.03482,0.10140
1984,30-45 y.,Schleswig-Holstein,Paid,0.22285,31,31,0.07393,0.37177
1984,30-45 y.,Lower Saxony,Comp. time,0.15481,53,169,0.10011,0.20950
1984,30-45 y.,Lower Saxony,Paid,0.16194,63,169,0.10623,0.21765
1984,30-45 y.,Lower Saxony,Not compensated,0.15349,53,169,0.09898,0.20800
1984,30-45 y.,North Rhine-Westphalia,Comp. time,0.11217,98,479,0.08388,0.14046
1984,30-45 y.,North Rhine-Westphalia,Some of both,0.05584,54,479,0.03526,0.07643
1984,30-45 y.,North Rhine-Westphalia,Paid,0.18672,223,479,0.15178,0.22165
1984,30-45 y.,North Rhine-Westphalia,Not compensated,0.12420,104,479,0.09463,0.15376
1984,30-45 y.,Hesse,Comp. time,0.16351,39,162,0.10638,0.22063
1984,30-45 y.,Hesse,Paid,0.17925,76,162,0.12000,0.23849
1984,30-45 y.,Hesse,Not compensated,0.17169,47,162,0.11343,0.22994
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,0.20933,44,44,0.08773,0.33093
1984,30-45 y.,Baden-Wuerttemberg,Comp. time,0.11014,55,306,0.07501,0.14528
1984,30-45 y.,Baden-Wuerttemberg,Paid,0.20417,168,306,0.15893,0.24941
