year,migback,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Comp. time,0.08470,931,3213,0.07507,0.09433
1984,No migration background,Some of both,0.03345,378,3213,0.02723,0.03967
1984,No migration background,Paid,0.09885,1074,3213,0.08852,0.10917
1984,No migration background,Not compensated,0.07625,830,3213,0.06708,0.08543
1984,Direct migration background,Comp. time,0.06375,142,1100,0.04930,0.07819
1984,Direct migration background,Some of both,0.02383,83,1100,0.01481,0.03284
1984,Direct migration background,Paid,0.16983,767,1100,0.14763,0.19203
1984,Direct migration background,Not compensated,0.04158,108,1100,0.02978,0.05338
1985,No migration background,Comp. time,0.07952,789,2855,0.06959,0.08944
1985,No migration background,Some of both,0.03268,330,2855,0.02615,0.03920
1985,No migration background,Paid,0.08960,904,2855,0.07912,0.10008
1985,No migration background,Not compensated,0.08216,832,2855,0.07208,0.09223
1985,Direct migration background,Comp. time,0.05212,108,825,0.03695,0.06730
1985,Direct migration background,Some of both,0.03181,69,825,0.01983,0.04379
1985,Direct migration background,Paid,0.15001,567,825,0.12562,0.17439
1985,Direct migration background,Not compensated,0.03677,81,825,0.02392,0.04962
1986,No migration background,Comp. time,0.08692,829,2608,0.07610,0.09773
1986,No migration background,Some of both,0.03339,316,2608,0.02650,0.04029
1986,No migration background,Paid,0.09410,894,2608,0.08289,0.10531
1986,No migration background,Not compensated,0.05831,569,2608,0.04931,0.06730
1986,Direct migration background,Comp. time,0.05684,129,854,0.04130,0.07237
1986,Direct migration background,Some of both,0.02521,73,854,0.01469,0.03573
1986,Direct migration background,Paid,0.15206,572,854,0.12796,0.17616
1986,Direct migration background,Not compensated,0.03818,80,854,0.02532,0.05104
1988,No migration background,Comp. time,0.09607,854,2525,0.08457,0.10756
1988,No migration background,Some of both,0.03694,330,2525,0.02958,0.04430
1988,No migration background,Paid,0.09232,818,2525,0.08103,0.10362
1988,No migration background,Not compensated,0.05965,523,2525,0.05041,0.06889
1988,Direct migration background,Comp. time,0.07089,142,877,0.05389,0.08788
1988,Direct migration background,Some of both,0.02715,82,877,0.01638,0.03791
1988,Direct migration background,Paid,0.17019,589,877,0.14531,0.19508
1988,Direct migration background,Not compensated,0.03349,64,877,0.02158,0.04541
1989,No migration background,Comp. time,0.10288,866,2660,0.09133,0.11443
1989,No migration background,Some of both,0.04518,390,2660,0.03728,0.05307
1989,No migration background,Paid,0.10438,890,2660,0.09276,0.11600
1989,No migration background,Not compensated,0.06204,514,2660,0.05287,0.07121
1989,Direct migration background,Comp. time,0.06806,151,915,0.05173,0.08439
1989,Direct migration background,Some of both,0.05698,123,915,0.04195,0.07201
1989,Direct migration background,Paid,0.17275,589,915,0.14824,0.19726
1989,Direct migration background,Not compensated,0.01981,52,915,0.01077,0.02884
1989,Indirect migration background,Paid,0.02086,31,31,-0.03028,0.07199
1990,No migration background,Comp. time,0.11983,1792,5074,0.11089,0.12877
1990,No migration background,Some of both,0.04973,771,5074,0.04374,0.05571
1990,No migration background,Paid,0.11772,1832,5074,0.10886,0.12659
1990,No migration background,Not compensated,0.05354,679,5074,0.04734,0.05973
1990,Direct migration background,Comp. time,0.07226,155,969,0.05595,0.08857
1990,Direct migration background,Some of both,0.04811,130,969,0.03462,0.06159
1990,Direct migration background,Paid,0.18734,622,969,0.16275,0.21192
1990,Direct migration background,Not compensated,0.02871,62,969,0.01819,0.03923
1990,Indirect migration background,Paid,0.01642,38,38,-0.02453,0.05736
1991,No migration background,Comp. time,0.12143,1768,4580,0.11197,0.13089
1991,No migration background,Some of both,0.04861,674,4580,0.04238,0.05483
1991,No migration background,Paid,0.10637,1412,4580,0.09744,0.11530
1991,No migration background,Not compensated,0.05584,726,4580,0.04919,0.06249
1991,Direct migration background,Comp. time,0.08833,208,1014,0.07085,0.10580
1991,Direct migration background,Some of both,0.04611,122,1014,0.03319,0.05902
1991,Direct migration background,Paid,0.19734,629,1014,0.17284,0.22185
1991,Direct migration background,Not compensated,0.02946,55,1014,0.01905,0.03988
1991,Indirect migration background,Comp. time,0.02463,39,89,-0.00775,0.05702
1991,Indirect migration background,Paid,0.02533,50,89,-0.00750,0.05816
1992,No migration background,Comp. time,0.11676,1614,4343,0.10721,0.12631
1992,No migration background,Some of both,0.05372,745,4343,0.04701,0.06043
1992,No migration background,Paid,0.09844,1287,4343,0.08958,0.10730
1992,No migration background,Not compensated,0.05192,697,4343,0.04532,0.05852
1992,Direct migration background,Comp. time,0.08069,196,922,0.06310,0.09828
1992,Direct migration background,Some of both,0.06005,130,922,0.04471,0.07540
1992,Direct migration background,Paid,0.16336,537,922,0.13949,0.18724
1992,Direct migration background,Not compensated,0.03206,59,922,0.02069,0.04344
1992,Indirect migration background,Comp. time,0.02882,34,86,-0.00675,0.06438
1992,Indirect migration background,Paid,0.03398,52,86,-0.00454,0.07250
1993,No migration background,Comp. time,0.11307,1559,4271,0.10358,0.12257
1993,No migration background,Some of both,0.05347,743,4271,0.04672,0.06021
1993,No migration background,Paid,0.09506,1244,4271,0.08626,0.10386
1993,No migration background,Not compensated,0.05591,725,4271,0.04902,0.06280
1993,Direct migration background,Comp. time,0.08859,186,830,0.06924,0.10793
1993,Direct migration background,Some of both,0.04889,128,830,0.03421,0.06356
1993,Direct migration background,Paid,0.14994,452,830,0.12564,0.17424
1993,Direct migration background,Not compensated,0.04322,64,830,0.02937,0.05706
1993,Indirect migration background,Comp. time,0.03466,51,113,0.00078,0.06853
1993,Indirect migration background,Paid,0.04264,62,113,0.00522,0.08006
1994,No migration background,Comp. time,0.12448,1652,4246,0.11455,0.13441
1994,No migration background,Some of both,0.05671,773,4246,0.04975,0.06367
1994,No migration background,Paid,0.08646,1103,4246,0.07801,0.09492
1994,No migration background,Not compensated,0.05498,718,4246,0.04812,0.06183
1994,Direct migration background,Comp. time,0.08920,208,765,0.06899,0.10942
1994,Direct migration background,Some of both,0.04393,102,765,0.02940,0.05847
1994,Direct migration background,Paid,0.14472,401,765,0.11978,0.16967
1994,Direct migration background,Not compensated,0.03814,54,765,0.02456,0.05172
1994,Indirect migration background,Comp. time,0.03274,55,117,0.00035,0.06512
1994,Indirect migration background,Paid,0.04353,62,117,0.00640,0.08066
1995,No migration background,Comp. time,0.12774,1735,4385,0.11786,0.13762
1995,No migration background,Some of both,0.05991,827,4385,0.05288,0.06693
1995,No migration background,Paid,0.08331,1109,4385,0.07513,0.09149
1995,No migration background,Not compensated,0.05588,714,4385,0.04908,0.06268
1995,Direct migration background,Comp. time,0.08164,229,946,0.06418,0.09910
1995,Direct migration background,Some of both,0.04074,138,946,0.02814,0.05335
1995,Direct migration background,Paid,0.14445,502,946,0.12204,0.16687
1995,Direct migration background,Not compensated,0.04103,77,946,0.02838,0.05368
1995,Indirect migration background,Comp. time,0.03836,70,132,0.00547,0.07125
1995,Indirect migration background,Paid,0.03340,62,132,0.00263,0.06416
1996,No migration background,Comp. time,0.13876,1853,4285,0.12841,0.14912
1996,No migration background,Some of both,0.05544,717,4285,0.04858,0.06229
1996,No migration background,Paid,0.07585,1011,4285,0.06792,0.08378
1996,No migration background,Not compensated,0.05350,704,4285,0.04677,0.06024
1996,Direct migration background,Comp. time,0.10241,277,865,0.08219,0.12263
1996,Direct migration background,Some of both,0.03832,120,865,0.02552,0.05113
1996,Direct migration background,Paid,0.12242,401,865,0.10056,0.14427
1996,Direct migration background,Not compensated,0.03793,67,865,0.02519,0.05066
1996,Indirect migration background,Comp. time,0.04602,74,169,0.01433,0.07770
1996,Indirect migration background,Some of both,0.01964,41,169,-0.00134,0.04063
1996,Indirect migration background,Paid,0.02878,54,169,0.00350,0.05406
1997,No migration background,Comp. time,0.12439,1616,3715,0.11377,0.13500
1997,No migration background,Some of both,0.05937,798,3715,0.05177,0.06698
1997,No migration background,Paid,0.04483,619,3715,0.03818,0.05149
1997,No migration background,Not compensated,0.05493,682,3715,0.04760,0.06226
1997,Direct migration background,Comp. time,0.09698,254,680,0.07472,0.11924
1997,Direct migration background,Some of both,0.04784,134,680,0.03179,0.06390
1997,Direct migration background,Paid,0.06488,217,680,0.04636,0.08341
1997,Direct migration background,Not compensated,0.04558,75,680,0.02989,0.06127
1997,Indirect migration background,Comp. time,0.06537,90,169,0.02799,0.10274
1997,Indirect migration background,Some of both,0.02083,41,169,-0.00077,0.04242
1997,Indirect migration background,Paid,0.02772,38,169,0.00290,0.05255
1998,No migration background,Comp. time,0.12744,1892,4208,0.11737,0.13752
1998,No migration background,Some of both,0.05891,911,4208,0.05179,0.06602
1998,No migration background,Paid,0.04306,645,4208,0.03693,0.04919
1998,No migration background,Not compensated,0.05142,760,4208,0.04474,0.05809
1998,Direct migration background,Comp. time,0.09295,244,625,0.07017,0.11573
1998,Direct migration background,Some of both,0.04892,127,625,0.03199,0.06584
1998,Direct migration background,Paid,0.06606,188,625,0.04657,0.08555
1998,Direct migration background,Not compensated,0.03946,66,625,0.02418,0.05474
1998,Indirect migration background,Comp. time,0.05591,78,160,0.02020,0.09162
1998,Indirect migration background,Some of both,0.02399,43,160,0.00021,0.04778
1998,Indirect migration background,Paid,0.02404,39,160,0.00023,0.04785
1999,No migration background,Comp. time,0.13106,1889,4179,0.12082,0.14129
1999,No migration background,Some of both,0.06215,911,4179,0.05483,0.06947
1999,No migration background,Paid,0.04019,619,4179,0.03423,0.04614
1999,No migration background,Not compensated,0.05264,760,4179,0.04587,0.05942
1999,Direct migration background,Comp. time,0.10477,221,567,0.07954,0.13000
1999,Direct migration background,Some of both,0.03955,112,567,0.02350,0.05561
1999,Direct migration background,Paid,0.06378,180,567,0.04365,0.08392
1999,Direct migration background,Not compensated,0.03634,54,567,0.02093,0.05176
1999,Indirect migration background,Comp. time,0.06795,89,180,0.03108,0.10482
1999,Indirect migration background,Some of both,0.01756,44,180,-0.00168,0.03681
1999,Indirect migration background,Paid,0.02531,47,180,0.00230,0.04832
2000,No migration background,Comp. time,0.13710,3398,7122,0.12911,0.14509
2000,No migration background,Some of both,0.05970,1471,7122,0.05420,0.06520
2000,No migration background,Paid,0.04077,1011,7122,0.03617,0.04536
2000,No migration background,Not compensated,0.04818,1242,7122,0.04321,0.05316
2000,Direct migration background,Comp. time,0.10078,375,882,0.08090,0.12066
2000,Direct migration background,Some of both,0.04516,167,882,0.03144,0.05887
2000,Direct migration background,Paid,0.06588,246,882,0.04950,0.08226
2000,Direct migration background,Not compensated,0.03176,94,882,0.02018,0.04334
2000,Indirect migration background,Comp. time,0.06451,115,260,0.03460,0.09443
2000,Indirect migration background,Some of both,0.02620,61,260,0.00675,0.04565
2000,Indirect migration background,Paid,0.02135,49,260,0.00375,0.03895
2000,Indirect migration background,Not compensated,0.01712,35,260,0.00132,0.03292
2001,No migration background,Comp. time,0.13688,3095,6635,0.12861,0.14515
2001,No migration background,Some of both,0.06259,1440,6635,0.05676,0.06842
2001,No migration background,Paid,0.04326,969,6635,0.03836,0.04815
2001,No migration background,Not compensated,0.04757,1131,6635,0.04245,0.05270
2001,Direct migration background,Comp. time,0.08911,299,811,0.06949,0.10873
2001,Direct migration background,Some of both,0.06028,196,811,0.04389,0.07667
2001,Direct migration background,Paid,0.06169,215,811,0.04513,0.07826
2001,Direct migration background,Not compensated,0.03947,101,811,0.02606,0.05288
2001,Indirect migration background,Comp. time,0.06223,119,270,0.03336,0.09110
2001,Indirect migration background,Some of both,0.03307,68,270,0.01170,0.05444
2001,Indirect migration background,Paid,0.02390,44,270,0.00565,0.04215
2001,Indirect migration background,Not compensated,0.02148,39,270,0.00416,0.03881
2002,No migration background,Comp. time,0.13463,3238,6987,0.12663,0.14264
2002,No migration background,Some of both,0.05778,1436,6987,0.05231,0.06325
2002,No migration background,Paid,0.03348,769,6987,0.02926,0.03770
2002,No migration background,Not compensated,0.05020,1544,6987,0.04508,0.05532
2002,Direct migration background,Comp. time,0.08832,277,714,0.06749,0.10914
2002,Direct migration background,Some of both,0.04447,164,714,0.02934,0.05960
2002,Direct migration background,Paid,0.05883,181,714,0.04155,0.07610
2002,Direct migration background,Not compensated,0.02790,92,714,0.01581,0.03999
2002,Indirect migration background,Comp. time,0.05705,107,257,0.02864,0.08547
2002,Indirect migration background,Some of both,0.02883,57,257,0.00834,0.04933
2002,Indirect migration background,Paid,0.01673,40,257,0.00102,0.03244
2002,Indirect migration background,Not compensated,0.02500,53,257,0.00587,0.04412
2003,No migration background,Comp. time,0.14157,3228,6647,0.13319,0.14995
2003,No migration background,Some of both,0.05359,1283,6647,0.04818,0.05900
2003,No migration background,Paid,0.03153,700,6647,0.02733,0.03573
2003,No migration background,Not compensated,0.04953,1436,6647,0.04432,0.05475
2003,Direct migration background,Comp. time,0.09934,278,645,0.07624,0.12245
2003,Direct migration background,Some of both,0.04606,148,645,0.02987,0.06225
2003,Direct migration background,Paid,0.05355,147,645,0.03616,0.07093
2003,Direct migration background,Not compensated,0.01975,72,645,0.00901,0.03050
2003,Indirect migration background,Comp. time,0.06085,115,256,0.03151,0.09019
2003,Indirect migration background,Some of both,0.02979,55,256,0.00893,0.05066
2003,Indirect migration background,Paid,0.02829,50,256,0.00794,0.04865
2003,Indirect migration background,Not compensated,0.01952,36,256,0.00254,0.03650
2004,No migration background,Comp. time,0.13801,3091,6427,0.12957,0.14644
2004,No migration background,Some of both,0.05209,1203,6427,0.04666,0.05753
2004,No migration background,Paid,0.03173,654,6427,0.02744,0.03601
2004,No migration background,Not compensated,0.05346,1479,6427,0.04796,0.05896
2004,Direct migration background,Comp. time,0.09993,272,613,0.07617,0.12369
2004,Direct migration background,Some of both,0.04295,138,613,0.02689,0.05902
2004,Direct migration background,Paid,0.04430,117,613,0.02800,0.06060
2004,Direct migration background,Not compensated,0.03134,86,613,0.01754,0.04515
2004,Indirect migration background,Comp. time,0.06819,121,243,0.03643,0.09995
2004,Indirect migration background,Some of both,0.02650,50,243,0.00627,0.04674
2004,Indirect migration background,Paid,0.01193,36,243,-0.00175,0.02561
2004,Indirect migration background,Not compensated,0.02208,36,243,0.00356,0.04059
2005,No migration background,Comp. time,0.14212,2991,5954,0.13325,0.15099
2005,No migration background,Some of both,0.05500,1149,5954,0.04921,0.06079
2005,No migration background,Paid,0.02858,555,5954,0.02434,0.03281
2005,No migration background,Not compensated,0.04965,1259,5954,0.04413,0.05517
2005,Direct migration background,Comp. time,0.10711,271,575,0.08181,0.13241
2005,Direct migration background,Some of both,0.05610,140,575,0.03727,0.07492
2005,Direct migration background,Paid,0.03833,96,575,0.02262,0.05403
2005,Direct migration background,Not compensated,0.03208,68,575,0.01766,0.04649
2005,Indirect migration background,Comp. time,0.06408,118,250,0.03366,0.09450
2005,Indirect migration background,Some of both,0.02473,48,250,0.00544,0.04402
2005,Indirect migration background,Paid,0.01840,38,250,0.00171,0.03509
2005,Indirect migration background,Not compensated,0.02648,46,250,0.00654,0.04642
2006,No migration background,Comp. time,0.14666,3330,6598,0.13812,0.15519
2006,No migration background,Some of both,0.05525,1198,6598,0.04973,0.06076
2006,No migration background,Paid,0.03067,607,6598,0.02651,0.03484
2006,No migration background,Not compensated,0.05780,1463,6598,0.05217,0.06343
2006,Direct migration background,Comp. time,0.10398,261,616,0.07986,0.12810
2006,Direct migration background,Some of both,0.04625,137,616,0.02965,0.06285
2006,Direct migration background,Paid,0.05016,121,616,0.03291,0.06741
2006,Direct migration background,Not compensated,0.03687,97,616,0.02198,0.05176
2006,Indirect migration background,Comp. time,0.08222,138,281,0.05004,0.11439
2006,Indirect migration background,Some of both,0.02856,54,281,0.00905,0.04807
2006,Indirect migration background,Paid,0.02313,34,281,0.00552,0.04074
2006,Indirect migration background,Not compensated,0.03075,55,281,0.01052,0.05097
2007,No migration background,Comp. time,0.14709,3078,6134,0.13822,0.15595
2007,No migration background,Some of both,0.06019,1181,6134,0.05423,0.06614
2007,No migration background,Paid,0.02729,521,6134,0.02322,0.03137
2007,No migration background,Not compensated,0.05655,1354,6134,0.05077,0.06233
2007,Direct migration background,Comp. time,0.10023,238,524,0.07449,0.12596
2007,Direct migration background,Some of both,0.04866,120,524,0.03022,0.06710
2007,Direct migration background,Paid,0.04015,86,524,0.02333,0.05698
2007,Direct migration background,Not compensated,0.03464,80,524,0.01897,0.05031
2007,Indirect migration background,Comp. time,0.07842,129,258,0.04555,0.11129
2007,Indirect migration background,Some of both,0.03455,69,258,0.01222,0.05688
2007,Indirect migration background,Not compensated,0.03718,60,258,0.01405,0.06031
2008,No migration background,Comp. time,0.15391,2965,6066,0.14483,0.16299
2008,No migration background,Some of both,0.06486,1186,6066,0.05867,0.07106
2008,No migration background,Paid,0.03034,569,6066,0.02603,0.03466
2008,No migration background,Not compensated,0.06060,1346,6066,0.05459,0.06660
2008,Direct migration background,Comp. time,0.10895,223,515,0.08201,0.13588
2008,Direct migration background,Some of both,0.05249,117,515,0.03321,0.07177
2008,Direct migration background,Paid,0.05176,97,515,0.03261,0.07092
2008,Direct migration background,Not compensated,0.03895,78,515,0.02222,0.05567
2008,Indirect migration background,Comp. time,0.09354,133,246,0.05708,0.13000
2008,Indirect migration background,Some of both,0.04238,63,246,0.01715,0.06760
2008,Indirect migration background,Not compensated,0.02751,50,246,0.00703,0.04799
2009,No migration background,Comp. time,0.14910,2683,5411,0.13961,0.15859
2009,No migration background,Some of both,0.06425,1080,5411,0.05772,0.07078
2009,No migration background,Paid,0.02775,485,5411,0.02338,0.03213
2009,No migration background,Not compensated,0.05568,1163,5411,0.04957,0.06179
2009,Direct migration background,Comp. time,0.09732,177,404,0.06838,0.12626
2009,Direct migration background,Some of both,0.05276,86,404,0.03093,0.07459
2009,Direct migration background,Paid,0.05426,70,404,0.03214,0.07638
2009,Direct migration background,Not compensated,0.04035,71,404,0.02114,0.05956
2009,Indirect migration background,Comp. time,0.09732,116,259,0.06115,0.13349
2009,Indirect migration background,Some of both,0.04682,56,259,0.02105,0.07260
2009,Indirect migration background,Paid,0.02110,33,259,0.00356,0.03863
2009,Indirect migration background,Not compensated,0.04894,54,259,0.02261,0.07527
2010,No migration background,Comp. time,0.16382,3753,7282,0.15532,0.17232
2010,No migration background,Some of both,0.05858,1349,7282,0.05318,0.06397
2010,No migration background,Paid,0.02991,740,7282,0.02600,0.03383
