year,quintil_oecd,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Comp. time,0.03020,90,501,0.01520,0.04520
1984,1st Quintile,Some of both,0.00979,33,501,0.00116,0.01841
1984,1st Quintile,Paid,0.06836,313,501,0.04624,0.09048
1984,1st Quintile,Not compensated,0.02212,65,501,0.00923,0.03501
1984,2nd Quintile,Comp. time,0.06732,177,722,0.04903,0.08561
1984,2nd Quintile,Some of both,0.02647,79,722,0.01475,0.03819
1984,2nd Quintile,Paid,0.09479,361,722,0.07341,0.11617
1984,2nd Quintile,Not compensated,0.03774,105,722,0.02383,0.05165
1984,3rd Quintile,Comp. time,0.09685,256,889,0.07740,0.11631
1984,3rd Quintile,Some of both,0.03964,107,889,0.02680,0.05247
1984,3rd Quintile,Paid,0.11997,403,889,0.09860,0.14135
1984,3rd Quintile,Not compensated,0.04184,123,889,0.02867,0.05500
1984,4th Quintile,Comp. time,0.09759,267,1032,0.07948,0.11571
1984,4th Quintile,Some of both,0.03826,111,1032,0.02655,0.04996
1984,4th Quintile,Paid,0.11876,428,1032,0.09901,0.13851
1984,4th Quintile,Not compensated,0.08515,226,1032,0.06811,0.10219
1984,5th Quintile,Comp. time,0.11311,290,1196,0.09515,0.13107
1984,5th Quintile,Some of both,0.04484,131,1196,0.03310,0.05657
1984,5th Quintile,Paid,0.11279,347,1196,0.09486,0.13073
1984,5th Quintile,Not compensated,0.17141,428,1196,0.15004,0.19278
1985,1st Quintile,Comp. time,0.03134,88,432,0.01489,0.04778
1985,1st Quintile,Some of both,0.01328,36,432,0.00247,0.02409
1985,1st Quintile,Paid,0.05729,228,432,0.03535,0.07923
1985,1st Quintile,Not compensated,0.03119,80,432,0.01477,0.04760
1985,2nd Quintile,Comp. time,0.05386,134,602,0.03581,0.07191
1985,2nd Quintile,Some of both,0.02379,62,602,0.01161,0.03597
1985,2nd Quintile,Paid,0.09594,316,602,0.07240,0.11949
1985,2nd Quintile,Not compensated,0.03693,90,602,0.02185,0.05201
1985,3rd Quintile,Comp. time,0.07896,181,728,0.05935,0.09856
1985,3rd Quintile,Some of both,0.03141,78,728,0.01873,0.04408
1985,3rd Quintile,Paid,0.09848,325,728,0.07682,0.12014
1985,3rd Quintile,Not compensated,0.05939,144,728,0.04221,0.07657
1985,4th Quintile,Comp. time,0.09755,233,918,0.07834,0.11675
1985,4th Quintile,Some of both,0.04492,113,918,0.03152,0.05833
1985,4th Quintile,Paid,0.12211,359,918,0.10092,0.14330
1985,4th Quintile,Not compensated,0.08765,213,918,0.06935,0.10595
1985,5th Quintile,Comp. time,0.11329,267,1026,0.09389,0.13269
1985,5th Quintile,Some of both,0.04590,114,1026,0.03309,0.05871
1985,5th Quintile,Paid,0.09018,254,1026,0.07265,0.10772
1985,5th Quintile,Not compensated,0.16594,391,1026,0.14316,0.18871
1986,1st Quintile,Comp. time,0.02791,74,345,0.01051,0.04532
1986,1st Quintile,Paid,0.06235,231,345,0.03680,0.08790
1986,1st Quintile,Not compensated,0.01528,40,345,0.00232,0.02824
1986,2nd Quintile,Comp. time,0.05807,147,583,0.03907,0.07708
1986,2nd Quintile,Some of both,0.02504,63,583,0.01235,0.03774
1986,2nd Quintile,Paid,0.09357,311,583,0.06991,0.11724
1986,2nd Quintile,Not compensated,0.02309,62,583,0.01089,0.03530
1986,3rd Quintile,Comp. time,0.08948,212,741,0.06891,0.11005
1986,3rd Quintile,Some of both,0.03306,89,741,0.02017,0.04594
1986,3rd Quintile,Paid,0.10591,331,741,0.08374,0.12808
1986,3rd Quintile,Not compensated,0.04408,109,741,0.02929,0.05887
1986,4th Quintile,Comp. time,0.12015,271,907,0.09898,0.14132
1986,4th Quintile,Some of both,0.04764,114,907,0.03377,0.06151
1986,4th Quintile,Paid,0.12921,360,907,0.10737,0.15106
1986,4th Quintile,Not compensated,0.06904,162,907,0.05253,0.08555
1986,5th Quintile,Comp. time,0.11247,262,895,0.09176,0.13318
1986,5th Quintile,Some of both,0.04124,98,895,0.02820,0.05427
1986,5th Quintile,Paid,0.09401,250,895,0.07488,0.11314
1986,5th Quintile,Not compensated,0.12459,285,895,0.10294,0.14624
1988,1st Quintile,Comp. time,0.03776,93,400,0.01906,0.05646
1988,1st Quintile,Some of both,0.01274,39,400,0.00174,0.02375
1988,1st Quintile,Paid,0.06050,235,400,0.03711,0.08389
1988,1st Quintile,Not compensated,0.01519,33,400,0.00319,0.02719
1988,2nd Quintile,Comp. time,0.07738,182,622,0.05637,0.09840
1988,2nd Quintile,Some of both,0.02363,72,622,0.01168,0.03557
1988,2nd Quintile,Paid,0.08718,305,622,0.06499,0.10936
1988,2nd Quintile,Not compensated,0.02398,63,622,0.01195,0.03601
1988,3rd Quintile,Comp. time,0.09508,216,728,0.07376,0.11640
1988,3rd Quintile,Some of both,0.03514,83,728,0.02176,0.04853
1988,3rd Quintile,Paid,0.10952,322,728,0.08682,0.13222
1988,3rd Quintile,Not compensated,0.04462,107,728,0.02961,0.05963
1988,4th Quintile,Comp. time,0.11801,260,829,0.09603,0.13998
1988,4th Quintile,Some of both,0.04650,107,829,0.03216,0.06084
1988,4th Quintile,Paid,0.12220,321,829,0.09989,0.14451
1988,4th Quintile,Not compensated,0.06869,141,829,0.05146,0.08592
1988,5th Quintile,Comp. time,0.12676,267,874,0.10469,0.14883
1988,5th Quintile,Some of both,0.05737,117,874,0.04194,0.07279
1988,5th Quintile,Paid,0.10311,243,874,0.08294,0.12328
1988,5th Quintile,Not compensated,0.12450,247,874,0.10260,0.14640
1989,1st Quintile,Comp. time,0.03489,99,418,0.01728,0.05250
1989,1st Quintile,Some of both,0.01893,52,418,0.00585,0.03202
1989,1st Quintile,Paid,0.06201,235,418,0.03886,0.08515
1989,1st Quintile,Not compensated,0.01248,32,418,0.00182,0.02313
1989,2nd Quintile,Comp. time,0.07939,178,640,0.05843,0.10036
1989,2nd Quintile,Some of both,0.03578,106,640,0.02138,0.05018
1989,2nd Quintile,Paid,0.09427,302,640,0.07161,0.11692
1989,2nd Quintile,Not compensated,0.02339,54,640,0.01167,0.03511
1989,3rd Quintile,Comp. time,0.09758,204,771,0.07662,0.11854
1989,3rd Quintile,Some of both,0.04633,102,771,0.03148,0.06117
1989,3rd Quintile,Paid,0.13810,369,771,0.11373,0.16247
1989,3rd Quintile,Not compensated,0.03873,96,771,0.02511,0.05236
1989,4th Quintile,Comp. time,0.13245,288,926,0.11060,0.15429
1989,4th Quintile,Some of both,0.06431,138,926,0.04850,0.08012
1989,4th Quintile,Paid,0.13547,371,926,0.11342,0.15753
1989,4th Quintile,Not compensated,0.06600,129,926,0.05000,0.08200
1989,5th Quintile,Comp. time,0.13666,272,894,0.11413,0.15919
1989,5th Quintile,Some of both,0.06127,128,894,0.04554,0.07700
1989,5th Quintile,Paid,0.10865,233,894,0.08824,0.12907
1989,5th Quintile,Not compensated,0.13846,261,894,0.11581,0.16112
1990,1st Quintile,Comp. time,0.03712,88,416,0.01893,0.05531
1990,1st Quintile,Some of both,0.01923,57,416,0.00602,0.03244
1990,1st Quintile,Paid,0.07112,239,416,0.04639,0.09585
1990,1st Quintile,Not compensated,0.01491,32,416,0.00325,0.02657
1990,2nd Quintile,Comp. time,0.08234,179,665,0.06143,0.10325
1990,2nd Quintile,Some of both,0.03452,90,665,0.02063,0.04840
1990,2nd Quintile,Paid,0.11108,334,665,0.08718,0.13498
1990,2nd Quintile,Not compensated,0.02949,62,665,0.01662,0.04236
1990,3rd Quintile,Comp. time,0.11058,233,762,0.08830,0.13287
1990,3rd Quintile,Some of both,0.04599,113,762,0.03111,0.06088
1990,3rd Quintile,Paid,0.12577,349,762,0.10221,0.14933
1990,3rd Quintile,Not compensated,0.03340,67,762,0.02064,0.04617
1990,4th Quintile,Comp. time,0.15024,301,907,0.12697,0.17351
1990,4th Quintile,Some of both,0.06474,148,907,0.04871,0.08076
1990,4th Quintile,Paid,0.14232,348,907,0.11957,0.16507
1990,4th Quintile,Not compensated,0.05822,110,907,0.04297,0.07346
1990,5th Quintile,Comp. time,0.13682,272,857,0.11380,0.15984
1990,5th Quintile,Some of both,0.06184,129,857,0.04570,0.07797
1990,5th Quintile,Paid,0.09338,214,857,0.07389,0.11287
