study,dataset,version,variable,meantable,probtable,template_id,label,label_de,concept,type,description,description_de,minedition
soep-core,h_statistics,v36,bula_h,demo,demo,,,Bundesland,,byte,,,
soep-core,h_statistics,v36,d11107,yes,no,,,Anzahl Kinder im HH,,byte,,,
soep-core,h_statistics,v36,eigentum,yes,no,,,Eigentümer,,float,,,
soep-core,h_statistics,v36,essen,yes,no,,,Mntl. Ausgaben Lebensmittel,,float,,,
soep-core,h_statistics,v36,h11101,yes,no,,,Anzahl Kinder im HH 0-14 J.,,byte,,,
soep-core,h_statistics,v36,heizen,yes,no,,,Mntl. Heiz- und Warmwasserkosten,,float,,,
soep-core,h_statistics,v36,hgeqpgar,no,yes,,,Garten,,byte,,,
soep-core,h_statistics,v36,hgeqpinsul,no,yes,,,Wärmedämmung,,float,,,
soep-core,h_statistics,v36,hgeqpmglass,no,yes,,,mind. Doppelverglasung,,float,,,
soep-core,h_statistics,v36,hgeqpsol,no,yes,,,Solaranlage,,float,,,
soep-core,h_statistics,v36,hgeqpter,no,yes,,,"Balkon, Terrasse",,byte,,,
soep-core,h_statistics,v36,hghinc,,,,,Monatl. Haushaltsnettoeinkommen (EUR),,long,,,
soep-core,h_statistics,v36,hgowner,no,yes,,,"Eigentuemer, Mieter",,float,,,
soep-core,h_statistics,v36,hgrent,yes,no,,,Monatl. Bruttokaltmiete (EUR),,float,,,
soep-core,h_statistics,v36,hgroom,yes,no,,,Zahl der Wohnraeume ueber 6 qm,,float,,,
soep-core,h_statistics,v36,hgsize,yes,no,,,Wohnflaeche in qm,,float,,,
soep-core,h_statistics,v36,hhgr,yes,no,,,Aktuelle Haushaltsgroesse,,byte,,,
soep-core,h_statistics,v36,hhrf,,,,,Hochrechnungsfaktor,,double,,,
soep-core,h_statistics,v36,hhrf1,,,,,Hochrechnungsfaktor ohne neue Stichproben (Welle 1),,double,,,
soep-core,h_statistics,v36,hhtyp,demo,demo,,,Haushaltstyp,,float,,,
soep-core,h_statistics,v36,hid,,,,,Current Wave HH Number (=bhHHNR),,long,,,
soep-core,h_statistics,v36,hinc_eq,yes,no,,,OECD-Äquivalenzeinkommen,,float,,,
soep-core,h_statistics,v36,hlc0052,no,yes,,,"ALG2, Sozialgeld im letzten Jahr",,byte,,,
soep-core,h_statistics,v36,hlc0061_h,no,yes,,,"Grundsicherung im Alter, Vorjahr",,byte,,,
soep-core,h_statistics,v36,hlc0080_h,no,yes,,,"Wohngeld,Lastenzuschuss Vorjahr",,byte,,,
soep-core,h_statistics,v36,hlc0083_h,no,yes,,,Wohngeld heute,,byte,,,
soep-core,h_statistics,v36,hlc0119_h,no,yes,,,Sparbetrag monatlich,,byte,,,
soep-core,h_statistics,v36,hlc0178,no,yes,,,Groessere Geldbetraege/Vermoegenswerte - Erbschaft,,byte,,,
soep-core,h_statistics,v36,hlc0180,no,yes,,,Groessere Geldbetraege/Vermoegenswerte - Geschenk,,byte,,,
soep-core,h_statistics,v36,hlc0182,no,yes,,,Groessere Geldbetraege/Vermoegenswerte - Lotteriegewinn,,byte,,,
soep-core,h_statistics,v36,hlf0036,no,yes,,,Wohnung mit sonst. alternat. Energiequellen,,byte,,,
soep-core,h_statistics,v36,hlf0071_h,no,yes,,,Beurteilung der Wohnungsgroesse,,byte,,,
soep-core,h_statistics,v36,hlf0151,no,yes,,,Sicherheit des Wohngebiets,,byte,,,
soep-core,h_statistics,v36,hlf0178_h,no,yes,,,Internetzugang,,byte,,,
soep-core,h_statistics,v36,hlf0180,no,yes,,,Auto im HH,,byte,,,
soep-core,h_statistics,v36,hlf0186,no,yes,,,Notfallruecklagen,,byte,,,
soep-core,h_statistics,v36,hlf0188,no,yes,,,Jaehrliche Urlaubsreise,,byte,,,
soep-core,h_statistics,v36,hlf0192,no,yes,,,Alle 2 Tage: Fisch/Fleisch/Gefluegel,,byte,,,
soep-core,h_statistics,v36,hlf0197,yes,no,,,Anzahl Buecher im HH,,byte,,,
soep-core,h_statistics,v36,hlf0261,no,yes,,,"Putz-,Haushaltshilfe beschaeftigt",,byte,,,
soep-core,h_statistics,v36,hlf0291,no,yes,,,"Hilfe-,Pflegebeduerft. Person im HH",,byte,,,
soep-core,h_statistics,v36,hlf0613,no,yes,,,Monatlich Freizeitbeschaeftigung,,byte,,,
soep-core,h_statistics,v36,hlf0631,yes,no,,,Anzahl pflegebeduerftige Personen im HH,,byte,,,
soep-core,h_statistics,v36,hlf0632,no,yes,,,Beurteilung Belastung durch Wohnkosten (Tilgung / Zinsen und Nebenkosten),,byte,,,
soep-core,h_statistics,v36,hlf0633,no,yes,,,Beurteilung Belastung durch Wohnkosten (Miete und Nebenkosten),,byte,,,
soep-core,h_statistics,v36,hlk0044,yes,no,,,Kinder bis 16 Jahre im Haushalt,,byte,,,
soep-core,h_statistics,v36,hsample,,,,,Stichprobenart,,byte,,,
soep-core,h_statistics,v36,pid,,,,,Never Changing Person ID,,long,,,
soep-core,h_statistics,v36,quintil,demo,demo,,,Netto-HH-Einkommens-Quintile,,byte,,,
soep-core,h_statistics,v36,regtyp,demo,demo,,,Siedlungsstruktur,,byte,,,
soep-core,h_statistics,v36,sampreg,demo,demo,,,Ost-/ Westdeutschland,,float,,,
soep-core,h_statistics,v36,stell_h,,,,,"Stellung zum HV, Bezugsperson [harmonisiert]",,byte,,,
soep-core,h_statistics,v36,strom,yes,no,,,Mntl. Stromkosten,,float,,,
soep-core,h_statistics,v36,syear,demo,demo,,,Survey Year,,double,,,
soep-core,h_statistics,v36,umlage,yes,no,,,Mntl. Umlagekosten,,float,,,
soep-core,h_statistics,v36,wohnk,yes,no,,,Beurteilung Belastung durch Wohnkosten,,float,,,
