"year","alter_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","40.12","40","3814","39.73","40.51"
"1984","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1984","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","26.76","20","44","21.13","32.39"
"1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","39.64","40","3471","39.21","40.07"
"1985","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1985","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","28.64","21.99","38","21.92","35.36"
"1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","40.16","40","3275","39.73","40.59"
"1986","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1986","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","39.63","40","3323","39.22","40.04"
"1987","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1987","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","24.38","15","31","16.76","32"
"1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","39.02","40","3151","38.58","39.46"
"1988","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1988","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","39.97","40","3046","39.55","40.39"
"1989","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1989","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","39.12","40","3011","38.71","39.53"
"1990","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1990","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","38.78","40","3105","38.35","39.21"
"1991","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","29.75","20","6","13.95","45.55"
"1991","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1992","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","42.64","40","925","42.14","43.14"
"1992","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1992","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1992","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","38.74","40","3025","38.31","39.17"
"1992","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","40.32","31.02","4","13.05","67.59"
"1992","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","43.13","41","887","42.48","43.78"
"1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1993","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1993","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","42.51","41.5","806","41.89","43.13"
"1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1994","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1994","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","42.4","41","809","41.71","43.09"
"1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","37.9","40","3016","37.44","38.36"
"1995","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1995","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","42.37","41","745","41.7","43.04"
"1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1996","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"1996","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1997","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","41.68","41","718","40.99","42.37"
"1997","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1997","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1997","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1997","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","20.41","14.81","4","-3.28","44.1"
"1997","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1998","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","41.92","41","744","41.22","42.62"
"1998","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1998","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1998","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","38.53","40","3356","38.1","38.96"
"1998","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","16.07","15.55","5","9.12","23.02"
"1998","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","19","12","30","10.9","27.1"
"1999","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","41.17","40","748","40.44","41.9"
"1999","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1999","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1999","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","38.12","40","3410","37.67","38.57"
"1999","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","15.78","4.75","4","-12.25","43.81"
"1999","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","20.52","15","36","14.56","26.48"
"2000","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2000","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","38.58","40","3532","38.17","38.99"
"2000","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2000","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","38.2","40","6603","37.87","38.53"
"2000","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","23.19","13.99","7","4.06","42.32"
"2000","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","26.78","20","70","22.09","31.47"
"2001","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","40.51","40","939","39.81","41.21"
"2001","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","38.12","40","3102","37.67","38.57"
"2001","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2001","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","38.33","40","6199","37.99","38.67"
"2001","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","15.95","7.68","8","-1.97","33.87"
"2001","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","21.99","14.5","73","17.83","26.15"
"2002","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","40.34","40","907","39.62","41.06"
"2002","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2002","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2002","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","37.43","40","7077","37.1","37.76"
"2002","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","18.55","12.51","9","3.81","33.29"
"2002","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","21.57","15","98","17.84","25.3"
"2003","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","39.92","40","842","39.13","40.71"
"2003","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2003","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2003","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","37.44","40","6743","37.11","37.77"
"2003","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"2003","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"2004","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","38.65","40","818","37.84","39.46"
"2004","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2004","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2004","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","37.53","40","6513","37.19","37.87"
"2004","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"2004","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"2005","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","41.24","40","746","40.43","42.05"
"2005","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2005","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2005","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","37.76","40","6217","37.42","38.1"
"2005","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"2005","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"2006","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","41.02","40","746","40.2","41.84"
"2006","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2006","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2006","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","37.98","40","6696","37.64","38.32"
"2006","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"2006","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"2007","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","40.02","40","756","39.16","40.88"
"2007","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2007","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2007","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","38.03","40","6356","37.69","38.37"
"2007","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"2007","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"2008","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","40.32","40","699","39.47","41.17"
"2008","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2008","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2008","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","37.91","40","6002","37.56","38.26"
"2008","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"2008","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"2009","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","39.95","40","638","39.11","40.79"
"2009","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2009","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"2009","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","37.8","40","5552","37.43","38.17"
"2009","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","","","","",""
"2009","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"2010","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","39.55","40","873","38.75","40.35"
"2010","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"2010","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
