"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","17-29","(Fach-)Abitur","35.65","39","187","12","38","41","45","60","33.86","37.44","1","80","40","40"
"1984","17-29","(noch) kein Abschluss","38.36","38.5","89","32","40","40","44","60","36.22","40.5","2","76","40","40"
"1984","17-29","AkademikerIn","40.6","40.5","84","20","40","46","60","70","37.49","43.71","2","75","40","44"
"1984","17-29","Hauptschule","41.17","39","1026","40","40","43","50","72","40.63","41.71","2","80","40","40"
"1984","17-29","Realschule","39.95","39.5","525","34","40","42","49","65","39.07","40.83","1","80","40","40"
"1984","30-45","(Fach-)Abitur","38.49","39","148","13","35","46","56","80","36.34","40.64","3","80","40","40"
"1984","30-45","(noch) kein Abschluss","38.58","38.5","258","25","40","40","48","80","37.42","39.74","3","80","40","40"
"1984","30-45","AkademikerIn","41.45","41.5","303","20","40","50","60","78","39.86","43.04","1","80","40","42"
"1984","30-45","Hauptschule","39.64","39.5","1535","20","40","45","55","75","39","40.28","1","80","40","40"
"1984","30-45","Realschule","39.97","39","366","20","40","46","55","80","38.5","41.44","2","80","40","40"
"1984","46-65","(Fach-)Abitur","44.45","37.5","84","35","40","50","60","80","41.95","46.95","4","80","40","42"
"1984","46-65","(noch) kein Abschluss","40.52","38.5","244","37","40","40","50","60","39.43","41.61","3","80","40","40"
"1984","46-65","AkademikerIn","42.63","41","167","24","40","50","60","75","40.56","44.7","2","77","40","45"
"1984","46-65","Hauptschule","39.69","39.5","1207","20","40","44","51","72","39.03","40.35","2","80","40","40"
"1984","46-65","Realschule","39.33","37.5","202","20","35","45","60","76","37.33","41.33","2","80","40","40"
"1984","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"1984","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1984","66","AkademikerIn","","","","","","","","","","","","","",""
"1984","66","Hauptschule","","","","","","","","","","","","","",""
"1984","66","Realschule","","","","","","","","","","","","","",""
"1985","17-29","(Fach-)Abitur","33.68","39.5","183","8","20","42","45","65","31.43","35.93","2","80","40","40"
"1985","17-29","(noch) kein Abschluss","34.55","39.5","65","4","32","43","50","70","31.1","38","1","70","40","40"
"1985","17-29","AkademikerIn","40.63","40.5","80","20","40","46","50","80","37.87","43.39","5","80","40","45"
"1985","17-29","Hauptschule","41.25","39.5","897","37","40","45","50","70","40.59","41.91","1","80","40","40"
"1985","17-29","Realschule","40.01","39.5","520","27","40","44","48","68","39.11","40.91","2","80","40","40"
"1985","30-45","(Fach-)Abitur","37.62","39.5","125","10","35","45","55","70","35.09","40.15","2","70","40","40"
"1985","30-45","(noch) kein Abschluss","40.36","39.5","194","32","40","42","48","72","39.07","41.65","1","80","40","40"
"1985","30-45","AkademikerIn","42.55","41.5","307","25","40","50","60","70","41.09","44.01","2","80","40","44"
"1985","30-45","Hauptschule","38.34","39.5","1366","18","38","45","50","70","37.64","39.04","1","80","40","40"
"1985","30-45","Realschule","39.22","39.5","352","20","38","45","50","72","37.79","40.65","1","80","40","40"
"1985","46-65","(Fach-)Abitur","41.08","41.5","73","15","40","48","60","70","38.05","44.11","3","70","40","45"
"1985","46-65","(noch) kein Abschluss","38.86","39.5","210","29","40","40","48","60","37.6","40.12","5","65","40","40"
