year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1996,Rural regions,male,1396,43.75661,43.22260,44.29062,39.00000,41.00000,50.00000,22.50000,66.50000,41.0,40.00000,42.00000
1996,Rural regions,female,1093,34.38917,33.65380,35.12455,25.00000,38.50000,40.50000,1.75000,63.75000,38.5,38.00000,39.00000
1997,Urban regions,male,2662,43.23629,42.84927,43.62330,38.50000,41.00000,48.00000,24.25000,62.25000,41.0,40.00000,42.00000
1997,Urban regions,female,1982,33.21106,32.65361,33.76852,23.00000,38.50000,40.00000,1.0,65.50000,38.5,37.50000,38.50000
1997,Rural regions,male,1374,44.40649,43.86647,44.94650,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,41.00000,42.50000
1997,Rural regions,female,1072,35.11386,34.34759,35.88013,26.00000,38.50000,42.00000,2.00000,66.00000,38.5,38.00000,40.00000
1998,Urban regions,male,2894,42.81627,42.43705,43.19549,38.50000,41.00000,48.00000,24.25000,62.25000,41.0,40.00000,42.00000
1998,Urban regions,female,2159,33.32033,32.78560,33.85507,24.00000,38.00000,40.00000,2.0,64.00000,38.0,37.50000,38.00000
1998,Rural regions,male,1519,44.13628,43.58004,44.69251,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,42.00000,42.50000
1998,Rural regions,female,1159,34.87751,34.15575,35.59926,27.10250,38.50000,41.00000,6.25626,61.84625,38.5,38.00000,40.00000
1999,Urban regions,male,2874,42.55176,42.15348,42.95003,38.50000,40.00000,48.00000,24.25000,62.25000,40.0,40.00000,41.00000
1999,Urban regions,female,2219,32.68476,32.13227,33.23725,21.58309,38.00000,40.00000,1.0,67.62536,38.0,37.00000,38.00000
1999,Rural regions,male,1510,43.43340,42.87565,43.99115,40.00000,42.00000,49.08171,26.37744,62.70427,42.0,40.79250,42.00000
1999,Rural regions,female,1221,33.93130,33.21564,34.64697,25.00000,38.00000,40.50000,2.0,63.75000,38.0,37.50000,39.00000
2000,Urban regions,male,4834,43.07918,42.78020,43.37816,38.50000,40.05591,48.00000,24.25000,62.25000,40.1,40.00000,41.00000
2000,Urban regions,female,3833,32.18613,31.76013,32.61212,20.00000,37.50000,40.00000,1.0,70.00000,37.5,36.99000,38.00000
2000,Rural regions,male,2539,44.25823,43.86445,44.65202,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.99000,42.00000
2000,Rural regions,female,2040,34.04422,33.46883,34.61961,25.00000,38.00000,41.00000,2.0,65.00000,38.0,38.00000,38.50000
2001,Urban regions,male,4435,42.85950,42.53498,43.18402,38.50000,40.00000,48.00000,24.25000,62.25000,40.0,40.00000,41.30500
