"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 J.","männlich","42.55","39.5","1546","42.06","43.04"
"1984","16-34 J.","weiblich","36.51","39.5","1144","35.84","37.18"
"1984","35-65 J.","männlich","44.37","39.5","2516","43.98","44.76"
"1984","35-65 J.","weiblich","31.96","33.5","1261","31.21","32.71"
"1984","66 und älter","männlich","","","","",""
"1984","66 und älter","weiblich","","","","",""
"1985","16-34 J.","männlich","42.3","39.5","1412","41.74","42.86"
"1985","16-34 J.","weiblich","36.71","39.5","1072","35.98","37.44"
"1985","35-65 J.","männlich","44.16","41.5","2264","43.71","44.61"
"1985","35-65 J.","weiblich","31.39","34.5","1180","30.64","32.14"
"1985","66 und älter","männlich","","","","",""
"1985","66 und älter","weiblich","","","","",""
"1986","16-34 J.","männlich","42.84","39.5","1435","42.33","43.35"
"1986","16-34 J.","weiblich","36.88","39.5","1072","36.19","37.57"
"1986","35-65 J.","männlich","44.29","41.5","2120","43.85","44.73"
"1986","35-65 J.","weiblich","32.61","37.5","1131","31.83","33.39"
"1986","66 und älter","männlich","","","","",""
"1986","66 und älter","weiblich","","","","",""
"1987","16-34 J.","männlich","42.16","39.5","1469","41.67","42.65"
"1987","16-34 J.","weiblich","36.39","39.5","1078","35.74","37.04"
"1987","35-65 J.","männlich","44.12","40.5","2115","43.72","44.52"
"1987","35-65 J.","weiblich","31.83","35.5","1182","31.09","32.57"
"1987","66 und älter","männlich","","","","",""
"1987","66 und älter","weiblich","","","","",""
"1988","16-34 J.","männlich","42","39.5","1400","41.47","42.53"
"1988","16-34 J.","weiblich","35.79","39.5","1030","35.07","36.51"
"1988","35-65 J.","männlich","43.52","40.5","1989","43.08","43.96"
"1988","35-65 J.","weiblich","31.33","34.5","1142","30.54","32.12"
"1988","66 und älter","männlich","","","","",""
"1988","66 und älter","weiblich","","","","",""
"1989","16-34 J.","männlich","42.17","39.5","1414","41.72","42.62"
"1989","16-34 J.","weiblich","36.67","39.5","1029","35.99","37.35"
"1989","35-65 J.","männlich","44.48","41.5","1921","44.08","44.88"
"1989","35-65 J.","weiblich","32.12","36.5","1109","31.36","32.88"
"1989","66 und älter","männlich","","","","",""
"1989","66 und älter","weiblich","","","","",""
"1990","16-34 J.","männlich","43.17","41.75","2029","42.76","43.58"
"1990","16-34 J.","weiblich","37.26","39.75","1641","36.72","37.8"
"1990","35-65 J.","männlich","44.51","42.75","2870","44.18","44.84"
"1990","35-65 J.","weiblich","34.8","38.45","2001","34.25","35.35"
"1990","66 und älter","männlich","","","","",""
"1990","66 und älter","weiblich","","","","",""
"1991","16-34 J.","männlich","42.31","39.9","1921","41.89","42.73"
"1991","16-34 J.","weiblich","36.39","39.75","1494","35.86","36.92"
"1991","35-65 J.","männlich","43.62","39.75","2680","43.26","43.98"
"1991","35-65 J.","weiblich","32.83","37.45","1887","32.27","33.39"
"1991","66 und älter","männlich","","","","",""
"1991","66 und älter","weiblich","","","","",""
"1992","16-34 J.","männlich","42.1","39.75","1822","41.7","42.5"
"1992","16-34 J.","weiblich","36.44","39.75","1399","35.91","36.97"
"1992","35-65 J.","männlich","44.14","41.9","2572","43.77","44.51"
"1992","35-65 J.","weiblich","33.1","37.75","1811","32.54","33.66"
"1992","66 und älter","männlich","","","","",""
"1992","66 und älter","weiblich","","","","",""
"1993","16-34 J.","männlich","42.29","39.75","1769","41.87","42.71"
"1993","16-34 J.","weiblich","36.22","39.25","1372","35.66","36.78"
"1993","35-65 J.","männlich","43.91","40.75","2452","43.54","44.28"
"1993","35-65 J.","weiblich","32.82","37.45","1766","32.23","33.41"
"1993","66 und älter","männlich","","","","",""
"1993","66 und älter","weiblich","","","","",""
"1994","16-34 J.","männlich","42.21","39.9","1684","41.77","42.65"
"1994","16-34 J.","weiblich","36.01","38.75","1320","35.44","36.58"
"1994","35-65 J.","männlich","43.69","40.25","2365","43.31","44.07"
"1994","35-65 J.","weiblich","32.71","37.25","1681","32.1","33.32"
"1994","66 und älter","männlich","","","","",""
"1994","66 und älter","weiblich","","","","",""
"1995","16-34 J.","männlich","42.08","39.75","1764","41.62","42.54"
"1995","16-34 J.","weiblich","35.94","39.25","1369","35.35","36.53"
"1995","35-65 J.","männlich","43.76","41.75","2485","43.36","44.16"
"1995","35-65 J.","weiblich","32.14","36.75","1833","31.54","32.74"
"1995","66 und älter","männlich","","","","",""
"1995","66 und älter","weiblich","","","","",""
"1996","16-34 J.","männlich","42.23","39.75","1678","41.79","42.67"
"1996","16-34 J.","weiblich","35.6","39.75","1288","35.01","36.19"
"1996","35-65 J.","männlich","43.82","41.25","2393","43.43","44.21"
"1996","35-65 J.","weiblich","32.19","36.75","1820","31.6","32.78"
"1996","66 und älter","männlich","","","","",""
"1996","66 und älter","weiblich","","","","",""
"1997","16-34 J.","männlich","42.42","39.75","1647","41.95","42.89"
"1997","16-34 J.","weiblich","35.9","39.8","1255","35.26","36.54"
"1997","35-65 J.","männlich","44.45","41.75","2369","44.05","44.85"
"1997","35-65 J.","weiblich","32.67","36.75","1791","32.07","33.27"
"1997","66 und älter","männlich","","","","",""
"1997","66 und älter","weiblich","","","","",""
"1998","16-34 J.","männlich","41.92","39.95","1726","41.44","42.4"
"1998","16-34 J.","weiblich","36.49","39.75","1292","35.88","37.1"
"1998","35-65 J.","männlich","44.13","41.75","2665","43.75","44.51"
"1998","35-65 J.","weiblich","32.56","35.75","2013","31.99","33.13"
"1998","66 und älter","männlich","","","","",""
"1998","66 und älter","weiblich","","","","",""
"1999","16-34 J.","männlich","41.33","39.75","1674","40.81","41.85"
"1999","16-34 J.","weiblich","35.5","39.75","1340","34.87","36.13"
"1999","35-65 J.","männlich","43.85","41.75","2682","43.46","44.24"
"1999","35-65 J.","weiblich","31.94","35.85","2088","31.37","32.51"
"1999","66 und älter","männlich","","","","",""
"1999","66 und älter","weiblich","","","","",""
"2000","16-34 J.","männlich","42.05","39.75","2474","41.63","42.47"
"2000","16-34 J.","weiblich","35.14","39.75","2055","34.59","35.69"
"2000","35-65 J.","männlich","44.35","41.8","4848","44.07","44.63"
"2000","35-65 J.","weiblich","31.69","34.5","3792","31.26","32.12"
"2000","66 und älter","männlich","29.88","24.5","51","24.5","35.26"
"2000","66 und älter","weiblich","","","","",""
"2001","16-34 J.","männlich","41.87","39.85","2164","41.4","42.34"
"2001","16-34 J.","weiblich","34.66","39.25","1843","34.08","35.24"
"2001","35-65 J.","männlich","44.26","41.75","4490","43.97","44.55"
"2001","35-65 J.","weiblich","32.11","34.75","3645","31.68","32.54"
"2001","66 und älter","männlich","23.61","18","59","18.95","28.27"
"2001","66 und älter","weiblich","","","","",""
"2002","16-34 J.","männlich","42.01","39.75","2008","41.52","42.5"
"2002","16-34 J.","weiblich","34.85","38.75","1798","34.26","35.44"
"2002","35-65 J.","männlich","44.13","41.75","4934","43.84","44.42"
"2002","35-65 J.","weiblich","30.72","32.75","4087","30.31","31.13"
"2002","66 und älter","männlich","25.57","18","80","21.45","29.69"
"2002","66 und älter","weiblich","","","","",""
"2003","16-34 J.","männlich","41.19","39.9","1855","40.67","41.71"
"2003","16-34 J.","weiblich","33.89","38.25","1716","33.28","34.5"
"2003","35-65 J.","männlich","43.88","41.9","4686","43.59","44.17"
"2003","35-65 J.","weiblich","30.8","33.75","3947","30.38","31.22"
"2003","66 und älter","männlich","26.15","19.5","87","22.25","30.05"
"2003","66 und älter","weiblich","18.5","9","32","12.07","24.93"
"2004","16-34 J.","männlich","41","39.75","1736","40.48","41.52"
"2004","16-34 J.","weiblich","34.21","38.85","1600","33.58","34.84"
"2004","35-65 J.","männlich","43.53","41.9","4499","43.23","43.83"
"2004","35-65 J.","weiblich","31.04","34.75","3858","30.62","31.46"
"2004","66 und älter","männlich","24.31","18","90","20.41","28.21"
"2004","66 und älter","weiblich","13.21","9","39","9.34","17.08"
