year,sampreg,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,male,4087,43.56071844117859,43.23872552093374,43.88271136142343,40.0,40.0,47.0,29.5,57.5,40.0,40.0,40.0
1984,West,female,2424,33.92726557130199,33.392132921759675,34.4623982208443,24.0,40.0,40.0,1.0,64.0,40.0,40.0,40.0
1985,West,male,3699,43.38035788594232,43.02338106334406,43.73733470854057,40.0,42.0,48.0,28.0,60.0,42.0,42.0,43.0
1985,West,female,2267,33.78032264360323,33.23047780764027,34.330167479566185,22.0,40.0,40.0,1.0,67.0,40.0,40.0,40.0
1986,West,male,3568,43.615367082780494,43.26722217856163,43.96351198699936,40.0,41.0,48.0,28.0,60.0,41.0,40.0,42.0
1986,West,female,2214,34.56312639895564,34.020949976461644,35.105302821449634,25.0,40.0,40.0,2.5,62.5,40.0,40.0,40.0
1987,West,male,3603,43.24109118517216,42.90187252352768,43.58030984681664,40.0,40.0,46.0,31.0,55.0,40.0,40.0,40.0
1987,West,female,2272,33.84934525426049,33.33309751702699,34.36559299149399,25.0,40.0,40.0,2.5,62.5,40.0,40.0,41.0
1988,West,male,3407,42.838808824669826,42.48300815237817,43.19460949696148,40.0,40.0,46.0,31.0,55.0,40.0,40.0,40.0
1988,West,female,2183,33.24964539607641,32.68594634155934,33.81334445059348,23.0,39.0,40.0,1.0,65.5,39.0,38.0,39.025
1989,West,male,3349,43.52875338387451,43.20821693986816,43.84928982788086,40.0,40.0,47.0,29.5,57.5,40.0,39.0,40.0
1989,West,female,2148,34.23255331263532,33.70183458784021,34.763272037430426,25.0,39.0,40.0,2.5,62.5,39.0,39.0,39.0
1990,West,male,3250,42.65817977364689,42.32541948431726,42.99094006297653,38.5,40.0,45.0,28.75,54.75,40.0,40.0,40.0
1990,West,female,2149,33.561080255782514,33.0355119881779,34.086648523387126,24.0,38.5,40.0,0.2,64.0,38.5,38.5,38.5
1990,East,male,1671,48.55525494618406,48.15985742635873,48.95065246600939,45.0,50.0,51.0,36.0,60.0,50.0,50.0,50.0
1990,East,female,1506,42.32151020332781,41.81175446848977,42.831265938165856,36.0,44.0,50.0,15.0,71.0,44.0,43.0,45.0
1991,West,male,3266,42.881178579274064,42.54735770838281,43.214999450165315,38.5,40.0,46.0,27.25,57.25,40.0,40.0,40.0
1991,West,female,2256,33.225546533966764,32.701016893312165,33.75007617462136,23.0,38.0,40.0,0.2,65.5,38.0,37.5,38.0
1991,East,male,1354,43.493875251321526,42.93652418635372,44.05122631628933,40.0,42.0,48.0,28.0,60.0,42.0,42.0,44.0
1991,East,female,1133,38.20745448667275,37.67162532527476,38.743283648070744,35.0,40.0,42.0,24.5,52.5,40.0,40.0,40.0
1992,West,male,3150,42.78989697210026,42.456526826181275,43.12326711801924,38.5,40.0,46.0,27.25,57.25,40.0,40.0,40.0
1992,West,female,2173,32.94403225544167,32.424986729059704,33.463077781823635,24.0,38.0,40.0,0.6,64.0,38.0,38.0,38.5
1992,East,male,1255,45.39353323468454,44.86667204079905,45.92039442857003,40.0,42.0,50.0,25.0,65.0,42.0,40.5,42.0
1992,East,female,1044,40.34739046766029,39.86610791173262,40.82867302358796,40.0,40.0,43.0,35.5,47.5,40.0,40.0,40.0
1993,West,male,3061,42.61202567569881,42.28353818424327,42.94051316715435,38.5,40.0,45.0,28.75,54.75,40.0,40.0,40.0
1993,West,female,2169,32.55452863831876,32.02654942801758,33.08250784861993,22.0,37.5,40.0,0.1,67.0,37.5,37.0,37.5
1993,East,male,1170,45.982575335945484,45.38140830228434,46.583742369606625,40.0,44.0,50.0,25.0,65.0,44.0,43.0,45.0
1993,East,female,977,40.23089355400269,39.67535947335323,40.78642763465215,40.0,40.0,43.0,35.5,47.5,40.0,40.0,40.0
1994,West,male,2941,42.510037352593635,42.15812720207041,42.86194750311686,38.5,40.0,45.0,28.75,54.75,40.0,40.0,40.0
1994,West,female,2069,32.397717315825695,31.85623861504634,32.93919601660505,22.0,37.5,40.0,0.5,67.0,37.5,37.0,37.5
