"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","39.96","40","2699","39.55","40.37"
"1984","35-65 Jahre alt","40.12","40","3814","39.73","40.51"
"1984","66 und älter","26.76","20","44","21.13","32.39"
"1985","16-34 Jahre alt","39.79","40","2496","39.33","40.25"
"1985","35-65 Jahre alt","39.64","40","3471","39.21","40.07"
"1985","66 und älter","28.64","21.99","38","21.92","35.36"
"1986","16-34 Jahre alt","40.18","40","2519","39.75","40.61"
"1986","35-65 Jahre alt","40.16","40","3275","39.73","40.59"
"1986","66 und älter","","","","",""
"1987","16-34 Jahre alt","39.58","40","2553","39.17","39.99"
"1987","35-65 Jahre alt","39.63","40","3323","39.22","40.04"
"1987","66 und älter","24.38","15","31","16.76","32"
"1988","16-34 Jahre alt","39.25","40","2432","38.8","39.7"
"1988","35-65 Jahre alt","39.02","40","3151","38.58","39.46"
"1988","66 und älter","","","","",""
"1989","16-34 Jahre alt","39.75","40","2451","39.35","40.15"
"1989","35-65 Jahre alt","39.97","40","3046","39.55","40.39"
"1989","66 und älter","","","","",""
"1990","16-34 Jahre alt","40.51","40","3680","40.17","40.85"
"1990","35-65 Jahre alt","40.68","40","4891","40.36","41"
"1990","66 und älter","31.8","28.62","35","26.47","37.13"
"1991","16-34 Jahre alt","39.7","40","3426","39.35","40.05"
"1991","35-65 Jahre alt","39.27","40","4585","38.93","39.61"
"1991","66 und älter","","","","",""
"1992","16-34 Jahre alt","39.66","40","3234","39.33","39.99"
"1992","35-65 Jahre alt","39.68","40","4398","39.34","40.02"
"1992","66 und älter","","","","",""
"1993","16-34 Jahre alt","39.66","40","3161","39.31","40.01"
"1993","35-65 Jahre alt","39.27","40","4227","38.91","39.63"
"1993","66 und älter","","","","",""
"1994","16-34 Jahre alt","39.46","40","3017","39.09","39.83"
"1994","35-65 Jahre alt","39.23","40","4056","38.86","39.6"
"1994","66 und älter","","","","",""
"1995","16-34 Jahre alt","39.49","40","3155","39.11","39.87"
"1995","35-65 Jahre alt","38.93","40","4326","38.56","39.3"
"1995","66 und älter","","","","",""
"1996","16-34 Jahre alt","39.42","40","2981","39.05","39.79"
"1996","35-65 Jahre alt","38.97","40","4224","38.6","39.34"
"1996","66 und älter","","","","",""
"1997","16-34 Jahre alt","39.56","40","2921","39.16","39.96"
"1997","35-65 Jahre alt","39.63","40","4170","39.25","40.01"
"1997","66 und älter","","","","",""
"1998","16-34 Jahre alt","39.64","40","3030","39.25","40.03"
"1998","35-65 Jahre alt","39.38","40","4690","39.02","39.74"
"1998","66 und älter","18.72","12","35","11.7","25.74"
"1999","16-34 Jahre alt","38.79","40","3027","38.37","39.21"
"1999","35-65 Jahre alt","38.87","40","4786","38.5","39.24"
"1999","66 und älter","20.36","15","40","14.7","26.02"
"2000","16-34 Jahre alt","38.94","40","4562","38.59","39.29"
"2000","35-65 Jahre alt","38.9","40","8667","38.62","39.18"
"2000","66 und älter","26.5","20","77","22.04","30.96"
"2001","16-34 Jahre alt","38.54","40","4041","38.16","38.92"
"2001","35-65 Jahre alt","38.94","40","8158","38.65","39.23"
"2001","66 und älter","21.54","12.03","81","17.53","25.55"
"2002","16-34 Jahre alt","38.8","40","3838","38.41","39.19"
"2002","35-65 Jahre alt","38.18","40","9035","37.9","38.46"
"2002","66 und älter","21.43","15","107","17.86","25"
"2003","16-34 Jahre alt","37.91","40","3592","37.49","38.33"
"2003","35-65 Jahre alt","38.1","40","8650","37.82","38.38"
"2003","66 und älter","24.42","15","120","21.06","27.78"
"2004","16-34 Jahre alt","38","40","3355","37.58","38.42"
"2004","35-65 Jahre alt","38.04","40","8370","37.75","38.33"
"2004","66 und älter","20.02","12","130","16.96","23.08"
"2005","16-34 Jahre alt","38.27","40","3097","37.82","38.72"
"2005","35-65 Jahre alt","38.28","40","7979","37.98","38.58"
"2005","66 und älter","21.61","20","129","18.47","24.75"
"2006","16-34 Jahre alt","38.67","40","3089","38.22","39.12"
"2006","35-65 Jahre alt","38.47","40","8584","38.18","38.76"
"2006","66 und älter","24.79","19.84","167","21.78","27.8"
"2007","16-34 Jahre alt","38.44","40","2955","37.97","38.91"
"2007","35-65 Jahre alt","38.62","40","8180","38.33","38.91"
"2007","66 und älter","22.1","15","155","19.23","24.97"
"2008","16-34 Jahre alt","38.01","40","2782","37.54","38.48"
"2008","35-65 Jahre alt","38.39","40","7761","38.09","38.69"
"2008","66 und älter","23.58","16","167","20.83","26.33"
"2009","16-34 Jahre alt","37.95","40","2556","37.44","38.46"
"2009","35-65 Jahre alt","38.39","40","7269","38.08","38.7"
"2009","66 und älter","21.75","15","194","19.13","24.37"
"2010","16-34 Jahre alt","37.16","40","3679","36.71","37.61"
"2010","35-65 Jahre alt","37.82","40","9748","37.54","38.1"
"2010","66 und älter","23.77","18","194","21.1","26.44"
"2011","16-34 Jahre alt","38.25","40","4125","37.84","38.66"
"2011","35-65 Jahre alt","38.63","40","12301","38.38","38.88"
"2011","66 und älter","21.15","15","209","18.84","23.46"
"2012","16-34 Jahre alt","37.38","40","3923","36.96","37.8"
"2012","35-65 Jahre alt","38.21","40","12149","37.97","38.45"
"2012","66 und älter","21.96","17.59","264","19.87","24.05"
"2013","16-34 Jahre alt","37.08","40","4922","36.7","37.46"
"2013","35-65 Jahre alt","38.03","40","13417","37.8","38.26"
"2013","66 und älter","18.43","12","277","16.57","20.29"
"2014","16-34 Jahre alt","36.52","40","4161","36.11","36.93"
"2014","35-65 Jahre alt","37.56","40","11977","37.32","37.8"
"2014","66 und älter","19.18","15","314","17.4","20.96"
"2015","16-34 Jahre alt","36.99","40","4199","36.59","37.39"
"2015","35-65 Jahre alt","37.54","40","11615","37.3","37.78"
"2015","66 und älter","19.17","12","301","17.31","21.03"
