year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,male,4087,43.56071844117859,43.40469380773397,43.7167430746232,40.0,40.0,47.0,29.5,57.5,40.0,40.0,40.0
1984,female,2424,33.92726557130199,33.66801485371986,34.186516288884114,24.0,40.0,40.0,1.0,64.0,40.0,40.0,40.0
1985,male,3699,43.38035788594232,43.20738685824937,43.55332891363526,40.0,42.0,48.0,28.0,60.0,42.0,42.0,44.0
1985,female,2267,33.780322643603235,33.513953674264286,34.04669161294218,22.0,40.0,40.0,1.0,67.0,40.0,40.0,40.0
1986,male,3568,43.6153670827805,43.44667753776233,43.78405662779867,40.0,41.0,48.0,28.0,60.0,41.0,40.0,42.0
1986,female,2214,34.56312639895564,34.300475707340716,34.82577709057056,25.0,40.0,40.0,2.5,62.5,40.0,40.0,40.0
1987,male,3603,43.24109118517215,43.07672620457354,43.405456165770765,40.0,40.0,46.0,31.0,55.0,40.0,40.0,40.0
1987,female,2272,33.84934525426049,33.59925189974469,34.099438608776296,25.0,40.0,40.0,2.5,62.5,40.0,40.0,41.0
1988,male,3407,42.83880882466982,42.66641253281808,43.01120511652156,40.0,40.0,46.0,31.0,55.0,40.0,40.0,40.0
1988,female,2183,33.24964539607641,32.976570453434924,33.522720338717896,23.0,39.0,40.0,1.0,65.5,39.0,38.0,40.0
1989,male,3349,43.528753383874495,43.37344464404278,43.68406212370621,40.0,40.0,47.0,29.5,57.5,40.0,39.0,40.0
1989,female,2148,34.23255331263532,33.975457486505405,34.48964913876523,25.0,39.0,40.0,2.5,62.5,39.0,39.0,39.0
1990,male,4921,43.9332118127374,43.801950178919604,44.06447344655519,39.0,42.0,50.0,22.5,66.5,42.0,41.0,42.0
1990,female,3655,35.83959582276558,35.64369129909145,36.03550034643971,28.0,39.0,43.0,5.5,65.5,39.0,39.0,39.0
1991,male,4620,43.001695957677356,42.86361106936806,43.13978084598665,38.5,40.0,46.0,27.25,57.25,40.0,40.0,40.0
1991,female,3389,34.293818714715734,34.09455907464418,34.493078354787286,25.0,38.5,40.0,2.5,62.5,38.5,38.5,38.5
1992,male,4405,43.290844417270726,43.153546096874926,43.428142737666526,38.5,40.0,47.0,25.75,59.75,40.0,39.0,40.0
1992,female,3217,34.486902835612135,34.28686689563061,34.68693877559366,25.09087265292342,38.5,40.0,2.7271816323085467,62.36369102061487,38.5,38.5,38.5
1993,male,4231,43.242986227643335,43.1028069927007,43.38316546258597,38.5,40.0,46.0,27.25,57.25,40.0,40.0,40.0
1993,female,3146,34.093145054134716,33.88512231964586,34.30116778862357,25.0,38.5,40.0,2.5,62.5,38.5,38.5,39.0
1994,male,4062,43.063176462023996,42.91828885911513,43.20806406493286,38.5,40.0,46.0,27.25,57.25,40.0,39.0,40.0
1994,female,3007,33.98806927253797,33.77485972312362,34.20127882195232,25.0,38.5,40.0,2.5,62.5,38.5,38.5,39.0
