"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","16-34 J.","Laendlicher Raum","40.53","39.5","526","39.57","41.49"
"1985","16-34 J.","Staedtischer Raum","39.58","39.5","1958","39.05","40.11"
"1985","35-65 J.","Laendlicher Raum","39.79","39.5","712","38.73","40.85"
"1985","35-65 J.","Staedtischer Raum","39.59","39.5","2732","39.12","40.06"
"1985","66 und älter","Laendlicher Raum","","","","",""
"1985","66 und älter","Staedtischer Raum","26.01","22.5","33","19.7","32.32"
"1986","16-34 J.","Laendlicher Raum","40.15","39.5","550","39.18","41.12"
"1986","16-34 J.","Staedtischer Raum","40.19","39.5","1957","39.71","40.67"
"1986","35-65 J.","Laendlicher Raum","41.68","39.5","650","40.62","42.74"
"1986","35-65 J.","Staedtischer Raum","39.72","39.5","2601","39.25","40.19"
"1986","66 und älter","Laendlicher Raum","","","","",""
"1986","66 und älter","Staedtischer Raum","","","","",""
"1987","16-34 J.","Laendlicher Raum","39.77","39.5","561","38.84","40.7"
"1987","16-34 J.","Staedtischer Raum","39.57","39.5","1986","39.12","40.02"
"1987","35-65 J.","Laendlicher Raum","39.25","39.5","666","38.2","40.3"
"1987","35-65 J.","Staedtischer Raum","39.76","39.5","2631","39.32","40.2"
"1987","66 und älter","Laendlicher Raum","","","","",""
"1987","66 und älter","Staedtischer Raum","","","","",""
"1988","16-34 J.","Laendlicher Raum","39.93","39.5","515","38.87","40.99"
"1988","16-34 J.","Staedtischer Raum","39.04","39.5","1915","38.55","39.53"
"1988","35-65 J.","Laendlicher Raum","38.58","39.5","611","37.41","39.75"
"1988","35-65 J.","Staedtischer Raum","39.15","39.5","2520","38.67","39.63"
"1988","66 und älter","Laendlicher Raum","","","","",""
"1988","66 und älter","Staedtischer Raum","","","","",""
"1989","16-34 J.","Laendlicher Raum","40.79","39.5","485","39.87","41.71"
"1989","16-34 J.","Staedtischer Raum","39.44","39.5","1958","38.99","39.89"
"1989","35-65 J.","Laendlicher Raum","40.71","39.5","596","39.66","41.76"
"1989","35-65 J.","Staedtischer Raum","39.79","39.5","2434","39.33","40.25"
"1989","66 und älter","Laendlicher Raum","","","","",""
"1989","66 und älter","Staedtischer Raum","","","","",""
"1990","16-34 J.","Laendlicher Raum","41.96","40.9","1338","41.41","42.51"
"1990","16-34 J.","Staedtischer Raum","39.77","39.75","2299","39.34","40.2"
"1990","35-65 J.","Laendlicher Raum","41.86","41.5","1811","41.33","42.39"
"1990","35-65 J.","Staedtischer Raum","40.1","39.75","3028","39.7","40.5"
"1990","66 und älter","Laendlicher Raum","","","","",""
"1990","66 und älter","Staedtischer Raum","","","","",""
"1991","16-34 J.","Laendlicher Raum","40.07","39.9","1183","39.49","40.65"
"1991","16-34 J.","Staedtischer Raum","39.48","39.75","2203","39.05","39.91"
"1991","35-65 J.","Laendlicher Raum","39.52","39.75","1572","38.93","40.11"
"1991","35-65 J.","Staedtischer Raum","39.07","39.75","2967","38.65","39.49"
"1991","66 und älter","Laendlicher Raum","","","","",""
"1991","66 und älter","Staedtischer Raum","","","","",""
"1992","16-34 J.","Laendlicher Raum","40.51","39.75","1100","39.98","41.04"
"1992","16-34 J.","Staedtischer Raum","39.21","39.75","2080","38.78","39.64"
"1992","35-65 J.","Laendlicher Raum","40.65","39.75","1472","40.06","41.24"
"1992","35-65 J.","Staedtischer Raum","39.25","39.75","2875","38.83","39.67"
"1992","66 und älter","Laendlicher Raum","","","","",""
"1992","66 und älter","Staedtischer Raum","","","","",""
"1993","16-34 J.","Laendlicher Raum","40.67","39.75","1083","40.04","41.3"
"1993","16-34 J.","Staedtischer Raum","39.23","39.75","2058","38.81","39.65"
"1993","35-65 J.","Laendlicher Raum","40.11","39.75","1390","39.49","40.73"
"1993","35-65 J.","Staedtischer Raum","39.03","39.75","2828","38.59","39.47"
"1993","66 und älter","Laendlicher Raum","","","","",""
"1993","66 und älter","Staedtischer Raum","","","","",""
"1994","16-34 J.","Laendlicher Raum","39.89","39.75","1005","39.26","40.52"
"1994","16-34 J.","Staedtischer Raum","39.38","39.9","1999","38.93","39.83"
"1994","35-65 J.","Laendlicher Raum","40.69","39.5","1372","40.07","41.31"
"1994","35-65 J.","Staedtischer Raum","38.67","39.75","2674","38.22","39.12"
"1994","66 und älter","Laendlicher Raum","","","","",""
"1994","66 und älter","Staedtischer Raum","","","","",""
"1995","16-34 J.","Laendlicher Raum","39.48","39.75","1088","38.84","40.12"
"1995","16-34 J.","Staedtischer Raum","39.49","39.75","2045","39.02","39.96"
"1995","35-65 J.","Laendlicher Raum","40.52","39.75","1510","39.89","41.15"
"1995","35-65 J.","Staedtischer Raum","38.33","39.75","2808","37.86","38.8"
"1995","66 und älter","Laendlicher Raum","","","","",""
"1995","66 und älter","Staedtischer Raum","","","","",""
"1996","16-34 J.","Laendlicher Raum","39.59","39.75","1002","38.95","40.23"
"1996","16-34 J.","Staedtischer Raum","39.34","39.75","1964","38.88","39.8"
"1996","35-65 J.","Laendlicher Raum","40.1","39.75","1487","39.49","40.71"
"1996","35-65 J.","Staedtischer Raum","38.49","39.75","2726","38.02","38.96"
"1996","66 und älter","Laendlicher Raum","","","","",""
"1996","66 und älter","Staedtischer Raum","","","","",""
"1997","16-34 J.","Laendlicher Raum","40.61","39.75","969","39.95","41.27"
"1997","16-34 J.","Staedtischer Raum","39.3","39.8","1933","38.8","39.8"
"1997","35-65 J.","Laendlicher Raum","40.43","39.75","1479","39.8","41.06"
"1997","35-65 J.","Staedtischer Raum","39.16","39.75","2681","38.69","39.63"
"1997","66 und älter","Laendlicher Raum","","","","",""
"1997","66 und älter","Staedtischer Raum","","","","",""
"1998","16-34 J.","Laendlicher Raum","40.44","39.75","1018","39.77","41.11"
"1998","16-34 J.","Staedtischer Raum","39.42","39.95","2000","38.94","39.9"
"1998","35-65 J.","Laendlicher Raum","40.38","39.75","1659","39.78","40.98"
"1998","35-65 J.","Staedtischer Raum","38.81","39.75","3019","38.36","39.26"
"1998","66 und älter","Laendlicher Raum","","","","",""
"1998","66 und älter","Staedtischer Raum","","","","",""
"1999","16-34 J.","Laendlicher Raum","39.92","39.75","1043","39.2","40.64"
"1999","16-34 J.","Staedtischer Raum","38.35","39.75","1971","37.84","38.86"
"1999","35-65 J.","Laendlicher Raum","39.19","39.75","1690","38.58","39.8"
"1999","35-65 J.","Staedtischer Raum","38.64","39.75","3080","38.18","39.1"
"1999","66 und älter","Laendlicher Raum","","","","",""
"1999","66 und älter","Staedtischer Raum","19.16","14","30","12.81","25.51"
"2000","16-34 J.","Laendlicher Raum","40.46","39.75","1591","39.89","41.03"
"2000","16-34 J.","Staedtischer Raum","38.4","39.75","2938","37.95","38.85"
"2000","35-65 J.","Laendlicher Raum","39.6","39.75","2988","39.13","40.07"
"2000","35-65 J.","Staedtischer Raum","38.59","39.75","5652","38.25","38.93"
"2000","66 und älter","Laendlicher Raum","","","","",""
"2000","66 und älter","Staedtischer Raum","24","15.5","53","18.63","29.37"
"2001","16-34 J.","Laendlicher Raum","40.17","39.9","1389","39.55","40.79"
"2001","16-34 J.","Staedtischer Raum","38.02","39.85","2618","37.54","38.5"
"2001","35-65 J.","Laendlicher Raum","39.63","39.75","2767","39.14","40.12"
"2001","35-65 J.","Staedtischer Raum","38.66","39.75","5368","38.31","39.01"
"2001","66 und älter","Laendlicher Raum","25.12","18","30","18.04","32.2"
"2001","66 und älter","Staedtischer Raum","20.97","13","51","15.96","25.98"
"2002","16-34 J.","Laendlicher Raum","40.24","39.75","1304","39.61","40.87"
"2002","16-34 J.","Staedtischer Raum","38.16","39.75","2502","37.66","38.66"
"2002","35-65 J.","Laendlicher Raum","38.64","39.75","2916","38.15","39.13"
"2002","35-65 J.","Staedtischer Raum","38.02","39.9","6105","37.68","38.36"
"2002","66 und älter","Laendlicher Raum","23.84","13.5","33","16.53","31.15"
"2002","66 und älter","Staedtischer Raum","21.09","14","74","16.96","25.22"
"2003","16-34 J.","Laendlicher Raum","39.29","39.9","1226","38.63","39.95"
"2003","16-34 J.","Staedtischer Raum","37.27","39.75","2345","36.74","37.8"
"2003","35-65 J.","Laendlicher Raum","38.28","39.75","2824","37.79","38.77"
"2003","35-65 J.","Staedtischer Raum","38","39.75","5809","37.65","38.35"
"2003","66 und älter","Laendlicher Raum","27.56","19.5","41","21.19","33.93"
"2003","66 und älter","Staedtischer Raum","21.59","14.5","78","17.68","25.5"
