year,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.06864,815,10866,0.06389,0.07340
1985,At least once per month,0.05132,620,10866,0.04717,0.05547
1985,Seldom,0.06844,847,10866,0.06369,0.07319
1985,Never,0.63757,8584,10866,0.62853,0.64661
1986,At least once per week,0.06676,771,10448,0.06197,0.07155
1986,At least once per month,0.05366,615,10448,0.04934,0.05798
1986,Seldom,0.06344,767,10448,0.05876,0.06811
1986,Never,0.64124,8295,10448,0.63204,0.65044
1988,At least once per week,0.07455,808,9850,0.06936,0.07974
1988,At least once per month,0.05427,599,9850,0.04980,0.05874
1988,Seldom,0.07613,840,9850,0.07090,0.08137
1988,Never,0.61801,7603,9850,0.60841,0.62760
1990,At least once per week,0.06584,993,13724,0.06169,0.06999
1990,At least once per month,0.06352,1087,13724,0.05944,0.06760
1990,Seldom,0.09404,1516,13724,0.08916,0.09892
1990,Never,0.59221,10128,13724,0.58399,0.60043
1992,At least once per week,0.05310,776,13140,0.04926,0.05693
1992,At least once per month,0.05208,785,13140,0.04828,0.05588
1992,Seldom,0.08730,1363,13140,0.08248,0.09213
1992,Never,0.61674,10216,13140,0.60843,0.62505
1994,At least once per week,0.05503,770,12756,0.05107,0.05899
1994,At least once per month,0.05369,795,12756,0.04978,0.05761
1994,Seldom,0.09225,1420,12756,0.08723,0.09727
1994,Never,0.61101,9771,12756,0.60255,0.61947
1995,At least once per week,0.06182,908,13179,0.05771,0.06593
1995,At least once per month,0.04690,718,13179,0.04329,0.05051
1995,Seldom,0.07151,1079,13179,0.06711,0.07591
1995,Never,0.63329,10474,13179,0.62506,0.64151
1996,At least once per week,0.06083,869,12985,0.05672,0.06494
1996,At least once per month,0.05914,863,12985,0.05509,0.06320
1996,Seldom,0.11642,1789,12985,0.11090,0.12193
1996,Never,0.57962,9464,12985,0.57113,0.58811
1997,At least once per week,0.06198,894,12727,0.05779,0.06617
1997,At least once per month,0.06013,842,12727,0.05600,0.06426
1997,Seldom,0.10230,1578,12727,0.09703,0.10756
1997,Never,0.58896,9413,12727,0.58041,0.59751
1998,At least once per week,0.06139,1018,14127,0.05743,0.06535
1998,At least once per month,0.05718,941,14127,0.05335,0.06101
1998,Seldom,0.08610,1391,14127,0.08147,0.09072
1998,Never,0.61306,10777,14127,0.60503,0.62109
1999,At least once per week,0.06500,1017,13576,0.06085,0.06915
1999,At least once per month,0.05838,944,13576,0.05443,0.06232
1999,Seldom,0.11362,1844,13576,0.10828,0.11896
1999,Never,0.58269,9771,13576,0.57439,0.59098
2001,At least once per week,0.06580,1741,21682,0.06250,0.06910
2001,At least once per month,0.06114,1639,21682,0.05795,0.06433
2001,Seldom,0.09818,2641,21682,0.09422,0.10214
2001,Never,0.59234,15661,21682,0.58580,0.59888
2003,At least once per week,0.07045,2013,22041,0.06708,0.07383
2003,At least once per month,0.05700,1621,22041,0.05394,0.06007
2003,Seldom,0.08467,2358,22041,0.08100,0.08835
2003,Never,0.61488,16049,22041,0.60846,0.62131
2005,At least once per week,0.07335,1900,20562,0.06979,0.07692
2005,At least once per month,0.06975,1851,20562,0.06627,0.07323
2005,Seldom,0.11462,2939,20562,0.11026,0.11897
2005,Never,0.57628,13872,20562,0.56953,0.58303
2007,At least once per week,0.07516,2009,20340,0.07154,0.07879
2007,At least once per month,0.06375,1759,20340,0.06039,0.06711
2007,Seldom,0.10285,2573,20340,0.09867,0.10702
2007,Never,0.58312,13999,20340,0.57634,0.58989
2008,At least once per week,0.07885,1957,19243,0.07504,0.08266
2008,At least once per month,0.06045,1527,19243,0.05709,0.06382
2008,Seldom,0.08566,2087,19243,0.08170,0.08961
2008,Never,0.61128,13672,19243,0.60439,0.61816
2009,At least once per week,0.07708,1795,17881,0.07317,0.08099
2009,At least once per month,0.06496,1549,17881,0.06135,0.06858
2009,Seldom,0.10489,2226,17881,0.10039,0.10938
2009,Never,0.58685,12311,17881,0.57963,0.59407
2011,At least once per week,0.08553,3133,28272,0.08227,0.08879
2011,At least once per month,0.06976,2635,28272,0.06680,0.07273
2011,Seldom,0.11151,3628,28272,0.10784,0.11518
2011,Never,0.56609,18876,28272,0.56031,0.57187
2013,At least once per week,0.08748,2974,25376,0.08400,0.09095
2013,At least once per month,0.06227,2320,25376,0.05930,0.06525
2013,Seldom,0.08017,2686,25376,0.07683,0.08351
2013,Never,0.52897,17396,25376,0.52283,0.53511
2015,At least once per week,0.08830,2825,26688,0.08490,0.09171
2015,At least once per month,0.07244,2417,26688,0.06933,0.07555
2015,Seldom,0.10842,3356,26688,0.10469,0.11215
2015,Never,0.57101,18090,26688,0.56508,0.57695
2017,At least once per week,0.09403,3039,26457,0.09051,0.09755
2017,At least once per month,0.07470,2617,26457,0.07153,0.07787
2017,Seldom,0.09771,3217,26457,0.09413,0.10128
2017,Never,0.56295,17584,26457,0.55697,0.56892
2019,At least once per week,0.09710,3288,25597,0.09348,0.10073
2019,At least once per month,0.06614,2378,25597,0.06309,0.06918
2019,Seldom,0.08633,2717,25597,0.08289,0.08977
2019,Never,0.57794,17214,25597,0.57189,0.58399
2021,At least once per week,0.10510,2369,17182,0.10051,0.10968
2021,At least once per month,0.07884,1817,17182,0.07481,0.08287
2021,Seldom,0.10457,2281,17182,0.10000,0.10915
2021,Never,0.53286,10715,17182,0.52540,0.54032
