year,pgisced97,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Never,0.69587,131,131,0.61679,0.77495
1985,Primary Level,Never,0.91744,788,788,0.89821,0.93667
1985,Lower Secondary Level,At least once per week,0.05286,146,3008,0.04486,0.06086
1985,Lower Secondary Level,At least once per month,0.03957,114,3008,0.03260,0.04654
1985,Lower Secondary Level,Seldom,0.06254,188,3008,0.05388,0.07119
1985,Lower Secondary Level,Never,0.82642,2560,3008,0.81288,0.83995
1985,Upper Secondary Level,At least once per week,0.08720,439,5116,0.07946,0.09493
1985,Upper Secondary Level,At least once per month,0.06592,324,5116,0.05912,0.07272
1985,Upper Secondary Level,Seldom,0.08506,436,5116,0.07741,0.09270
1985,Upper Secondary Level,Never,0.74930,3917,5116,0.73742,0.76118
1985,Post-secondary Non-tertiary Level,Never,0.72493,201,201,0.66304,0.78682
1985,First Stage of Tertiary Education,At least once per week,0.12221,75,609,0.09618,0.14825
1985,First Stage of Tertiary Education,At least once per month,0.08437,57,609,0.06228,0.10646
1985,First Stage of Tertiary Education,Seldom,0.10664,65,609,0.08211,0.13118
1985,First Stage of Tertiary Education,Never,0.67208,412,609,0.63477,0.70940
1985,Second Stage of Tertiary Education,At least once per week,0.12001,89,743,0.09662,0.14339
1985,Second Stage of Tertiary Education,At least once per month,0.10873,84,743,0.08633,0.13113
1985,Second Stage of Tertiary Education,Seldom,0.12036,93,743,0.09695,0.14377
1985,Second Stage of Tertiary Education,Never,0.63501,477,743,0.60037,0.66965
1986,Pre-primary Level,Never,0.81739,149,149,0.75515,0.87964
1986,Primary Level,Never,0.93232,723,723,0.91400,0.95064
1986,Lower Secondary Level,At least once per week,0.05242,128,2861,0.04425,0.06059
1986,Lower Secondary Level,At least once per month,0.04457,110,2861,0.03701,0.05214
1986,Lower Secondary Level,Seldom,0.06238,182,2861,0.05352,0.07125
1986,Lower Secondary Level,Never,0.82268,2441,2861,0.80868,0.83668
1986,Upper Secondary Level,At least once per week,0.08771,422,4935,0.07981,0.09560
1986,Upper Secondary Level,At least once per month,0.07143,349,4935,0.06424,0.07861
1986,Upper Secondary Level,Seldom,0.07681,379,4935,0.06938,0.08424
1986,Upper Secondary Level,Never,0.75054,3785,4935,0.73846,0.76261
1986,Post-secondary Non-tertiary Level,Never,0.73526,205,205,0.67471,0.79580
1986,First Stage of Tertiary Education,At least once per week,0.09625,59,573,0.07208,0.12042
1986,First Stage of Tertiary Education,At least once per month,0.09066,57,573,0.06713,0.11419
1986,First Stage of Tertiary Education,Seldom,0.09147,57,573,0.06784,0.11509
1986,First Stage of Tertiary Education,Never,0.70217,400,573,0.66469,0.73964
1986,Second Stage of Tertiary Education,At least once per week,0.12251,94,740,0.09887,0.14615
1986,Second Stage of Tertiary Education,At least once per month,0.09419,74,740,0.07313,0.11525
1986,Second Stage of Tertiary Education,Seldom,0.10848,77,740,0.08605,0.13090
1986,Second Stage of Tertiary Education,Never,0.66303,495,740,0.62895,0.69711
1988,Pre-primary Level,Never,0.73763,119,119,0.65826,0.81701
1988,Primary Level,Never,0.91918,647,647,0.89816,0.94020
1988,Lower Secondary Level,At least once per week,0.06128,158,2686,0.05221,0.07035
1988,Lower Secondary Level,At least once per month,0.04597,111,2686,0.03804,0.05389
1988,Lower Secondary Level,Seldom,0.06802,170,2686,0.05850,0.07754
1988,Lower Secondary Level,Never,0.81074,2247,2686,0.79592,0.82556
1988,Upper Secondary Level,At least once per week,0.09011,414,4677,0.08191,0.09832
1988,Upper Secondary Level,At least once per month,0.07106,333,4677,0.06369,0.07842
1988,Upper Secondary Level,Seldom,0.09470,444,4677,0.08631,0.10309
1988,Upper Secondary Level,Never,0.72849,3486,4677,0.71574,0.74124
1988,Post-secondary Non-tertiary Level,Never,0.73054,199,199,0.66874,0.79234
1988,First Stage of Tertiary Education,At least once per week,0.12050,63,534,0.09287,0.14814
1988,First Stage of Tertiary Education,At least once per month,0.08801,52,534,0.06396,0.11206
1988,First Stage of Tertiary Education,Seldom,0.13302,72,534,0.10419,0.16185
1988,First Stage of Tertiary Education,Never,0.64390,347,534,0.60325,0.68455
1988,Second Stage of Tertiary Education,At least once per week,0.14343,99,696,0.11737,0.16949
1988,Second Stage of Tertiary Education,At least once per month,0.10623,77,696,0.08332,0.12913
1988,Second Stage of Tertiary Education,Seldom,0.12205,84,696,0.09771,0.14638
1988,Second Stage of Tertiary Education,Never,0.61882,436,696,0.58271,0.65493
1990,Pre-primary Level,Never,0.72770,152,152,0.65670,0.79871
1990,Primary Level,Seldom,0.07176,33,624,0.05149,0.09202
1990,Primary Level,Never,0.88681,591,624,0.86193,0.91169
1990,Lower Secondary Level,At least once per week,0.05694,148,2950,0.04858,0.06531
1990,Lower Secondary Level,At least once per month,0.04560,118,2950,0.03807,0.05313
1990,Lower Secondary Level,Seldom,0.07995,231,2950,0.07016,0.08974
1990,Lower Secondary Level,Never,0.80839,2453,2950,0.79419,0.82260
1990,Upper Secondary Level,At least once per week,0.08210,513,6981,0.07566,0.08854
1990,Upper Secondary Level,At least once per month,0.07676,550,6981,0.07052,0.08301
1990,Upper Secondary Level,Seldom,0.11478,789,6981,0.10730,0.12226
1990,Upper Secondary Level,Never,0.71803,5129,6981,0.70747,0.72858
1990,Post-secondary Non-tertiary Level,Seldom,0.13196,49,318,0.09470,0.16922
1990,Post-secondary Non-tertiary Level,Never,0.72463,269,318,0.67545,0.77380
1990,First Stage of Tertiary Education,At least once per week,0.10532,83,766,0.08356,0.12707
1990,First Stage of Tertiary Education,At least once per month,0.11858,107,766,0.09567,0.14149
1990,First Stage of Tertiary Education,Seldom,0.13895,102,766,0.11444,0.16346
1990,First Stage of Tertiary Education,Never,0.63321,474,766,0.59906,0.66736
1990,Second Stage of Tertiary Education,At least once per week,0.11400,189,1666,0.09873,0.12927
1990,Second Stage of Tertiary Education,At least once per month,0.13969,268,1666,0.12303,0.15634
1990,Second Stage of Tertiary Education,Seldom,0.16907,282,1666,0.15106,0.18707
1990,Second Stage of Tertiary Education,Never,0.56421,927,1666,0.54039,0.58803
1992,Pre-primary Level,Never,0.75979,145,145,0.69001,0.82957
1992,Primary Level,Never,0.91773,579,579,0.89533,0.94013
1992,Lower Secondary Level,At least once per week,0.04400,108,2740,0.03632,0.05168
1992,Lower Secondary Level,At least once per month,0.04312,104,2740,0.03551,0.05072
1992,Lower Secondary Level,Seldom,0.07369,201,2740,0.06390,0.08347
1992,Lower Secondary Level,Never,0.82020,2327,2740,0.80582,0.83458
1992,Upper Secondary Level,At least once per week,0.06661,412,6626,0.06061,0.07262
1992,Upper Secondary Level,At least once per month,0.06291,389,6626,0.05706,0.06875
1992,Upper Secondary Level,Seldom,0.10842,722,6626,0.10093,0.11590
1992,Upper Secondary Level,Never,0.74158,5103,6626,0.73103,0.75212
1992,Post-secondary Non-tertiary Level,Seldom,0.10604,44,335,0.07302,0.13905
1992,Post-secondary Non-tertiary Level,Never,0.75917,291,335,0.71331,0.80503
1992,First Stage of Tertiary Education,At least once per week,0.09332,68,755,0.07255,0.11408
1992,First Stage of Tertiary Education,At least once per month,0.08490,75,755,0.06500,0.10479
1992,First Stage of Tertiary Education,Seldom,0.13055,107,755,0.10650,0.15459
1992,First Stage of Tertiary Education,Never,0.67273,505,755,0.63924,0.70622
1992,Second Stage of Tertiary Education,At least once per week,0.07973,124,1642,0.06662,0.09283
1992,Second Stage of Tertiary Education,At least once per month,0.10204,173,1642,0.08740,0.11669
1992,Second Stage of Tertiary Education,Seldom,0.15342,245,1642,0.13598,0.17085
1992,Second Stage of Tertiary Education,Never,0.65599,1100,1642,0.63301,0.67898
