year,regtyp,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,At least once per week,0.06785,614,8531,0.06251,0.07319
1985,Urban regions,At least once per month,0.04876,453,8531,0.04419,0.05333
1985,Urban regions,Seldom,0.06579,632,8531,0.06053,0.07105
1985,Urban regions,Never,0.64692,6832,8531,0.63678,0.65706
1985,Rural regions,At least once per week,0.07102,201,2335,0.06060,0.08144
1985,Rural regions,At least once per month,0.05901,167,2335,0.04945,0.06857
1985,Rural regions,Seldom,0.07639,215,2335,0.06562,0.08717
1985,Rural regions,Never,0.60950,1752,2335,0.58971,0.62929
1986,Urban regions,At least once per week,0.06597,585,8221,0.06060,0.07134
1986,Urban regions,At least once per month,0.05170,456,8221,0.04691,0.05649
1986,Urban regions,Seldom,0.06091,566,8221,0.05574,0.06608
1986,Urban regions,Never,0.65082,6614,8221,0.64051,0.66112
1986,Rural regions,At least once per week,0.06916,186,2227,0.05862,0.07970
1986,Rural regions,At least once per month,0.05963,159,2227,0.04979,0.06946
1986,Rural regions,Seldom,0.07112,201,2227,0.06044,0.08180
1986,Rural regions,Never,0.61213,1681,2227,0.59189,0.63237
1988,Urban regions,At least once per week,0.07534,624,7797,0.06948,0.08120
1988,Urban regions,At least once per month,0.05068,440,7797,0.04581,0.05555
1988,Urban regions,Seldom,0.07212,622,7797,0.06638,0.07786
1988,Urban regions,Never,0.63068,6111,7797,0.61997,0.64140
1988,Rural regions,At least once per week,0.07206,184,2053,0.06087,0.08325
1988,Rural regions,At least once per month,0.06549,159,2053,0.05479,0.07620
1988,Rural regions,Seldom,0.08869,218,2053,0.07639,0.10100
1988,Rural regions,Never,0.57836,1492,2053,0.55700,0.59973
1990,Urban regions,At least once per week,0.06772,635,8867,0.06249,0.07295
1990,Urban regions,At least once per month,0.05935,586,8867,0.05444,0.06427
1990,Urban regions,Seldom,0.09348,946,8867,0.08742,0.09953
1990,Urban regions,Never,0.60307,6700,8867,0.59289,0.61326
1990,Rural regions,At least once per week,0.06225,354,4770,0.05539,0.06910
1990,Rural regions,At least once per month,0.07237,490,4770,0.06501,0.07972
1990,Rural regions,Seldom,0.09526,559,4770,0.08693,0.10359
1990,Rural regions,Never,0.56987,3367,4770,0.55582,0.58392
1992,Urban regions,At least once per week,0.05480,515,8536,0.04997,0.05963
1992,Urban regions,At least once per month,0.04989,459,8536,0.04527,0.05451
1992,Urban regions,Seldom,0.08615,843,8536,0.08020,0.09211
1992,Urban regions,Never,0.62109,6719,8536,0.61080,0.63138
1992,Rural regions,At least once per week,0.04983,256,4488,0.04346,0.05620
1992,Rural regions,At least once per month,0.05722,319,4488,0.05042,0.06401
