year,age_gr,pgisced97,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Pre-primary Level,Never,0.69728,131,131,0.61830,0.77626
1985,17-29 y.,Primary Level,Never,0.87035,147,147,0.81586,0.92484
1985,17-29 y.,Lower Secondary Level,At least once per week,0.08698,66,949,0.06904,0.10492
1985,17-29 y.,Lower Secondary Level,At least once per month,0.04582,34,949,0.03251,0.05913
1985,17-29 y.,Lower Secondary Level,Seldom,0.09164,77,949,0.07327,0.11000
1985,17-29 y.,Lower Secondary Level,Never,0.77011,772,949,0.74333,0.79690
1985,17-29 y.,Upper Secondary Level,At least once per week,0.09102,119,1418,0.07604,0.10600
1985,17-29 y.,Upper Secondary Level,At least once per month,0.05466,72,1418,0.04283,0.06650
1985,17-29 y.,Upper Secondary Level,Seldom,0.09874,134,1418,0.08321,0.11427
1985,17-29 y.,Upper Secondary Level,Never,0.74984,1093,1418,0.72729,0.77239
1985,17-29 y.,Post-secondary Non-tertiary Level,Never,0.73429,80,80,0.63688,0.83169
1985,17-29 y.,First Stage of Tertiary Education,Never,0.71689,82,82,0.61877,0.81500
1985,17-29 y.,Second Stage of Tertiary Education,Never,0.72039,89,89,0.62662,0.81416
1985,30-45 y.,Primary Level,Never,0.95625,303,303,0.93318,0.97932
1985,30-45 y.,Lower Secondary Level,At least once per month,0.05968,33,640,0.04131,0.07805
1985,30-45 y.,Lower Secondary Level,Seldom,0.07578,40,640,0.05526,0.09630
1985,30-45 y.,Lower Secondary Level,Never,0.79697,567,640,0.76578,0.82816
1985,30-45 y.,Upper Secondary Level,At least once per week,0.09798,162,1744,0.08402,0.11194
1985,30-45 y.,Upper Secondary Level,At least once per month,0.08140,128,1744,0.06856,0.09424
1985,30-45 y.,Upper Secondary Level,Seldom,0.09082,151,1744,0.07733,0.10431
1985,30-45 y.,Upper Secondary Level,Never,0.72014,1303,1744,0.69907,0.74122
1985,30-45 y.,Post-secondary Non-tertiary Level,Never,0.69494,64,64,0.58124,0.80864
1985,30-45 y.,First Stage of Tertiary Education,At least once per month,0.13920,34,177,0.08806,0.19034
1985,30-45 y.,First Stage of Tertiary Education,Never,0.61064,143,177,0.53860,0.68268
1985,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.12127,45,357,0.08736,0.15518
1985,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.11685,42,357,0.08348,0.15022
1985,30-45 y.,Second Stage of Tertiary Education,Seldom,0.13368,50,357,0.09833,0.16903
1985,30-45 y.,Second Stage of Tertiary Education,Never,0.61266,220,357,0.56205,0.66326
1985,46-65 y.,Primary Level,Never,0.94848,325,325,0.92441,0.97255
1985,46-65 y.,Lower Secondary Level,At least once per week,0.04569,39,977,0.03259,0.05879
