year,sex,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,male,At least once per week,0.09424,548,5343,0.08640,0.10207
1985,male,At least once per month,0.06989,408,5343,0.06306,0.07673
1985,male,Seldom,0.07862,469,5343,0.07140,0.08584
1985,male,Never,0.57289,3918,5343,0.55963,0.58616
1985,female,At least once per week,0.04530,267,5523,0.03982,0.05079
1985,female,At least once per month,0.03439,212,5523,0.02958,0.03919
1985,female,Seldom,0.05915,378,5523,0.05293,0.06537
1985,female,Never,0.69654,4666,5523,0.68441,0.70867
1986,male,At least once per week,0.09532,537,5171,0.08731,0.10332
1986,male,At least once per month,0.06937,387,5171,0.06244,0.07629
1986,male,Seldom,0.07250,420,5171,0.06543,0.07957
1986,male,Never,0.58101,3827,5171,0.56757,0.59446
1986,female,At least once per week,0.04062,234,5277,0.03530,0.04595
1986,female,At least once per month,0.03929,228,5277,0.03405,0.04453
1986,female,Seldom,0.05514,347,5277,0.04898,0.06130
1986,female,Never,0.69636,4468,5277,0.68395,0.70877
1988,male,At least once per week,0.09809,528,4874,0.08974,0.10645
1988,male,At least once per month,0.07017,375,4874,0.06300,0.07734
1988,male,Seldom,0.08328,449,4874,0.07552,0.09104
1988,male,Never,0.56231,3522,4874,0.54838,0.57624
1988,female,At least once per week,0.05266,280,4976,0.04645,0.05887
1988,female,At least once per month,0.03949,224,4976,0.03408,0.04490
1988,female,Seldom,0.06949,391,4976,0.06242,0.07656
1988,female,Never,0.66977,4081,4976,0.65671,0.68284
1990,male,At least once per week,0.08476,647,6700,0.07809,0.09143
1990,male,At least once per month,0.07943,649,6700,0.07296,0.08591
1990,male,Seldom,0.10820,837,6700,0.10076,0.11564
1990,male,Never,0.53391,4567,6700,0.52196,0.54585
1990,female,At least once per week,0.04812,346,7024,0.04311,0.05312
1990,female,At least once per month,0.04862,438,7024,0.04359,0.05365
1990,female,Seldom,0.08081,679,7024,0.07443,0.08718
1990,female,Never,0.64726,5561,7024,0.63608,0.65843
1992,male,At least once per week,0.06922,506,6389,0.06300,0.07545
1992,male,At least once per month,0.06442,484,6389,0.05840,0.07044
1992,male,Seldom,0.09581,729,6389,0.08860,0.10303
1992,male,Never,0.57282,4670,6389,0.56069,0.58495
1992,female,At least once per week,0.03788,270,6751,0.03332,0.04243
1992,female,At least once per month,0.04044,301,6751,0.03574,0.04514
1992,female,Seldom,0.07927,634,6751,0.07283,0.08572
1992,female,Never,0.65819,5546,6751,0.64688,0.66951
1994,male,At least once per week,0.07148,504,6162,0.06505,0.07791
1994,male,At least once per month,0.06945,493,6162,0.06310,0.07580
1994,male,Seldom,0.10457,765,6162,0.09693,0.11221
1994,male,Never,0.55708,4400,6162,0.54467,0.56948
1994,female,At least once per week,0.03941,266,6594,0.03471,0.04410
1994,female,At least once per month,0.03873,302,6594,0.03407,0.04339
1994,female,Seldom,0.08055,655,6594,0.07398,0.08712
1994,female,Never,0.66224,5371,6594,0.65083,0.67366
1995,male,At least once per week,0.07840,577,6365,0.07179,0.08500
1995,male,At least once per month,0.05605,431,6365,0.05040,0.06170
1995,male,Seldom,0.07996,589,6365,0.07329,0.08662
1995,male,Never,0.58790,4768,6365,0.57581,0.60000
1995,female,At least once per week,0.04604,331,6814,0.04107,0.05102
1995,female,At least once per month,0.03820,287,6814,0.03365,0.04276
1995,female,Seldom,0.06347,490,6814,0.05768,0.06926
1995,female,Never,0.67647,5706,6814,0.66536,0.68758
1996,male,At least once per week,0.07809,567,6268,0.07145,0.08473
1996,male,At least once per month,0.07127,521,6268,0.06490,0.07764
1996,male,Seldom,0.12908,929,6268,0.12078,0.13738
1996,male,Never,0.52777,4251,6268,0.51541,0.54013
1996,female,At least once per week,0.04437,302,6717,0.03944,0.04929
1996,female,At least once per month,0.04758,342,6717,0.04249,0.05267
1996,female,Seldom,0.10433,860,6717,0.09702,0.11165
1996,female,Never,0.62908,5213,6717,0.61752,0.64063
1997,male,At least once per week,0.07857,566,6171,0.07186,0.08529
1997,male,At least once per month,0.07021,496,6171,0.06383,0.07658
1997,male,Seldom,0.10699,811,6171,0.09928,0.11470
1997,male,Never,0.55041,4298,6171,0.53799,0.56282
1997,female,At least once per week,0.04613,328,6556,0.04105,0.05121
1997,female,At least once per month,0.05049,346,6556,0.04519,0.05579
