year,quintil_oecd,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,At least once per week,0.04536,112,2207,0.03668,0.05405
1985,1st Quintile,At least once per month,0.03421,97,2207,0.02662,0.04179
1985,1st Quintile,Seldom,0.05967,159,2207,0.04979,0.06956
1985,1st Quintile,Never,0.62041,1839,2207,0.60016,0.64067
1985,2nd Quintile,At least once per week,0.06109,152,2130,0.05091,0.07126
1985,2nd Quintile,At least once per month,0.04625,107,2130,0.03733,0.05517
1985,2nd Quintile,Seldom,0.05887,148,2130,0.04887,0.06886
1985,2nd Quintile,Never,0.62146,1723,2130,0.60086,0.64207
1985,3rd Quintile,At least once per week,0.07806,193,2176,0.06679,0.08934
1985,3rd Quintile,At least once per month,0.05474,129,2176,0.04518,0.06430
1985,3rd Quintile,Seldom,0.06897,162,2176,0.05832,0.07962
1985,3rd Quintile,Never,0.62901,1692,2176,0.60871,0.64931
1985,4th Quintile,At least once per week,0.07764,169,2200,0.06645,0.08882
1985,4th Quintile,At least once per month,0.05332,129,2200,0.04393,0.06271
1985,4th Quintile,Seldom,0.07057,180,2200,0.05987,0.08127
1985,4th Quintile,Never,0.65884,1722,2200,0.63903,0.67866
1985,5th Quintile,At least once per week,0.08104,188,2145,0.06949,0.09260
1985,5th Quintile,At least once per month,0.06829,158,2145,0.05762,0.07897
1985,5th Quintile,Seldom,0.08437,198,2145,0.07261,0.09614
1985,5th Quintile,Never,0.65716,1601,2145,0.63707,0.67725
1986,1st Quintile,At least once per week,0.04248,106,2045,0.03374,0.05122
1986,1st Quintile,At least once per month,0.03372,78,2045,0.02589,0.04154
1986,1st Quintile,Seldom,0.05411,124,2045,0.04430,0.06392
1986,1st Quintile,Never,0.64039,1737,2045,0.61958,0.66119
1986,2nd Quintile,At least once per week,0.05918,143,2052,0.04897,0.06939
1986,2nd Quintile,At least once per month,0.05474,129,2052,0.04490,0.06459
1986,2nd Quintile,Seldom,0.05733,137,2052,0.04727,0.06739
1986,2nd Quintile,Never,0.60929,1643,2052,0.58817,0.63041
1986,3rd Quintile,At least once per week,0.07474,175,2082,0.06344,0.08604
1986,3rd Quintile,At least once per month,0.05108,116,2082,0.04162,0.06054
1986,3rd Quintile,Seldom,0.06269,158,2082,0.05227,0.07310
1986,3rd Quintile,Never,0.62866,1633,2082,0.60790,0.64941
1986,4th Quintile,At least once per week,0.07557,167,2189,0.06450,0.08665
1986,4th Quintile,At least once per month,0.06467,149,2189,0.05437,0.07498
1986,4th Quintile,Seldom,0.06662,162,2189,0.05617,0.07707
1986,4th Quintile,Never,0.65886,1711,2189,0.63899,0.67872
1986,5th Quintile,At least once per week,0.08202,180,2074,0.07021,0.09383
1986,5th Quintile,At least once per month,0.06426,143,2074,0.05370,0.07482
1986,5th Quintile,Seldom,0.07662,186,2074,0.06517,0.08807
1986,5th Quintile,Never,0.66812,1565,2074,0.64785,0.68839
1988,1st Quintile,At least once per week,0.05454,113,1948,0.04445,0.06463
1988,1st Quintile,At least once per month,0.02946,73,1948,0.02195,0.03697
1988,1st Quintile,Seldom,0.05151,119,1948,0.04169,0.06133
1988,1st Quintile,Never,0.63271,1643,1948,0.61130,0.65413
1988,2nd Quintile,At least once per week,0.06126,146,1964,0.05065,0.07187
1988,2nd Quintile,At least once per month,0.05202,118,1964,0.04219,0.06184
1988,2nd Quintile,Seldom,0.06765,148,1964,0.05654,0.07876
1988,2nd Quintile,Never,0.59438,1552,1964,0.57266,0.61610
1988,3rd Quintile,At least once per week,0.07743,178,1970,0.06562,0.08923
1988,3rd Quintile,At least once per month,0.05413,116,1970,0.04414,0.06412
1988,3rd Quintile,Seldom,0.08344,197,1970,0.07122,0.09565
1988,3rd Quintile,Never,0.59659,1479,1970,0.57492,0.61826
1988,4th Quintile,At least once per week,0.08989,195,2050,0.07751,0.10228
1988,4th Quintile,At least once per month,0.06575,142,2050,0.05502,0.07648
1988,4th Quintile,Seldom,0.08027,178,2050,0.06851,0.09204
1988,4th Quintile,Never,0.62445,1535,2050,0.60348,0.64542
1988,5th Quintile,At least once per week,0.08982,176,1916,0.07702,0.10263
1988,5th Quintile,At least once per month,0.07018,150,1916,0.05874,0.08163
1988,5th Quintile,Seldom,0.09801,198,1916,0.08469,0.11132
1988,5th Quintile,Never,0.64114,1392,1916,0.61965,0.66262
1990,1st Quintile,At least once per week,0.04833,84,1872,0.03861,0.05805
1990,1st Quintile,At least once per month,0.03459,72,1872,0.02631,0.04288
1990,1st Quintile,Seldom,0.05866,130,1872,0.04801,0.06931
1990,1st Quintile,Never,0.63015,1586,1872,0.60828,0.65203
1990,2nd Quintile,At least once per week,0.06597,138,1885,0.05476,0.07718
1990,2nd Quintile,At least once per month,0.04243,94,1885,0.03333,0.05153
1990,2nd Quintile,Seldom,0.09163,215,1885,0.07860,0.10466
1990,2nd Quintile,Never,0.57777,1438,1885,0.55546,0.60007
1990,3rd Quintile,At least once per week,0.07868,167,1904,0.06658,0.09078
1990,3rd Quintile,At least once per month,0.06483,129,1904,0.05377,0.07590
1990,3rd Quintile,Seldom,0.09359,202,1904,0.08051,0.10668
1990,3rd Quintile,Never,0.58000,1406,1904,0.55782,0.60218
1990,4th Quintile,At least once per week,0.07470,155,1932,0.06297,0.08642
1990,4th Quintile,At least once per month,0.07072,134,1932,0.05928,0.08215
1990,4th Quintile,Seldom,0.11015,232,1932,0.09618,0.12411
1990,4th Quintile,Never,0.63005,1411,1932,0.60852,0.65159
1990,5th Quintile,At least once per week,0.08525,165,1818,0.07241,0.09810
1990,5th Quintile,At least once per month,0.08223,161,1818,0.06960,0.09486
1990,5th Quintile,Seldom,0.14223,269,1818,0.12617,0.15829
1990,5th Quintile,Never,0.58687,1223,1818,0.56423,0.60951
1992,1st Quintile,At least once per week,0.02799,99,2739,0.02181,0.03417
1992,1st Quintile,At least once per month,0.03156,117,2739,0.02501,0.03811
1992,1st Quintile,Seldom,0.04354,176,2739,0.03590,0.05119
1992,1st Quintile,Never,0.67051,2347,2739,0.65291,0.68812
1992,2nd Quintile,At least once per week,0.04547,145,2810,0.03777,0.05318
1992,2nd Quintile,At least once per month,0.04694,160,2810,0.03912,0.05476
1992,2nd Quintile,Seldom,0.07385,261,2810,0.06418,0.08352
1992,2nd Quintile,Never,0.58410,2244,2810,0.56587,0.60232
1992,3rd Quintile,At least once per week,0.05386,164,2630,0.04523,0.06249
1992,3rd Quintile,At least once per month,0.04942,160,2630,0.04113,0.05770
1992,3rd Quintile,Seldom,0.08792,296,2630,0.07710,0.09875
1992,3rd Quintile,Never,0.59665,2010,2630,0.57790,0.61540
1992,4th Quintile,At least once per week,0.06995,197,2604,0.06015,0.07975
1992,4th Quintile,At least once per month,0.05968,166,2604,0.05058,0.06878
1992,4th Quintile,Seldom,0.10589,300,2604,0.09407,0.11771
1992,4th Quintile,Never,0.61734,1941,2604,0.59867,0.63601
1992,5th Quintile,At least once per week,0.06822,171,2354,0.05803,0.07840
1992,5th Quintile,At least once per month,0.07284,182,2354,0.06234,0.08334
1992,5th Quintile,Seldom,0.12527,329,2354,0.11190,0.13865
1992,5th Quintile,Never,0.61505,1672,2354,0.59538,0.63471
1994,1st Quintile,At least once per week,0.03070,89,2481,0.02391,0.03748
1994,1st Quintile,At least once per month,0.03648,113,2481,0.02910,0.04386
1994,1st Quintile,Seldom,0.03882,134,2481,0.03121,0.04642
1994,1st Quintile,Never,0.65490,2145,2481,0.63618,0.67361
1994,2nd Quintile,At least once per week,0.04205,136,2683,0.03445,0.04964
1994,2nd Quintile,At least once per month,0.04238,141,2683,0.03476,0.05000
1994,2nd Quintile,Seldom,0.08336,281,2683,0.07289,0.09382
1994,2nd Quintile,Never,0.60058,2125,2683,0.58205,0.61912
1994,3rd Quintile,At least once per week,0.05974,168,2675,0.05076,0.06873
1994,3rd Quintile,At least once per month,0.05032,156,2675,0.04204,0.05861
1994,3rd Quintile,Seldom,0.08545,307,2675,0.07486,0.09605
1994,3rd Quintile,Never,0.60010,2044,2675,0.58153,0.61867
1994,4th Quintile,At least once per week,0.06398,179,2526,0.05444,0.07353
1994,4th Quintile,At least once per month,0.06815,195,2526,0.05832,0.07798
1994,4th Quintile,Seldom,0.11908,339,2526,0.10644,0.13171
1994,4th Quintile,Never,0.59533,1813,2526,0.57618,0.61447
1994,5th Quintile,At least once per week,0.07880,198,2384,0.06798,0.08962
1994,5th Quintile,At least once per month,0.07124,190,2384,0.06091,0.08157
1994,5th Quintile,Seldom,0.13451,358,2384,0.12081,0.14821
1994,5th Quintile,Never,0.60366,1638,2384,0.58402,0.62330
1995,1st Quintile,At least once per week,0.03746,114,2518,0.03004,0.04488
1995,1st Quintile,At least once per month,0.03165,100,2518,0.02481,0.03849
1995,1st Quintile,Seldom,0.04001,114,2518,0.03236,0.04767
1995,1st Quintile,Never,0.62814,2190,2518,0.60926,0.64702
1995,2nd Quintile,At least once per week,0.05589,176,2847,0.04745,0.06433
1995,2nd Quintile,At least once per month,0.03821,136,2847,0.03116,0.04525
1995,2nd Quintile,Seldom,0.06518,201,2847,0.05611,0.07424
1995,2nd Quintile,Never,0.62383,2334,2847,0.60604,0.64163
1995,3rd Quintile,At least once per week,0.06094,183,2699,0.05192,0.06997
1995,3rd Quintile,At least once per month,0.04872,154,2699,0.04060,0.05684
1995,3rd Quintile,Seldom,0.06840,244,2699,0.05888,0.07793
1995,3rd Quintile,Never,0.62644,2118,2699,0.60819,0.64470
1995,4th Quintile,At least once per week,0.07554,227,2649,0.06548,0.08561
1995,4th Quintile,At least once per month,0.05441,160,2649,0.04577,0.06304
1995,4th Quintile,Seldom,0.09018,264,2649,0.07927,0.10109
1995,4th Quintile,Never,0.63207,1998,2649,0.61370,0.65044
1995,5th Quintile,At least once per week,0.07939,208,2462,0.06871,0.09007
1995,5th Quintile,At least once per month,0.06163,168,2462,0.05213,0.07114
1995,5th Quintile,Seldom,0.09394,256,2462,0.08241,0.10546
1995,5th Quintile,Never,0.65513,1830,2462,0.63635,0.67391
1996,1st Quintile,At least once per week,0.03798,103,2526,0.03052,0.04543
1996,1st Quintile,At least once per month,0.03231,111,2526,0.02541,0.03921
1996,1st Quintile,Seldom,0.07414,243,2526,0.06392,0.08436
1996,1st Quintile,Never,0.61081,2069,2526,0.59179,0.62983
1996,2nd Quintile,At least once per week,0.04623,145,2712,0.03833,0.05413
1996,2nd Quintile,At least once per month,0.05144,156,2712,0.04312,0.05975
1996,2nd Quintile,Seldom,0.09539,321,2712,0.08433,0.10644
1996,2nd Quintile,Never,0.56769,2090,2712,0.54904,0.58634
1996,3rd Quintile,At least once per week,0.05968,181,2649,0.05066,0.06871
1996,3rd Quintile,At least once per month,0.06448,199,2649,0.05513,0.07384
1996,3rd Quintile,Seldom,0.12521,395,2649,0.11261,0.13782
1996,3rd Quintile,Never,0.57527,1874,2649,0.55644,0.59410
1996,4th Quintile,At least once per week,0.06956,219,2700,0.05997,0.07916
1996,4th Quintile,At least once per month,0.06425,195,2700,0.05500,0.07350
1996,4th Quintile,Seldom,0.12212,395,2700,0.10976,0.13447
1996,4th Quintile,Never,0.59293,1891,2700,0.57439,0.61146
1996,5th Quintile,At least once per week,0.09113,221,2392,0.07959,0.10266
1996,5th Quintile,At least once per month,0.08370,202,2392,0.07260,0.09480
1996,5th Quintile,Seldom,0.16609,435,2392,0.15117,0.18100
1996,5th Quintile,Never,0.54889,1534,2392,0.52894,0.56883
1997,1st Quintile,At least once per week,0.03812,105,2356,0.03038,0.04585
1997,1st Quintile,At least once per month,0.02750,82,2356,0.02090,0.03411
1997,1st Quintile,Seldom,0.07474,220,2356,0.06411,0.08536
1997,1st Quintile,Never,0.60748,1949,2356,0.58776,0.62721
1997,2nd Quintile,At least once per week,0.05103,161,2749,0.04281,0.05926
1997,2nd Quintile,At least once per month,0.05124,148,2749,0.04299,0.05948
1997,2nd Quintile,Seldom,0.07583,284,2749,0.06594,0.08573
1997,2nd Quintile,Never,0.59802,2156,2749,0.57969,0.61636
1997,3rd Quintile,At least once per week,0.06107,178,2544,0.05176,0.07038
1997,3rd Quintile,At least once per month,0.06203,184,2544,0.05266,0.07141
1997,3rd Quintile,Seldom,0.09675,318,2544,0.08526,0.10824
1997,3rd Quintile,Never,0.57837,1864,2544,0.55917,0.59756
1997,4th Quintile,At least once per week,0.07495,224,2649,0.06492,0.08498
1997,4th Quintile,At least once per month,0.07128,208,2649,0.06148,0.08108
1997,4th Quintile,Seldom,0.11815,373,2649,0.10585,0.13044
1997,4th Quintile,Never,0.58875,1844,2649,0.57001,0.60750
1997,5th Quintile,At least once per week,0.08479,226,2428,0.07371,0.09587
1997,5th Quintile,At least once per month,0.08867,220,2428,0.07736,0.09998
1997,5th Quintile,Seldom,0.14617,383,2428,0.13212,0.16023
1997,5th Quintile,Never,0.57202,1599,2428,0.55234,0.59171
1998,1st Quintile,At least once per week,0.03473,95,2321,0.02728,0.04218
1998,1st Quintile,At least once per month,0.02578,73,2321,0.01933,0.03223
1998,1st Quintile,Seldom,0.04975,144,2321,0.04091,0.05860
1998,1st Quintile,Never,0.64059,2009,2321,0.62107,0.66012
1998,2nd Quintile,At least once per week,0.04954,158,2547,0.04111,0.05796
1998,2nd Quintile,At least once per month,0.03608,114,2547,0.02884,0.04333
1998,2nd Quintile,Seldom,0.07165,221,2547,0.06163,0.08167
1998,2nd Quintile,Never,0.61295,2054,2547,0.59403,0.63187
1998,3rd Quintile,At least once per week,0.06294,192,2523,0.05346,0.07242
1998,3rd Quintile,At least once per month,0.05548,175,2523,0.04655,0.06442
1998,3rd Quintile,Seldom,0.08788,257,2523,0.07683,0.09893
1998,3rd Quintile,Never,0.61024,1899,2523,0.59121,0.62927
1998,4th Quintile,At least once per week,0.07331,222,2583,0.06326,0.08336
1998,4th Quintile,At least once per month,0.07456,213,2583,0.06443,0.08470
1998,4th Quintile,Seldom,0.09007,266,2583,0.07903,0.10112
1998,4th Quintile,Never,0.62545,1882,2583,0.60678,0.64412
1998,5th Quintile,At least once per week,0.08219,206,2271,0.07089,0.09349
1998,5th Quintile,At least once per month,0.07512,192,2271,0.06427,0.08596
1998,5th Quintile,Seldom,0.12230,295,2271,0.10882,0.13578
1998,5th Quintile,Never,0.60471,1578,2271,0.58460,0.62483
1999,1st Quintile,At least once per week,0.04677,136,2570,0.03860,0.05493
1999,1st Quintile,At least once per month,0.03277,101,2570,0.02588,0.03965
1999,1st Quintile,Seldom,0.07573,234,2570,0.06550,0.08596
1999,1st Quintile,Never,0.60113,2099,2570,0.58219,0.62006
1999,2nd Quintile,At least once per week,0.04492,164,2851,0.03732,0.05253
1999,2nd Quintile,At least once per month,0.05138,173,2851,0.04327,0.05948
1999,2nd Quintile,Seldom,0.10149,372,2851,0.09040,0.11258
1999,2nd Quintile,Never,0.59179,2142,2851,0.57375,0.60984
1999,3rd Quintile,At least once per week,0.06716,217,2801,0.05789,0.07643
1999,3rd Quintile,At least once per month,0.05858,203,2801,0.04988,0.06728
1999,3rd Quintile,Seldom,0.09917,367,2801,0.08810,0.11024
1999,3rd Quintile,Never,0.58170,2014,2801,0.56343,0.59997
1999,4th Quintile,At least once per week,0.08398,265,2761,0.07363,0.09432
1999,4th Quintile,At least once per month,0.06893,227,2761,0.05948,0.07838
1999,4th Quintile,Seldom,0.12479,412,2761,0.11246,0.13712
1999,4th Quintile,Never,0.57591,1857,2761,0.55747,0.59435
1999,5th Quintile,At least once per week,0.08221,235,2593,0.07164,0.09279
