year,migback,pli0096_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,At least once per week,0.07294,709,7858,0.06719,0.07869
1985,No migration background,At least once per month,0.05508,542,7858,0.05003,0.06012
1985,No migration background,Seldom,0.07237,718,7858,0.06664,0.07810
1985,No migration background,Never,0.64058,5889,7858,0.62997,0.65119
1985,Direct migration background,At least once per week,0.04443,97,2872,0.03690,0.05197
1985,Direct migration background,At least once per month,0.02722,74,2872,0.02127,0.03318
1985,Direct migration background,Seldom,0.04956,121,2872,0.04162,0.05750
1985,Direct migration background,Never,0.77795,2580,2872,0.76275,0.79316
1985,Indirect migration background,Never,0.12202,115,115,0.06193,0.18210
1986,No migration background,At least once per week,0.07115,650,7498,0.06533,0.07697
1986,No migration background,At least once per month,0.05720,533,7498,0.05194,0.06245
1986,No migration background,Seldom,0.06758,640,7498,0.06189,0.07326
1986,No migration background,Never,0.64445,5675,7498,0.63362,0.65529
1986,Direct migration background,At least once per week,0.04397,111,2798,0.03637,0.05157
1986,Direct migration background,At least once per month,0.03569,75,2798,0.02882,0.04257
1986,Direct migration background,Seldom,0.04364,116,2798,0.03607,0.05121
1986,Direct migration background,Never,0.78799,2496,2798,0.77284,0.80313
1986,Indirect migration background,Never,0.12609,124,124,0.06743,0.18476
1988,No migration background,At least once per week,0.07915,680,6996,0.07282,0.08547
1988,No migration background,At least once per month,0.05920,530,6996,0.05367,0.06473
1988,No migration background,Seldom,0.08077,700,6996,0.07439,0.08716
1988,No migration background,Never,0.62090,5086,6996,0.60953,0.63227
1988,Direct migration background,At least once per week,0.05516,115,2636,0.04644,0.06388
1988,Direct migration background,At least once per month,0.02320,61,2636,0.01746,0.02895
1988,Direct migration background,Seldom,0.05707,125,2636,0.04822,0.06593
1988,Direct migration background,Never,0.78107,2335,2636,0.76528,0.79686
1988,Indirect migration background,Never,0.13455,182,182,0.08483,0.18426
1990,No migration background,At least once per week,0.06930,884,10781,0.06451,0.07410
1990,No migration background,At least once per month,0.06791,996,10781,0.06316,0.07266
