"year","quintil_oecd","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2012","1 Einkommensschwächstes Quintil","Ostdeutschland","4.11","3.83","470","2.67","3.33","5","5.67","7","4","4.22","1","7","4","4.33333349227905"
"2012","1 Einkommensschwächstes Quintil","Westdeutschland","4.16","3.83","1166","2.67","3.33","5","6","7","4.09","4.23","1","7","4","4.33333349227905"
"2012","2","Ostdeutschland","3.88","3.83","376","2.33","3","4.67","5.67","6.33","3.76","4","1","7","3.66666674613953","4"
"2012","2","Westdeutschland","4.02","3.83","1585","2.33","3.33","5","5.67","7","3.96","4.08","1","7","4","4"
"2012","3","Ostdeutschland","3.83","3.5","240","2","3","4.67","5.67","7","3.67","3.99","1","7","3.66666674613953","4"
"2012","3","Westdeutschland","3.9","3.83","1205","2","3","4.67","5.67","6.67","3.83","3.97","1","7","3.66666674613953","4"
"2012","4","Ostdeutschland","3.72","3.17","148","2","3","4.67","5.33","6.67","3.5","3.94","1","6.67","3.33333325386047","4"
"2012","4","Westdeutschland","3.7","3.5","1016","2.33","3","4.33","5.33","6.67","3.63","3.77","1","7","3.66666674613953","3.66666674613953"
"2012","5 Einkommensstärkstes Quintil","Ostdeutschland","3.73","3.5","98","2.33","3","4.33","5","6.33","3.49","3.97","1.33","6.67","3.33333325386047","4"
"2012","5 Einkommensstärkstes Quintil","Westdeutschland","3.65","3.5","816","2","2.67","4.33","5.33","6.67","3.57","3.73","1","7","3.33333325386047","3.66666674613953"
"2013","1 Einkommensschwächstes Quintil","Ostdeutschland","4.03","3.83","766","2.33","3.33","5","5.67","7","3.94","4.12","1","7","4","4"
"2013","1 Einkommensschwächstes Quintil","Westdeutschland","4.02","3.83","1645","2.33","3","5","5.67","7","3.96","4.08","1","7","4","4"
"2013","2","Ostdeutschland","3.92","3.83","1010","2.33","3","4.67","5.33","6.67","3.85","3.99","1","7","4","4"
"2013","2","Westdeutschland","3.89","3.83","2225","2.33","3","4.67","5.33","7","3.84","3.94","1","7","4","4"
"2013","3","Ostdeutschland","3.87","3.83","996","2.33","3","4.67","5.33","6.67","3.8","3.94","1","7","3.66666674613953","4"
"2013","3","Westdeutschland","3.74","3.58","2427","2","3","4.67","5.33","6.67","3.69","3.79","1","7","3.66666674613953","3.66666674613953"
"2013","4","Ostdeutschland","3.74","3.58","964","2.33","3","4.67","5.33","6.67","3.67","3.81","1","7","3.66666674613953","3.66666674613953"
"2013","4","Westdeutschland","3.75","3.58","3478","2.33","3","4.67","5.33","6.67","3.71","3.79","1","7","3.66666674613953","3.66666674613953"
"2013","5 Einkommensstärkstes Quintil","Ostdeutschland","3.62","3.5","708","2","2.67","4.33","5","6.67","3.53","3.71","1","7","3.33333325386047","3.66666674613953"
"2013","5 Einkommensstärkstes Quintil","Westdeutschland","3.56","3.5","4579","2","2.67","4.33","5.33","6.67","3.52","3.6","1","7","3.33333325386047","3.66666674613953"
"2014","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2014","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2014","2","Ostdeutschland","","","","","","","","","","","","","",""
"2014","2","Westdeutschland","","","","","","","","","","","","","",""
"2014","3","Ostdeutschland","","","","","","","","","","","","","",""
"2014","3","Westdeutschland","","","","","","","","","","","","","",""
"2014","4","Ostdeutschland","","","","","","","","","","","","","",""
"2014","4","Westdeutschland","","","","","","","","","","","","","",""
"2014","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2014","5 Einkommensstärkstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2015","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2015","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2015","2","Ostdeutschland","","","","","","","","","","","","","",""
"2015","2","Westdeutschland","","","","","","","","","","","","","",""
"2015","3","Ostdeutschland","","","","","","","","","","","","","",""
"2015","3","Westdeutschland","","","","","","","","","","","","","",""
"2015","4","Ostdeutschland","","","","","","","","","","","","","",""
"2015","4","Westdeutschland","","","","","","","","","","","","","",""
"2015","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2015","5 Einkommensstärkstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
