year,age_gr,migback,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,No migration background,"No, never",0.35808,1051,1550,0.33421,0.38196
2005,17-29 y.,No migration background,"Yes, every week",0.02512,72,1550,0.01733,0.03291
2005,17-29 y.,No migration background,"Yes, every 2 weeks",0.05538,147,1550,0.04399,0.06677
2005,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.02704,82,1550,0.01897,0.03512
2005,17-29 y.,No migration background,"Yes, less frequently",0.07114,198,1550,0.05834,0.08394
2005,17-29 y.,Direct migration background,"No, never",0.31482,100,100,0.22333,0.40631
2005,17-29 y.,Indirect migration background,"No, never",0.32960,174,174,0.25955,0.39965
2005,30-45 y.,No migration background,"No, never",0.43317,2321,3917,0.41765,0.44869
2005,30-45 y.,No migration background,"Yes, every week",0.04178,197,3917,0.03551,0.04804
2005,30-45 y.,No migration background,"Yes, every 2 weeks",0.07563,356,3917,0.06735,0.08391
2005,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.04706,226,3917,0.04043,0.05370
2005,30-45 y.,No migration background,"Yes, less frequently",0.15927,817,3917,0.14781,0.17073
2005,30-45 y.,Direct migration background,"No, never",0.45556,365,513,0.41242,0.49870
2005,30-45 y.,Direct migration background,"Yes, every week",0.04148,32,513,0.02420,0.05875
2005,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.04714,38,513,0.02878,0.06549
2005,30-45 y.,Direct migration background,"Yes, less frequently",0.09253,78,513,0.06743,0.11763
2005,30-45 y.,Indirect migration background,"No, never",0.46966,118,118,0.37923,0.56010
2005,46-65 y.,No migration background,"No, never",0.34996,2230,3714,0.33461,0.36530
2005,46-65 y.,No migration background,"Yes, every week",0.03756,274,3714,0.03145,0.04368
2005,46-65 y.,No migration background,"Yes, every 2 weeks",0.04511,280,3714,0.03843,0.05179
2005,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.02850,179,3714,0.02315,0.03385
2005,46-65 y.,No migration background,"Yes, less frequently",0.10587,751,3714,0.09597,0.11577
2005,46-65 y.,Direct migration background,"No, never",0.34294,336,419,0.29743,0.38844
2005,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.05305,37,419,0.03156,0.07453
2005,46-65 y.,Direct migration background,"Yes, less frequently",0.05583,46,419,0.03382,0.07784
2005,66 and older,No migration background,"No, never",0.02016,81,81,-0.01064,0.05096
2007,17-29 y.,No migration background,"No, never",0.34928,1003,1519,0.32530,0.37326
2007,17-29 y.,No migration background,"Yes, every week",0.03069,86,1519,0.02202,0.03937
2007,17-29 y.,No migration background,"Yes, every 2 weeks",0.06881,157,1519,0.05607,0.08154
2007,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.02296,67,1519,0.01542,0.03049
2007,17-29 y.,No migration background,"Yes, less frequently",0.07837,206,1519,0.06485,0.09189
2007,17-29 y.,Direct migration background,"No, never",0.32583,90,90,0.22845,0.42320
2007,17-29 y.,Indirect migration background,"No, never",0.36544,186,186,0.29605,0.43483
2007,30-45 y.,No migration background,"No, never",0.45672,2272,3857,0.44100,0.47245
2007,30-45 y.,No migration background,"Yes, every week",0.04751,227,3857,0.04080,0.05423
2007,30-45 y.,No migration background,"Yes, every 2 weeks",0.07739,355,3857,0.06896,0.08583
2007,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.04458,204,3857,0.03807,0.05110
2007,30-45 y.,No migration background,"Yes, less frequently",0.16769,799,3857,0.15590,0.17948
2007,30-45 y.,Direct migration background,"No, never",0.45635,325,463,0.41093,0.50177
2007,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.05603,41,463,0.03506,0.07700
2007,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.04515,38,463,0.02621,0.06408
2007,30-45 y.,Direct migration background,"Yes, less frequently",0.09862,59,463,0.07143,0.12581
2007,30-45 y.,Indirect migration background,"No, never",0.48010,129,129,0.39355,0.56666
2007,46-65 y.,No migration background,"No, never",0.36611,2341,4020,0.35122,0.38101
2007,46-65 y.,No migration background,"Yes, every week",0.04767,325,4020,0.04108,0.05426
2007,46-65 y.,No migration background,"Yes, every 2 weeks",0.04672,307,4020,0.04020,0.05325
2007,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.03507,222,4020,0.02938,0.04075
2007,46-65 y.,No migration background,"Yes, less frequently",0.12266,825,4020,0.11252,0.13281
2007,46-65 y.,Direct migration background,"No, never",0.35680,299,387,0.30901,0.40459
2007,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.04483,33,387,0.02419,0.06548
2007,46-65 y.,Direct migration background,"Yes, less frequently",0.06667,55,387,0.04178,0.09155
2007,66 and older,No migration background,"No, never",0.02247,96,96,-0.00733,0.05227
2009,17-29 y.,No migration background,"No, never",0.36332,857,1335,0.33751,0.38913
2009,17-29 y.,No migration background,"Yes, every week",0.03321,77,1335,0.02359,0.04283
2009,17-29 y.,No migration background,"Yes, every 2 weeks",0.05478,132,1335,0.04257,0.06699
2009,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.03288,72,1335,0.02331,0.04245
2009,17-29 y.,No migration background,"Yes, less frequently",0.08315,197,1335,0.06833,0.09797
2009,17-29 y.,Direct migration background,"No, never",0.32126,60,60,0.20210,0.44041
2009,17-29 y.,Indirect migration background,"No, never",0.35157,147,147,0.27412,0.42902
2009,30-45 y.,No migration background,"No, never",0.42773,1841,3163,0.41048,0.44497
2009,30-45 y.,No migration background,"Yes, every week",0.05205,196,3163,0.04431,0.05979
2009,30-45 y.,No migration background,"Yes, every 2 weeks",0.07100,277,3163,0.06205,0.07995
2009,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.04823,176,3163,0.04076,0.05570
2009,30-45 y.,No migration background,"Yes, less frequently",0.18731,673,3163,0.17371,0.20090
2009,30-45 y.,Direct migration background,"No, never",0.48860,264,313,0.43313,0.54407
2009,30-45 y.,Direct migration background,"Yes, less frequently",0.09929,49,313,0.06611,0.13248
2009,30-45 y.,Indirect migration background,"No, never",0.46530,125,156,0.38678,0.54383
2009,30-45 y.,Indirect migration background,"Yes, less frequently",0.09860,31,156,0.05166,0.14553
2009,46-65 y.,No migration background,"No, never",0.37681,2201,3831,0.36146,0.39215
2009,46-65 y.,No migration background,"Yes, every week",0.05231,312,3831,0.04526,0.05936
2009,46-65 y.,No migration background,"Yes, every 2 weeks",0.05196,319,3831,0.04493,0.05899
2009,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.03451,222,3831,0.02873,0.04029
2009,46-65 y.,No migration background,"Yes, less frequently",0.12880,777,3831,0.11820,0.13941
2009,46-65 y.,Direct migration background,"No, never",0.35726,234,312,0.30400,0.41051
2009,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.05576,35,312,0.03026,0.08127
2009,46-65 y.,Direct migration background,"Yes, less frequently",0.05915,43,312,0.03293,0.08536
2009,66 and older,No migration background,"No, never",0.02744,114,157,0.00180,0.05307
2009,66 and older,No migration background,"Yes, less frequently",0.00787,43,157,-0.00600,0.02174
2011,17-29 y.,No migration background,"No, never",0.37165,1151,1778,0.34918,0.39412
2011,17-29 y.,No migration background,"Yes, every week",0.03329,101,1778,0.02495,0.04163
2011,17-29 y.,No migration background,"Yes, every 2 weeks",0.06421,210,1778,0.05281,0.07561
2011,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.02519,86,1778,0.01790,0.03248
2011,17-29 y.,No migration background,"Yes, less frequently",0.07773,230,1778,0.06528,0.09018
2011,17-29 y.,Direct migration background,"No, never",0.36389,147,147,0.28585,0.44193
2011,17-29 y.,Indirect migration background,"No, never",0.31450,156,156,0.24140,0.38759
2011,30-45 y.,No migration background,"No, never",0.47377,3630,6178,0.46132,0.48622
2011,30-45 y.,No migration background,"Yes, every week",0.06097,423,6178,0.05500,0.06694
2011,30-45 y.,No migration background,"Yes, every 2 weeks",0.07329,589,6178,0.06679,0.07979
2011,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.04657,375,6178,0.04132,0.05183
2011,30-45 y.,No migration background,"Yes, less frequently",0.17707,1161,6178,0.16755,0.18659
2011,30-45 y.,Direct migration background,"No, never",0.47806,627,967,0.44656,0.50956
2011,30-45 y.,Direct migration background,"Yes, every week",0.03550,60,967,0.02383,0.04716
2011,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.06088,90,967,0.04580,0.07596
2011,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.03220,59,967,0.02107,0.04334
2011,30-45 y.,Direct migration background,"Yes, less frequently",0.09748,131,967,0.07877,0.11618
2011,30-45 y.,Indirect migration background,"No, never",0.45166,261,429,0.40451,0.49881
2011,30-45 y.,Indirect migration background,"Yes, every 2 weeks",0.11010,48,429,0.08045,0.13976
2011,30-45 y.,Indirect migration background,"Yes, every 3-4 weeks",0.07640,37,429,0.05123,0.10156
2011,30-45 y.,Indirect migration background,"Yes, less frequently",0.12429,83,429,0.09303,0.15554
2011,46-65 y.,No migration background,"No, never",0.40918,3382,5726,0.39645,0.42192
2011,46-65 y.,No migration background,"Yes, every week",0.05024,455,5726,0.04458,0.05590
2011,46-65 y.,No migration background,"Yes, every 2 weeks",0.06268,531,5726,0.05641,0.06896
2011,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.03675,342,5726,0.03187,0.04162
2011,46-65 y.,No migration background,"Yes, less frequently",0.12763,1016,5726,0.11899,0.13628
2011,46-65 y.,Direct migration background,"No, never",0.40356,386,563,0.36299,0.44412
2011,46-65 y.,Direct migration background,"Yes, every week",0.05472,50,563,0.03592,0.07353
2011,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.06271,64,563,0.04267,0.08276
2011,46-65 y.,Direct migration background,"Yes, less frequently",0.05238,63,563,0.03396,0.07080
2011,46-65 y.,Indirect migration background,"No, never",0.36719,46,46,0.22635,0.50803
2011,66 and older,No migration background,"No, never",0.02247,113,156,-0.00086,0.04581
2011,66 and older,No migration background,"Yes, less frequently",0.00816,43,156,-0.00600,0.02233
2013,17-29 y.,No migration background,"No, never",0.38149,1102,1648,0.35803,0.40495
2013,17-29 y.,No migration background,"Yes, every week",0.03036,105,1648,0.02207,0.03865
2013,17-29 y.,No migration background,"Yes, every 2 weeks",0.06286,176,1648,0.05114,0.07458
2013,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.02816,85,1648,0.02017,0.03615
2013,17-29 y.,No migration background,"Yes, less frequently",0.07430,180,1648,0.06163,0.08697
2013,17-29 y.,Direct migration background,"No, never",0.18409,107,107,0.11031,0.25787
2013,17-29 y.,Indirect migration background,"No, never",0.19381,178,178,0.13558,0.25205
2013,30-45 y.,No migration background,"No, never",0.46257,3079,5158,0.44896,0.47618
2013,30-45 y.,No migration background,"Yes, every week",0.04485,310,5158,0.03920,0.05050
2013,30-45 y.,No migration background,"Yes, every 2 weeks",0.08339,514,5158,0.07585,0.09094
2013,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.05618,296,5158,0.04990,0.06246
2013,30-45 y.,No migration background,"Yes, less frequently",0.17866,959,5158,0.16820,0.18911
2013,30-45 y.,Direct migration background,"No, never",0.19807,532,866,0.17151,0.22463
2013,30-45 y.,Direct migration background,"Yes, every week",0.02083,59,866,0.01132,0.03035
