year,migback,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,"No, never",0.25524,5683,9296,0.24638,0.26410
2005,No migration background,"Yes, every week",0.02511,556,9296,0.02193,0.02829
2005,No migration background,"Yes, every 2 weeks",0.03874,788,9296,0.03482,0.04267
2005,No migration background,"Yes, every 3-4 weeks",0.02307,487,9296,0.02002,0.02613
2005,No migration background,"Yes, less frequently",0.07843,1782,9296,0.07296,0.08390
2005,Direct migration background,"No, never",0.31358,812,1152,0.28678,0.34039
2005,Direct migration background,"Yes, every week",0.02229,57,1152,0.01376,0.03082
2005,Direct migration background,"Yes, every 2 weeks",0.03735,87,1152,0.02640,0.04831
2005,Direct migration background,"Yes, every 3-4 weeks",0.02339,60,1152,0.01466,0.03212
2005,Direct migration background,"Yes, less frequently",0.05542,136,1152,0.04220,0.06863
2005,Indirect migration background,"No, never",0.16155,307,399,0.12539,0.19771
2005,Indirect migration background,"Yes, every 2 weeks",0.02319,39,399,0.00840,0.03797
2005,Indirect migration background,"Yes, less frequently",0.02920,53,399,0.01266,0.04575
2007,No migration background,"No, never",0.26141,5712,9552,0.25260,0.27022
2007,No migration background,"Yes, every week",0.02949,654,9552,0.02610,0.03289
2007,No migration background,"Yes, every 2 weeks",0.04084,824,9552,0.03687,0.04481
2007,No migration background,"Yes, every 3-4 weeks",0.02363,502,9552,0.02058,0.02668
2007,No migration background,"Yes, less frequently",0.08531,1860,9552,0.07971,0.09092
2007,Direct migration background,"No, never",0.31592,721,1050,0.28778,0.34405
2007,Direct migration background,"Yes, every week",0.01837,48,1050,0.01024,0.02649
2007,Direct migration background,"Yes, every 2 weeks",0.03940,87,1050,0.02763,0.05118
2007,Direct migration background,"Yes, every 3-4 weeks",0.02444,66,1050,0.01509,0.03378
2007,Direct migration background,"Yes, less frequently",0.05810,128,1050,0.04394,0.07225
2007,Indirect migration background,"No, never",0.19374,335,397,0.15481,0.23267
2007,Indirect migration background,"Yes, less frequently",0.03962,62,397,0.02041,0.05883
2009,No migration background,"No, never",0.25804,5013,8518,0.24875,0.26734
2009,No migration background,"Yes, every week",0.03154,600,8518,0.02783,0.03525
2009,No migration background,"Yes, every 2 weeks",0.03862,739,8518,0.03453,0.04271
2009,No migration background,"Yes, every 3-4 weeks",0.02559,476,8518,0.02224,0.02895
2009,No migration background,"Yes, less frequently",0.09117,1690,8518,0.08506,0.09728
2009,Direct migration background,"No, never",0.32431,564,852,0.29286,0.35576
2009,Direct migration background,"Yes, every week",0.03716,58,852,0.02445,0.04987
2009,Direct migration background,"Yes, every 2 weeks",0.04155,69,852,0.02814,0.05496
2009,Direct migration background,"Yes, every 3-4 weeks",0.03087,48,852,0.01925,0.04250
2009,Direct migration background,"Yes, less frequently",0.06239,113,852,0.04614,0.07864
2009,Indirect migration background,"No, never",0.21647,291,387,0.17538,0.25756
2009,Indirect migration background,"Yes, every 2 weeks",0.02462,37,387,0.00916,0.04008
2009,Indirect migration background,"Yes, less frequently",0.04758,59,387,0.02634,0.06882
2011,No migration background,"No, never",0.27517,8276,13881,0.26774,0.28260
2011,No migration background,"Yes, every week",0.03322,998,13881,0.03023,0.03620
2011,No migration background,"Yes, every 2 weeks",0.04309,1347,13881,0.03971,0.04647
2011,No migration background,"Yes, every 3-4 weeks",0.02425,810,13881,0.02169,0.02681
2011,No migration background,"Yes, less frequently",0.08687,2450,13881,0.08218,0.09155
2011,Direct migration background,"No, never",0.34295,1170,1785,0.32092,0.36498
2011,Direct migration background,"Yes, every week",0.03659,135,1785,0.02787,0.04530
2011,Direct migration background,"Yes, every 2 weeks",0.04916,173,1785,0.03912,0.05919
2011,Direct migration background,"Yes, every 3-4 weeks",0.02393,93,1785,0.01684,0.03102
2011,Direct migration background,"Yes, less frequently",0.05394,214,1785,0.04346,0.06443
2011,Indirect migration background,"No, never",0.17971,463,777,0.15270,0.20673
2011,Indirect migration background,"Yes, every week",0.01732,52,777,0.00814,0.02650
2011,Indirect migration background,"Yes, every 2 weeks",0.03950,86,777,0.02580,0.05321
2011,Indirect migration background,"Yes, every 3-4 weeks",0.02539,57,777,0.01432,0.03646
2011,Indirect migration background,"Yes, less frequently",0.03820,119,777,0.02472,0.05169
2013,No migration background,"No, never",0.27353,7801,12907,0.26584,0.28122
2013,No migration background,"Yes, every week",0.02751,827,12907,0.02468,0.03033
2013,No migration background,"Yes, every 2 weeks",0.04397,1222,12907,0.04043,0.04751
2013,No migration background,"Yes, every 3-4 weeks",0.02547,679,12907,0.02275,0.02818
2013,No migration background,"Yes, less frequently",0.09268,2378,12907,0.08768,0.09769
2013,Direct migration background,"No, never",0.18457,1032,1628,0.16572,0.20342
