year,pgisced97,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,At least once per week,0.35039,57,147,0.27300,0.42778
1990,Pre-primary Level,At least once per month,0.23994,40,147,0.17067,0.30922
1990,Pre-primary Level,Seldom,0.27923,50,147,0.20646,0.35200
1990,Primary Level,At least once per week,0.14424,77,609,0.11631,0.17217
1990,Primary Level,At least once per month,0.17565,105,609,0.14541,0.20590
1990,Primary Level,Seldom,0.30686,194,609,0.27021,0.34352
1990,Primary Level,Never,0.29781,233,609,0.26146,0.33416
1990,Lower Secondary Level,Daily,0.01146,56,2460,0.00725,0.01567
1990,Lower Secondary Level,At least once per week,0.15641,479,2460,0.14206,0.17077
1990,Lower Secondary Level,At least once per month,0.19852,568,2460,0.18276,0.21429
1990,Lower Secondary Level,Seldom,0.34191,921,2460,0.32317,0.36066
1990,Lower Secondary Level,Never,0.16946,436,2460,0.15463,0.18429
1990,Upper Secondary Level,Daily,0.01572,97,4528,0.01210,0.01934
1990,Upper Secondary Level,At least once per week,0.20009,1148,4528,0.18843,0.21174
1990,Upper Secondary Level,At least once per month,0.22611,1344,4528,0.21393,0.23830
1990,Upper Secondary Level,Seldom,0.28151,1576,4528,0.26841,0.29461
1990,Upper Secondary Level,Never,0.06521,363,4528,0.05802,0.07240
1990,Post-secondary Non-tertiary Level,At least once per week,0.34357,100,263,0.28607,0.40108
1990,Post-secondary Non-tertiary Level,At least once per month,0.27861,95,263,0.22432,0.33289
1990,Post-secondary Non-tertiary Level,Seldom,0.19526,68,263,0.14726,0.24326
1990,First Stage of Tertiary Education,At least once per week,0.21389,128,484,0.17732,0.25045
1990,First Stage of Tertiary Education,At least once per month,0.25085,172,484,0.21219,0.28951
1990,First Stage of Tertiary Education,Seldom,0.29414,184,484,0.25350,0.33478
1990,Second Stage of Tertiary Education,At least once per week,0.20342,225,661,0.17271,0.23413
1990,Second Stage of Tertiary Education,At least once per month,0.21583,235,661,0.18444,0.24722
1990,Second Stage of Tertiary Education,Seldom,0.18142,201,661,0.15202,0.21082
1995,Pre-primary Level,At least once per week,0.41018,99,271,0.35151,0.46886
1995,Pre-primary Level,At least once per month,0.25211,74,271,0.20032,0.30391
1995,Pre-primary Level,Seldom,0.28664,98,271,0.23270,0.34058
1995,Primary Level,At least once per week,0.09421,53,514,0.06893,0.11949
1995,Primary Level,At least once per month,0.15982,95,514,0.12811,0.19153
1995,Primary Level,Seldom,0.37614,200,514,0.33422,0.41806
1995,Primary Level,Never,0.32641,166,514,0.28583,0.36699
1995,Lower Secondary Level,Daily,0.01692,56,2480,0.01185,0.02200
1995,Lower Secondary Level,At least once per week,0.16551,444,2480,0.15088,0.18014
1995,Lower Secondary Level,At least once per month,0.21406,568,2480,0.19791,0.23020
1995,Lower Secondary Level,Seldom,0.37393,897,2480,0.35488,0.39297
1995,Lower Secondary Level,Never,0.22544,515,2480,0.20899,0.24189
1995,Upper Secondary Level,Daily,0.02111,142,6702,0.01767,0.02455
1995,Upper Secondary Level,At least once per week,0.21703,1384,6702,0.20716,0.22690
1995,Upper Secondary Level,At least once per month,0.27435,1865,6702,0.26367,0.28503
1995,Upper Secondary Level,Seldom,0.35967,2488,6702,0.34817,0.37116
1995,Upper Secondary Level,Never,0.12260,823,6702,0.11475,0.13046
1995,Post-secondary Non-tertiary Level,At least once per week,0.33102,130,465,0.28820,0.37384
1995,Post-secondary Non-tertiary Level,At least once per month,0.26966,130,465,0.22928,0.31004
1995,Post-secondary Non-tertiary Level,Seldom,0.28124,149,465,0.24033,0.32215
1995,Post-secondary Non-tertiary Level,Never,0.10375,56,465,0.07600,0.13149
1995,First Stage of Tertiary Education,At least once per week,0.20505,147,747,0.17608,0.23402
1995,First Stage of Tertiary Education,At least once per month,0.33624,254,747,0.30234,0.37014
1995,First Stage of Tertiary Education,Seldom,0.34597,285,747,0.31184,0.38011
1995,First Stage of Tertiary Education,Never,0.08754,61,747,0.06726,0.10782
1995,Second Stage of Tertiary Education,Daily,0.02735,31,1751,0.01971,0.03499
1995,Second Stage of Tertiary Education,At least once per week,0.23749,367,1751,0.21756,0.25743
1995,Second Stage of Tertiary Education,At least once per month,0.34288,578,1751,0.32064,0.36512
1995,Second Stage of Tertiary Education,Seldom,0.31057,639,1751,0.28889,0.33225
1995,Second Stage of Tertiary Education,Never,0.08029,136,1751,0.06756,0.09303
1998,Pre-primary Level,At least once per week,0.36171,117,306,0.30778,0.41564
1998,Pre-primary Level,At least once per month,0.28538,89,306,0.23470,0.33606
1998,Pre-primary Level,Seldom,0.25715,100,306,0.20810,0.30620
1998,Primary Level,At least once per week,0.11176,54,438,0.08222,0.14130
1998,Primary Level,At least once per month,0.19017,82,438,0.15337,0.22696
1998,Primary Level,Seldom,0.38481,170,438,0.33919,0.43043
1998,Primary Level,Never,0.29438,132,438,0.25165,0.33711
1998,Lower Secondary Level,Daily,0.01656,52,2530,0.01159,0.02153
1998,Lower Secondary Level,At least once per week,0.18718,497,2530,0.17197,0.20238
1998,Lower Secondary Level,At least once per month,0.22359,594,2530,0.20735,0.23983
1998,Lower Secondary Level,Seldom,0.37006,940,2530,0.35125,0.38888
1998,Lower Secondary Level,Never,0.19763,447,2530,0.18211,0.21315
1998,Upper Secondary Level,Daily,0.01605,118,7003,0.01311,0.01900
1998,Upper Secondary Level,At least once per week,0.20731,1397,7003,0.19781,0.21680
1998,Upper Secondary Level,At least once per month,0.29365,2036,7003,0.28298,0.30431
1998,Upper Secondary Level,Seldom,0.37818,2784,7003,0.36682,0.38954
1998,Upper Secondary Level,Never,0.10066,668,7003,0.09361,0.10771
1998,Post-secondary Non-tertiary Level,At least once per week,0.28782,135,502,0.24818,0.32747
1998,Post-secondary Non-tertiary Level,At least once per month,0.37912,184,502,0.33664,0.42161
1998,Post-secondary Non-tertiary Level,Seldom,0.26975,147,502,0.23089,0.30862
1998,Post-secondary Non-tertiary Level,Never,0.05599,36,502,0.03586,0.07612
1998,First Stage of Tertiary Education,At least once per week,0.20327,170,809,0.17552,0.23102
1998,First Stage of Tertiary Education,At least once per month,0.32730,269,809,0.29495,0.35966
1998,First Stage of Tertiary Education,Seldom,0.36688,315,809,0.33365,0.40011
1998,First Stage of Tertiary Education,Never,0.08195,55,809,0.06304,0.10086
1998,Second Stage of Tertiary Education,At least once per week,0.27614,473,1939,0.25624,0.29605
1998,Second Stage of Tertiary Education,At least once per month,0.32689,660,1939,0.30601,0.34778
1998,Second Stage of Tertiary Education,Seldom,0.32696,710,1939,0.30608,0.34785
1998,Second Stage of Tertiary Education,Never,0.04752,96,1939,0.03805,0.05700
2003,Pre-primary Level,At least once per week,0.39600,253,581,0.35620,0.43580
2003,Pre-primary Level,At least once per month,0.25964,168,581,0.22396,0.29532
2003,Pre-primary Level,Seldom,0.28757,160,581,0.25074,0.32441
2003,Primary Level,At least once per month,0.19287,46,242,0.14306,0.24269
2003,Primary Level,Seldom,0.33557,90,242,0.27595,0.39519
2003,Primary Level,Never,0.35898,106,242,0.29841,0.41954
2003,Lower Secondary Level,Daily,0.00930,35,2727,0.00570,0.01290
2003,Lower Secondary Level,At least once per week,0.17354,505,2727,0.15932,0.18775
2003,Lower Secondary Level,At least once per month,0.22864,637,2727,0.21288,0.24441
2003,Lower Secondary Level,Seldom,0.37913,1030,2727,0.36091,0.39734
2003,Lower Secondary Level,Never,0.20646,520,2727,0.19127,0.22166
2003,Upper Secondary Level,Daily,0.01553,165,11089,0.01323,0.01783
2003,Upper Secondary Level,At least once per week,0.19197,2226,11089,0.18464,0.19930
2003,Upper Secondary Level,At least once per month,0.28813,3318,11089,0.27970,0.29656
2003,Upper Secondary Level,Seldom,0.38895,4254,11089,0.37987,0.39802
2003,Upper Secondary Level,Never,0.11406,1126,11089,0.10814,0.11998
2003,Post-secondary Non-tertiary Level,At least once per week,0.25085,299,1128,0.22554,0.27616
2003,Post-secondary Non-tertiary Level,At least once per month,0.32553,383,1128,0.29817,0.35288
2003,Post-secondary Non-tertiary Level,Seldom,0.33141,377,1128,0.30392,0.35889
2003,Post-secondary Non-tertiary Level,Never,0.06710,69,1128,0.05249,0.08170
2003,First Stage of Tertiary Education,At least once per week,0.20551,338,1664,0.18609,0.22493
2003,First Stage of Tertiary Education,At least once per month,0.29551,536,1664,0.27358,0.31744
2003,First Stage of Tertiary Education,Seldom,0.40888,681,1664,0.38525,0.43251
2003,First Stage of Tertiary Education,Never,0.07624,109,1664,0.06348,0.08899
2003,Second Stage of Tertiary Education,Daily,0.02121,86,4349,0.01692,0.02549
2003,Second Stage of Tertiary Education,At least once per week,0.27380,1205,4349,0.26054,0.28705
2003,Second Stage of Tertiary Education,At least once per month,0.32527,1491,4349,0.31135,0.33920
2003,Second Stage of Tertiary Education,Seldom,0.33357,1420,4349,0.31956,0.34759
2003,Second Stage of Tertiary Education,Never,0.04421,147,4349,0.03810,0.05032
2008,Pre-primary Level,At least once per week,0.21109,129,342,0.16778,0.25440
2008,Pre-primary Level,At least once per month,0.22315,129,342,0.17896,0.26735
2008,Pre-primary Level,Seldom,0.13034,84,342,0.09460,0.16607
2008,Primary Level,Seldom,0.35495,71,137,0.27453,0.43537
2008,Primary Level,Never,0.32803,66,137,0.24912,0.40694
2008,Lower Secondary Level,At least once per week,0.16776,333,1976,0.15128,0.18423
2008,Lower Secondary Level,At least once per month,0.20925,452,1976,0.19131,0.22719
2008,Lower Secondary Level,Seldom,0.37726,809,1976,0.35588,0.39864
2008,Lower Secondary Level,Never,0.20628,382,1976,0.18844,0.22413
2008,Upper Secondary Level,Daily,0.01376,123,9706,0.01144,0.01608
2008,Upper Secondary Level,At least once per week,0.19111,1832,9706,0.18329,0.19894
2008,Upper Secondary Level,At least once per month,0.27597,2704,9706,0.26708,0.28487
2008,Upper Secondary Level,Seldom,0.41022,4096,9706,0.40044,0.42001
2008,Upper Secondary Level,Never,0.10509,951,9706,0.09899,0.11119
2008,Post-secondary Non-tertiary Level,At least once per week,0.21789,238,1077,0.19323,0.24256
2008,Post-secondary Non-tertiary Level,At least once per month,0.32714,374,1077,0.29910,0.35517
2008,Post-secondary Non-tertiary Level,Seldom,0.36806,397,1077,0.33924,0.39687
2008,Post-secondary Non-tertiary Level,Never,0.06694,68,1077,0.05200,0.08187
2008,First Stage of Tertiary Education,At least once per week,0.17114,244,1398,0.15139,0.19089
2008,First Stage of Tertiary Education,At least once per month,0.33466,451,1398,0.30992,0.35941
2008,First Stage of Tertiary Education,Seldom,0.39840,601,1398,0.37273,0.42407
2008,First Stage of Tertiary Education,Never,0.08187,102,1398,0.06749,0.09624
2008,Second Stage of Tertiary Education,Daily,0.02189,66,4190,0.01746,0.02632
2008,Second Stage of Tertiary Education,At least once per week,0.26337,1102,4190,0.25004,0.27671
2008,Second Stage of Tertiary Education,At least once per month,0.35079,1538,4190,0.33634,0.36524
2008,Second Stage of Tertiary Education,Seldom,0.32063,1335,4190,0.30650,0.33477
2008,Second Stage of Tertiary Education,Never,0.04255,149,4190,0.03644,0.04867
2013,Pre-primary Level,At least once per week,0.18196,174,430,0.14545,0.21847
2013,Pre-primary Level,At least once per month,0.16112,161,430,0.12633,0.19591
