year,quintil_oecd,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Daily,0.01125,34,1881,0.00648,0.01601
1990,1st Quintile,At least once per week,0.11226,290,1881,0.09799,0.12653
1990,1st Quintile,At least once per month,0.14557,341,1881,0.12963,0.16151
1990,1st Quintile,Seldom,0.30751,726,1881,0.28665,0.32837
1990,1st Quintile,Never,0.19836,490,1881,0.18033,0.21638
1990,2nd Quintile,At least once per week,0.16135,384,1858,0.14462,0.17808
1990,2nd Quintile,At least once per month,0.19871,496,1858,0.18056,0.21686
1990,2nd Quintile,Seldom,0.30787,726,1858,0.28687,0.32886
1990,2nd Quintile,Never,0.10061,252,1858,0.08693,0.11429
1990,3rd Quintile,Daily,0.01578,48,1907,0.01018,0.02137
1990,3rd Quintile,At least once per week,0.20130,439,1907,0.18329,0.21930
1990,3rd Quintile,At least once per month,0.20280,501,1907,0.18474,0.22085
1990,3rd Quintile,Seldom,0.32003,699,1907,0.29908,0.34097
1990,3rd Quintile,Never,0.07865,220,1907,0.06657,0.09074
1990,4th Quintile,Daily,0.01926,42,1934,0.01313,0.02538
1990,4th Quintile,At least once per week,0.25143,534,1934,0.23209,0.27077
1990,4th Quintile,At least once per month,0.29467,641,1934,0.27434,0.31499
1990,4th Quintile,Seldom,0.28120,602,1934,0.26116,0.30124
1990,4th Quintile,Never,0.04139,115,1934,0.03251,0.05028
1990,5th Quintile,Daily,0.01803,50,1826,0.01193,0.02414
1990,5th Quintile,At least once per week,0.30310,613,1826,0.28201,0.32419
1990,5th Quintile,At least once per month,0.30657,621,1826,0.28542,0.32773
1990,5th Quintile,Seldom,0.25025,482,1826,0.23037,0.27012
1990,5th Quintile,Never,0.02351,60,1826,0.01656,0.03046
1995,1st Quintile,Daily,0.01627,56,2531,0.01134,0.02120
1995,1st Quintile,At least once per week,0.10231,336,2531,0.09050,0.11412
1995,1st Quintile,At least once per month,0.14125,469,2531,0.12768,0.15482
1995,1st Quintile,Seldom,0.28436,978,2531,0.26678,0.30194
1995,1st Quintile,Never,0.20065,692,2531,0.18504,0.21625
1995,2nd Quintile,Daily,0.00865,41,2853,0.00525,0.01204
1995,2nd Quintile,At least once per week,0.12829,432,2853,0.11602,0.14056
1995,2nd Quintile,At least once per month,0.17754,654,2853,0.16352,0.19157
1995,2nd Quintile,Seldom,0.31789,1220,2853,0.30080,0.33498
1995,2nd Quintile,Never,0.15052,506,2853,0.13739,0.16364
1995,3rd Quintile,Daily,0.01349,37,2704,0.00914,0.01784
1995,3rd Quintile,At least once per week,0.15784,543,2704,0.14410,0.17159
1995,3rd Quintile,At least once per month,0.21635,747,2704,0.20083,0.23188
1995,3rd Quintile,Seldom,0.31347,1063,2704,0.29598,0.33096
1995,3rd Quintile,Never,0.10530,314,2704,0.09373,0.11687
1995,4th Quintile,Daily,0.02088,57,2668,0.01545,0.02630
1995,4th Quintile,At least once per week,0.21824,638,2668,0.20256,0.23391
1995,4th Quintile,At least once per month,0.27418,879,2668,0.25725,0.29111
1995,4th Quintile,Seldom,0.27939,901,2668,0.26236,0.29642
1995,4th Quintile,Never,0.06676,193,2668,0.05729,0.07623
1995,5th Quintile,Daily,0.02576,71,2474,0.01952,0.03201
1995,5th Quintile,At least once per week,0.28378,754,2474,0.26601,0.30155
1995,5th Quintile,At least once per month,0.31381,886,2474,0.29552,0.33210
1995,5th Quintile,Seldom,0.23831,663,2474,0.22152,0.25510
1995,5th Quintile,Never,0.03261,100,2474,0.02561,0.03961
1998,1st Quintile,Daily,0.01026,33,2333,0.00617,0.01435
1998,1st Quintile,At least once per week,0.10973,337,2333,0.09704,0.12241
1998,1st Quintile,At least once per month,0.15367,477,2333,0.13903,0.16831
1998,1st Quintile,Seldom,0.30147,965,2333,0.28284,0.32009
1998,1st Quintile,Never,0.18040,521,2333,0.16480,0.19601
1998,2nd Quintile,Daily,0.00862,37,2562,0.00504,0.01220
1998,2nd Quintile,At least once per week,0.12637,400,2562,0.11350,0.13924
1998,2nd Quintile,At least once per month,0.17148,579,2562,0.15689,0.18608
1998,2nd Quintile,Seldom,0.34985,1191,2562,0.33138,0.36832
1998,2nd Quintile,Never,0.12029,355,2562,0.10769,0.13289
1998,3rd Quintile,At least once per week,0.16608,495,2508,0.15151,0.18064
1998,3rd Quintile,At least once per month,0.23890,754,2508,0.22221,0.25559
1998,3rd Quintile,Seldom,0.33003,1047,2508,0.31162,0.34844
1998,3rd Quintile,Never,0.07624,212,2508,0.06585,0.08663
1998,4th Quintile,Daily,0.01246,38,2593,0.00819,0.01673
1998,4th Quintile,At least once per week,0.22374,646,2593,0.20770,0.23979
1998,4th Quintile,At least once per month,0.27504,849,2593,0.25785,0.29223
1998,4th Quintile,Seldom,0.29676,891,2593,0.27918,0.31435
1998,4th Quintile,Never,0.06007,169,2593,0.05092,0.06921
1998,5th Quintile,Daily,0.02323,64,2275,0.01704,0.02942
1998,5th Quintile,At least once per week,0.26936,698,2275,0.25112,0.28759
1998,5th Quintile,At least once per month,0.33814,839,2275,0.31870,0.35758
1998,5th Quintile,Seldom,0.22765,608,2275,0.21041,0.24488
1998,5th Quintile,Never,0.02688,66,2275,0.02023,0.03352
2003,1st Quintile,Daily,0.01090,47,3392,0.00741,0.01440
2003,1st Quintile,At least once per week,0.11590,485,3392,0.10513,0.12668
2003,1st Quintile,At least once per month,0.15731,653,3392,0.14505,0.16956
2003,1st Quintile,Seldom,0.31677,1414,3392,0.30111,0.33243
2003,1st Quintile,Never,0.18654,793,3392,0.17343,0.19966
2003,2nd Quintile,At least once per week,0.12313,560,3839,0.11274,0.13353
2003,2nd Quintile,At least once per month,0.19593,967,3839,0.18338,0.20849
2003,2nd Quintile,Seldom,0.34709,1736,3839,0.33203,0.36216
2003,2nd Quintile,Never,0.12313,576,3839,0.11273,0.13352
2003,3rd Quintile,Daily,0.01171,46,4121,0.00843,0.01500
2003,3rd Quintile,At least once per week,0.15172,745,4121,0.14077,0.16268
2003,3rd Quintile,At least once per month,0.24854,1257,4121,0.23534,0.26173
2003,3rd Quintile,Seldom,0.32945,1715,4121,0.31510,0.34380
2003,3rd Quintile,Never,0.07752,358,4121,0.06935,0.08568
2003,4th Quintile,Daily,0.01185,66,4418,0.00866,0.01504
2003,4th Quintile,At least once per week,0.20524,1003,4418,0.19333,0.21715
2003,4th Quintile,At least once per month,0.27803,1460,4418,0.26481,0.29124
2003,4th Quintile,Seldom,0.30829,1628,4418,0.29467,0.32191
2003,4th Quintile,Never,0.05451,261,4418,0.04781,0.06120
2003,5th Quintile,Daily,0.02213,159,6328,0.01851,0.02576
2003,5th Quintile,At least once per week,0.28052,2135,6328,0.26945,0.29159
2003,5th Quintile,At least once per month,0.31427,2318,6328,0.30283,0.32571
2003,5th Quintile,Seldom,0.25324,1583,6328,0.24253,0.26396
2003,5th Quintile,Never,0.02573,133,6328,0.02182,0.02963
2008,1st Quintile,Daily,0.01036,34,3007,0.00674,0.01398
2008,1st Quintile,At least once per week,0.10866,385,3007,0.09754,0.11979
2008,1st Quintile,At least once per month,0.14967,574,3007,0.13692,0.16243
2008,1st Quintile,Seldom,0.33519,1295,3007,0.31832,0.35207
2008,1st Quintile,Never,0.19434,719,3007,0.18020,0.20849
2008,2nd Quintile,Daily,0.00873,31,3348,0.00558,0.01188
2008,2nd Quintile,At least once per week,0.11846,452,3348,0.10751,0.12940
2008,2nd Quintile,At least once per month,0.20787,828,3348,0.19412,0.22162
2008,2nd Quintile,Seldom,0.36078,1603,3348,0.34451,0.37705
2008,2nd Quintile,Never,0.11369,434,3348,0.10293,0.12444
2008,3rd Quintile,Daily,0.01180,41,3763,0.00835,0.01525
2008,3rd Quintile,At least once per week,0.15251,612,3763,0.14103,0.16400
2008,3rd Quintile,At least once per month,0.25116,1112,3763,0.23730,0.26502
2008,3rd Quintile,Seldom,0.35242,1728,3763,0.33715,0.36768
2008,3rd Quintile,Never,0.06227,270,3763,0.05455,0.06999
2008,4th Quintile,Daily,0.01278,42,3928,0.00927,0.01629
2008,4th Quintile,At least once per week,0.18573,832,3928,0.17357,0.19789
2008,4th Quintile,At least once per month,0.29527,1343,3928,0.28100,0.30953
2008,4th Quintile,Seldom,0.31721,1503,3928,0.30265,0.33177
2008,4th Quintile,Never,0.04679,208,3928,0.04019,0.05340
2008,5th Quintile,Daily,0.02226,114,5228,0.01826,0.02626
2008,5th Quintile,At least once per week,0.29668,1720,5228,0.28430,0.30907
2008,5th Quintile,At least once per month,0.31454,1916,5228,0.30195,0.32713
2008,5th Quintile,Seldom,0.23674,1353,5228,0.22521,0.24826
2008,5th Quintile,Never,0.02370,125,5228,0.01958,0.02782
2013,1st Quintile,Daily,0.00839,59,5125,0.00589,0.01088
2013,1st Quintile,At least once per week,0.11948,661,5125,0.11060,0.12836
2013,1st Quintile,At least once per month,0.16799,1176,5125,0.15776,0.17823
2013,1st Quintile,Seldom,0.32662,2191,5125,0.31378,0.33946
2013,1st Quintile,Never,0.17917,1038,5125,0.16867,0.18967
2013,2nd Quintile,Daily,0.00935,46,5149,0.00672,0.01198
2013,2nd Quintile,At least once per week,0.13267,769,5149,0.12341,0.14194
2013,2nd Quintile,At least once per month,0.25732,1540,5149,0.24538,0.26926
2013,2nd Quintile,Seldom,0.33040,2281,5149,0.31755,0.34324
2013,2nd Quintile,Never,0.09420,513,5149,0.08622,0.10218
2013,3rd Quintile,Daily,0.00931,50,4893,0.00662,0.01200
2013,3rd Quintile,At least once per week,0.17505,924,4893,0.16440,0.18570
2013,3rd Quintile,At least once per month,0.28029,1732,4893,0.26771,0.29288
2013,3rd Quintile,Seldom,0.31242,1885,4893,0.29944,0.32541
2013,3rd Quintile,Never,0.05763,302,4893,0.05110,0.06416
2013,4th Quintile,Daily,0.01580,71,4857,0.01229,0.01930
2013,4th Quintile,At least once per week,0.22123,1141,4857,0.20955,0.23290
2013,4th Quintile,At least once per month,0.30597,1826,4857,0.29301,0.31893
2013,4th Quintile,Seldom,0.27386,1634,4857,0.26131,0.28640
2013,4th Quintile,Never,0.04110,185,4857,0.03552,0.04668
2013,5th Quintile,Daily,0.02522,140,5435,0.02105,0.02939
2013,5th Quintile,At least once per week,0.30221,1815,5435,0.29000,0.31442
2013,5th Quintile,At least once per month,0.34244,2147,5435,0.32982,0.35505
2013,5th Quintile,Seldom,0.20965,1253,5435,0.19883,0.22047
2013,5th Quintile,Never,0.01116,80,5435,0.00837,0.01395
2017,1st Quintile,Daily,0.00064,63,1512,-0.00064,0.00191
2017,1st Quintile,At least once per week,0.00423,320,1512,0.00096,0.00751
2017,1st Quintile,At least once per month,0.00393,393,1512,0.00078,0.00709
2017,1st Quintile,Seldom,0.00292,312,1512,0.00020,0.00564
2017,1st Quintile,Never,0.00337,424,1512,0.00045,0.00629
2017,2nd Quintile,At least once per month,0.00029,40,40,-0.00502,0.00559
2018,1st Quintile,Daily,0.00048,49,2411,-0.00039,0.00136
2018,1st Quintile,At least once per week,0.00682,592,2411,0.00353,0.01010
2018,1st Quintile,At least once per month,0.00671,762,2411,0.00345,0.00997
2018,1st Quintile,Seldom,0.00457,503,2411,0.00188,0.00726
2018,1st Quintile,Never,0.00410,505,2411,0.00155,0.00665
2018,2nd Quintile,At least once per week,0.00050,51,200,-0.00260,0.00359
2018,2nd Quintile,At least once per month,0.00062,64,200,-0.00283,0.00406
2018,2nd Quintile,Seldom,0.00030,44,200,-0.00211,0.00272
2018,2nd Quintile,Never,0.00039,41,200,-0.00236,0.00315
2019,1st Quintile,Daily,0.01437,105,7031,0.01159,0.01716
2019,1st Quintile,At least once per week,0.16197,1461,7031,0.15336,0.17059
2019,1st Quintile,At least once per month,0.21705,2058,7031,0.20741,0.22668
2019,1st Quintile,Seldom,0.26159,2157,7031,0.25131,0.27186
2019,1st Quintile,Never,0.13123,1250,7031,0.12334,0.13912
2019,2nd Quintile,Daily,0.01010,67,4921,0.00730,0.01289
2019,2nd Quintile,At least once per week,0.16969,941,4921,0.15920,0.18018
2019,2nd Quintile,At least once per month,0.27399,1705,4921,0.26153,0.28646
