year,regtyp,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Daily,0.01238,153,7469,0.00988,0.01489
1990,Urban regions,At least once per week,0.18851,1806,7469,0.17964,0.19738
1990,Urban regions,At least once per month,0.21022,2065,7469,0.20097,0.21946
1990,Urban regions,Seldom,0.25730,2520,7469,0.24738,0.26721
1990,Urban regions,Never,0.07796,925,7469,0.07188,0.08404
1990,Rural regions,Daily,0.01025,48,1967,0.00580,0.01470
1990,Rural regions,At least once per week,0.11073,454,1967,0.09686,0.12460
1990,Rural regions,At least once per month,0.12367,535,1967,0.10912,0.13822
1990,Rural regions,Seldom,0.18224,716,1967,0.16518,0.19930
1990,Rural regions,Never,0.05461,214,1967,0.04456,0.06465
1995,Urban regions,Daily,0.01711,176,8687,0.01438,0.01983
1995,Urban regions,At least once per week,0.19541,1955,8687,0.18707,0.20375
1995,Urban regions,At least once per month,0.23022,2436,8687,0.22136,0.23907
1995,Urban regions,Seldom,0.27779,2989,8687,0.26837,0.28721
1995,Urban regions,Never,0.10206,1131,8687,0.09570,0.10843
1995,Rural regions,Daily,0.01678,86,4547,0.01305,0.02052
1995,Rural regions,At least once per week,0.14109,748,4547,0.13097,0.15121
1995,Rural regions,At least once per month,0.21245,1199,4547,0.20056,0.22434
1995,Rural regions,Seldom,0.30656,1840,4547,0.29316,0.31996
1995,Rural regions,Never,0.13033,674,4547,0.12054,0.14011
1998,Urban regions,Daily,0.01515,172,9240,0.01266,0.01764
1998,Urban regions,At least once per week,0.20058,2166,9240,0.19241,0.20875
1998,Urban regions,At least once per month,0.25033,2778,9240,0.24150,0.25917
1998,Urban regions,Seldom,0.27386,3170,9240,0.26477,0.28295
1998,Urban regions,Never,0.08685,954,9240,0.08111,0.09259
1998,Rural regions,Daily,0.01023,63,4958,0.00743,0.01303
1998,Rural regions,At least once per week,0.13801,822,4958,0.12841,0.14761
1998,Rural regions,At least once per month,0.21187,1301,4958,0.20050,0.22325
1998,Rural regions,Seldom,0.34569,2189,4958,0.33245,0.35893
1998,Rural regions,Never,0.10782,583,4958,0.09919,0.11645
2003,Urban regions,Daily,0.01358,251,14709,0.01171,0.01545
2003,Urban regions,At least once per week,0.19592,3677,14709,0.18950,0.20233
2003,Urban regions,At least once per month,0.24985,4656,14709,0.24285,0.25684
2003,Urban regions,Seldom,0.28486,4850,14709,0.27757,0.29216
2003,Urban regions,Never,0.08589,1275,14709,0.08136,0.09042
2003,Rural regions,Daily,0.01099,95,7420,0.00861,0.01336
2003,Rural regions,At least once per week,0.13103,1253,7420,0.12335,0.13871
2003,Rural regions,At least once per month,0.21480,1999,7420,0.20545,0.22414
2003,Rural regions,Seldom,0.36705,3227,7420,0.35608,0.37802
2003,Rural regions,Never,0.10982,846,7420,0.10270,0.11693
2008,Urban regions,Daily,0.01346,173,12635,0.01145,0.01547
2008,Urban regions,At least once per week,0.19286,3004,12635,0.18598,0.19974
2008,Urban regions,At least once per month,0.25090,3971,12635,0.24334,0.25846
2008,Urban regions,Seldom,0.29864,4477,12635,0.29066,0.30662
2008,Urban regions,Never,0.07903,1010,12635,0.07433,0.08374
2008,Rural regions,Daily,0.01260,89,6641,0.00991,0.01528
2008,Rural regions,At least once per week,0.12854,998,6641,0.12049,0.13659
2008,Rural regions,At least once per month,0.22811,1802,6641,0.21802,0.23821
2008,Rural regions,Seldom,0.36749,3006,6641,0.35589,0.37909
2008,Rural regions,Never,0.10769,746,6641,0.10023,0.11514
2013,Urban regions,Daily,0.01400,259,16157,0.01219,0.01582
2013,Urban regions,At least once per week,0.18935,3814,16157,0.18331,0.19539
2013,Urban regions,At least once per month,0.25008,5524,16157,0.24340,0.25676
2013,Urban regions,Seldom,0.23530,5406,16157,0.22876,0.24184
2013,Urban regions,Never,0.05640,1154,16157,0.05284,0.05996
2013,Rural regions,Daily,0.00952,107,9306,0.00755,0.01149
2013,Rural regions,At least once per week,0.14443,1497,9306,0.13729,0.15158
2013,Rural regions,At least once per month,0.24186,2898,9306,0.23316,0.25056
2013,Rural regions,Seldom,0.31381,3839,9306,0.30438,0.32323
2013,Rural regions,Never,0.08815,965,9306,0.08239,0.09391
2017,Urban regions,Daily,0.00018,91,2754,-0.00032,0.00069
2017,Urban regions,At least once per week,0.00136,558,2754,-0.00002,0.00274
2017,Urban regions,At least once per month,0.00145,660,2754,0.00003,0.00287
2017,Urban regions,Seldom,0.00103,575,2754,-0.00017,0.00223
2017,Urban regions,Never,0.00164,870,2754,0.00013,0.00315
2017,Rural regions,At least once per week,0.00101,200,1187,-0.00080,0.00283
2017,Rural regions,At least once per month,0.00107,239,1187,-0.00079,0.00292
2017,Rural regions,Seldom,0.00115,261,1187,-0.00078,0.00307
2017,Rural regions,Never,0.00210,487,1187,-0.00050,0.00471
2018,Urban regions,Daily,0.00013,46,2315,-0.00034,0.00061
2018,Urban regions,At least once per week,0.00176,587,2315,0.00005,0.00347
2018,Urban regions,At least once per month,0.00182,768,2315,0.00008,0.00355
2018,Urban regions,Seldom,0.00118,488,2315,-0.00022,0.00257
2018,Urban regions,Never,0.00098,426,2315,-0.00030,0.00225
2018,Rural regions,At least once per week,0.00150,198,839,-0.00112,0.00412
2018,Rural regions,At least once per month,0.00123,232,839,-0.00114,0.00360
2018,Rural regions,Seldom,0.00091,173,839,-0.00113,0.00295
2018,Rural regions,Never,0.00119,236,839,-0.00114,0.00353
2019,Urban regions,Daily,0.01452,386,18610,0.01280,0.01624
2019,Urban regions,At least once per week,0.23961,5444,18610,0.23348,0.24574
2019,Urban regions,At least once per month,0.31367,6746,18610,0.30700,0.32034
2019,Urban regions,Seldom,0.21622,4742,18610,0.21030,0.22213
2019,Urban regions,Never,0.05099,1292,18610,0.04783,0.05415
2019,Rural regions,Daily,0.00897,108,9626,0.00709,0.01086
2019,Rural regions,At least once per week,0.17192,1907,9626,0.16438,0.17946
2019,Rural regions,At least once per month,0.29699,3583,9626,0.28787,0.30612
2019,Rural regions,Seldom,0.29221,3171,9626,0.28312,0.30129
2019,Rural regions,Never,0.06743,857,9626,0.06242,0.07244
