year,migback,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Daily,0.01058,103,6623,0.00811,0.01304
1990,No migration background,At least once per week,0.16757,1707,6623,0.15858,0.17657
1990,No migration background,At least once per month,0.18588,1961,6623,0.17651,0.19525
1990,No migration background,Seldom,0.22997,2321,6623,0.21983,0.24010
1990,No migration background,Never,0.06225,531,6623,0.05643,0.06807
1990,Direct migration background,Daily,0.02316,78,2521,0.01728,0.02903
1990,Direct migration background,At least once per week,0.15703,442,2521,0.14282,0.17123
1990,Direct migration background,At least once per month,0.19899,570,2521,0.18340,0.21458
1990,Direct migration background,Seldom,0.33137,850,2521,0.31299,0.34975
1990,Direct migration background,Never,0.17508,581,2521,0.16024,0.18991
1990,Indirect migration background,At least once per week,0.06592,111,245,0.03479,0.09706
1990,Indirect migration background,At least once per month,0.04168,69,245,0.01660,0.06675
1990,Indirect migration background,Seldom,0.05423,65,245,0.02581,0.08264
1995,No migration background,Daily,0.01694,178,9962,0.01440,0.01947
1995,No migration background,At least once per week,0.18315,2064,9962,0.17556,0.19075
1995,No migration background,At least once per month,0.23461,2880,9962,0.22629,0.24293
1995,No migration background,Seldom,0.29376,3735,9962,0.28482,0.30271
1995,No migration background,Never,0.09944,1105,9962,0.09356,0.10531
1995,Direct migration background,Daily,0.01853,59,2771,0.01351,0.02355
1995,Direct migration background,At least once per week,0.16607,445,2771,0.15221,0.17993
1995,Direct migration background,At least once per month,0.20258,610,2771,0.18761,0.21755
1995,Direct migration background,Seldom,0.32179,981,2771,0.30439,0.33919
1995,Direct migration background,Never,0.22659,676,2771,0.21100,0.24218
1995,Indirect migration background,At least once per week,0.11671,194,452,0.08707,0.14634
1995,Indirect migration background,At least once per month,0.10036,145,452,0.07263,0.12809
1995,Indirect migration background,Seldom,0.07050,113,452,0.04688,0.09413
1998,No migration background,Daily,0.01239,157,11210,0.01034,0.01444
1998,No migration background,At least once per week,0.18610,2351,11210,0.17890,0.19331
1998,No migration background,At least once per month,0.24745,3369,11210,0.23946,0.25544
1998,No migration background,Seldom,0.30284,4306,11210,0.29433,0.31134
1998,No migration background,Never,0.08597,1027,11210,0.08078,0.09116
1998,Direct migration background,Daily,0.02217,52,2391,0.01626,0.02807
1998,Direct migration background,At least once per week,0.15255,388,2391,0.13813,0.16696
1998,Direct migration background,At least once per month,0.23532,552,2391,0.21831,0.25232
1998,Direct migration background,Seldom,0.35062,917,2391,0.33149,0.36975
1998,Direct migration background,Never,0.18171,482,2391,0.16625,0.19717
1998,Indirect migration background,At least once per week,0.16021,249,543,0.12933,0.19109
1998,Indirect migration background,At least once per month,0.10545,158,543,0.07960,0.13131
1998,Indirect migration background,Seldom,0.09082,136,543,0.06662,0.11501
2003,No migration background,Daily,0.01276,279,18744,0.01116,0.01437
2003,No migration background,At least once per week,0.18303,4252,18744,0.17750,0.18857
2003,No migration background,At least once per month,0.25226,5820,18744,0.24604,0.25848
2003,No migration background,Seldom,0.31660,6841,18744,0.30994,0.32326
2003,No migration background,Never,0.08525,1552,18744,0.08126,0.08925
2003,Direct migration background,Daily,0.01682,46,2611,0.01189,0.02176
2003,Direct migration background,At least once per week,0.13995,396,2611,0.12664,0.15326
2003,Direct migration background,At least once per month,0.21319,608,2611,0.19748,0.22891
2003,Direct migration background,Seldom,0.38581,1037,2611,0.36714,0.40449
2003,Direct migration background,Never,0.19065,524,2611,0.17558,0.20572
2003,Indirect migration background,At least once per week,0.13946,282,753,0.11470,0.16422
2003,Indirect migration background,At least once per month,0.11110,227,753,0.08864,0.13356
2003,Indirect migration background,Seldom,0.10716,199,753,0.08505,0.12927
2003,Indirect migration background,Never,0.02792,45,753,0.01615,0.03970
2008,No migration background,Daily,0.01262,212,16615,0.01092,0.01431
2008,No migration background,At least once per week,0.17837,3489,16615,0.17255,0.18419
2008,No migration background,At least once per month,0.25691,5107,16615,0.25027,0.26355
2008,No migration background,Seldom,0.32368,6426,16615,0.31656,0.33079
2008,No migration background,Never,0.08171,1381,16615,0.07755,0.08588
2008,Direct migration background,Daily,0.01772,32,1898,0.01179,0.02366
2008,Direct migration background,At least once per week,0.13436,272,1898,0.11901,0.14971
2008,Direct migration background,At least once per month,0.21788,425,1898,0.19931,0.23646
2008,Direct migration background,Seldom,0.42501,837,1898,0.40276,0.44725
2008,Direct migration background,Never,0.17897,332,1898,0.16172,0.19622
2008,Indirect migration background,At least once per week,0.16321,241,745,0.13666,0.18977
2008,Indirect migration background,At least once per month,0.14304,241,745,0.11788,0.16820
2008,Indirect migration background,Seldom,0.14405,220,745,0.11882,0.16929
2008,Indirect migration background,Never,0.02848,43,745,0.01653,0.04044
2013,No migration background,Daily,0.01319,290,21579,0.01167,0.01471
2013,No migration background,At least once per week,0.19512,4517,21579,0.18983,0.20041
2013,No migration background,At least once per month,0.27811,7283,21579,0.27213,0.28408
2013,No migration background,Seldom,0.29029,7845,21579,0.28424,0.29635
2013,No migration background,Never,0.06875,1644,21579,0.06537,0.07212
2013,Direct migration background,Daily,0.01113,47,2756,0.00721,0.01505
2013,Direct migration background,At least once per week,0.10061,443,2756,0.08937,0.11184
2013,Direct migration background,At least once per month,0.15154,770,2756,0.13815,0.16493
2013,Direct migration background,Seldom,0.19322,1069,2756,0.17848,0.20797
2013,Direct migration background,Never,0.08992,427,2756,0.07924,0.10061
2013,Indirect migration background,At least once per week,0.08735,351,1099,0.07065,0.10405
2013,Indirect migration background,At least once per month,0.09214,369,1099,0.07504,0.10925
2013,Indirect migration background,Seldom,0.07549,331,1099,0.05986,0.09112
2013,Indirect migration background,Never,0.01182,48,1099,0.00543,0.01821
2017,Direct migration background,Daily,0.00134,117,3967,0.00020,0.00248
2017,Direct migration background,At least once per week,0.00908,758,3967,0.00613,0.01204
2017,Direct migration background,At least once per month,0.00965,899,3967,0.00660,0.01269
2017,Direct migration background,Seldom,0.00776,836,3967,0.00502,0.01049
2017,Direct migration background,Never,0.01296,1357,3967,0.00944,0.01648
2018,Direct migration background,Daily,0.00088,60,3168,-0.00015,0.00192
2018,Direct migration background,At least once per week,0.01185,785,3168,0.00808,0.01562
2018,Direct migration background,At least once per month,0.01153,1000,3168,0.00782,0.01525
2018,Direct migration background,Seldom,0.00771,661,3168,0.00466,0.01075
2018,Direct migration background,Never,0.00737,662,3168,0.00439,0.01034
2019,No migration background,Daily,0.01240,321,20156,0.01087,0.01392
2019,No migration background,At least once per week,0.22026,5303,20156,0.21454,0.22598
2019,No migration background,At least once per month,0.32181,7590,20156,0.31536,0.32826
2019,No migration background,Seldom,0.24651,5796,20156,0.24056,0.25246
2019,No migration background,Never,0.05617,1146,20156,0.05299,0.05935
2019,Direct migration background,Daily,0.01643,140,7056,0.01346,0.01940
2019,Direct migration background,At least once per week,0.23009,1698,7056,0.22027,0.23991
2019,Direct migration background,At least once per month,0.31730,2349,7056,0.30644,0.32816
2019,Direct migration background,Seldom,0.29551,1903,7056,0.28486,0.30616
2019,Direct migration background,Never,0.08308,966,7056,0.07664,0.08952
2019,Indirect migration background,Daily,0.01295,51,1578,0.00737,0.01853
2019,Indirect migration background,At least once per week,0.20323,578,1578,0.18337,0.22309
2019,Indirect migration background,At least once per month,0.18443,560,1578,0.16529,0.20357
2019,Indirect migration background,Seldom,0.09905,334,1578,0.08430,0.11379
2019,Indirect migration background,Never,0.01319,55,1578,0.00756,0.01882
