year,sampreg,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.00947,128,1837,0.00504,0.01390
2009,West,No,0.11316,1709,1837,0.09867,0.12765
2009,East,Yes,0.00959,38,379,-0.00023,0.01942
2009,East,No,0.07626,341,379,0.04951,0.10302
2014,West,Yes,0.00771,209,2850,0.00450,0.01093
2014,West,No,0.10136,2641,2850,0.09027,0.11244
2014,East,No,0.06978,411,411,0.04512,0.09445
2019,West,Yes,0.00790,203,2902,0.00468,0.01112
2019,West,No,0.10414,2699,2902,0.09302,0.11525
2019,East,No,0.06624,497,497,0.04435,0.08812
