year,age_gr,pgisced97,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Pre-primary Level,No,0.14485,87,87,0.07046,0.21923
2009,17-29 y.,Lower Secondary Level,No,0.15720,87,87,0.08027,0.23413
2009,17-29 y.,Upper Secondary Level,Yes,0.03033,37,342,0.01213,0.04854
2009,17-29 y.,Upper Secondary Level,No,0.24945,305,342,0.20353,0.29538
2009,17-29 y.,Post-secondary Non-tertiary Level,No,0.28354,47,47,0.15329,0.41379
2009,17-29 y.,Second Stage of Tertiary Education,No,0.33675,82,82,0.23383,0.43967
2009,30-45 y.,Lower Secondary Level,No,0.26213,55,55,0.14482,0.37943
2009,30-45 y.,Upper Secondary Level,No,0.15255,287,287,0.11088,0.19422
2009,30-45 y.,Post-secondary Non-tertiary Level,No,0.13373,58,58,0.04537,0.22209
2009,30-45 y.,First Stage of Tertiary Education,No,0.14255,49,49,0.04364,0.24145
2009,30-45 y.,Second Stage of Tertiary Education,No,0.21012,229,229,0.15723,0.26300
2009,46-65 y.,Lower Secondary Level,No,0.10957,41,41,0.01277,0.20637
2009,46-65 y.,Upper Secondary Level,No,0.09769,260,260,0.06153,0.13385
2009,46-65 y.,First Stage of Tertiary Education,No,0.09142,46,46,0.00721,0.17562
2009,46-65 y.,Second Stage of Tertiary Education,No,0.13161,194,194,0.08392,0.17931
2009,66 and older,Upper Secondary Level,No,0.01475,33,33,-0.02702,0.05653
2009,66 and older,Second Stage of Tertiary Education,No,0.03591,31,31,-0.03067,0.10250
2014,17-29 y.,Pre-primary Level,No,0.19233,140,140,0.12681,0.25786
2014,17-29 y.,Lower Secondary Level,No,0.17501,154,154,0.11480,0.23522
2014,17-29 y.,Upper Secondary Level,Yes,0.02362,59,454,0.00963,0.03760
2014,17-29 y.,Upper Secondary Level,No,0.23637,395,454,0.19725,0.27549
2014,17-29 y.,Post-secondary Non-tertiary Level,No,0.21148,44,44,0.08942,0.33354
2014,17-29 y.,Second Stage of Tertiary Education,No,0.21780,95,95,0.13436,0.30125
2014,30-45 y.,Lower Secondary Level,No,0.13051,99,99,0.06382,0.19721
2014,30-45 y.,Upper Secondary Level,No,0.11516,412,412,0.08430,0.14602
2014,30-45 y.,Post-secondary Non-tertiary Level,No,0.11183,110,110,0.05266,0.17100
2014,30-45 y.,First Stage of Tertiary Education,No,0.09303,38,38,-0.00057,0.18662
2014,30-45 y.,Second Stage of Tertiary Education,No,0.21059,407,407,0.17093,0.25025
2014,46-65 y.,Lower Secondary Level,No,0.11791,65,65,0.03890,0.19693
2014,46-65 y.,Upper Secondary Level,No,0.09156,371,371,0.06218,0.12095
2014,46-65 y.,Post-secondary Non-tertiary Level,No,0.13051,74,74,0.05323,0.20779
2014,46-65 y.,First Stage of Tertiary Education,No,0.09812,63,63,0.02407,0.17217
2014,46-65 y.,Second Stage of Tertiary Education,No,0.10504,254,254,0.06726,0.14282
2014,66 and older,Upper Secondary Level,No,0.01966,53,53,-0.01807,0.05740
2014,66 and older,Second Stage of Tertiary Education,No,0.04416,42,42,-0.01873,0.10705
2019,17-29 y.,Pre-primary Level,No,0.20521,104,104,0.12722,0.28321
2019,17-29 y.,Lower Secondary Level,No,0.19106,155,155,0.12897,0.25316
2019,17-29 y.,Upper Secondary Level,Yes,0.03492,56,483,0.01853,0.05131
2019,17-29 y.,Upper Secondary Level,No,0.24901,427,483,0.21041,0.28762
2019,17-29 y.,Post-secondary Non-tertiary Level,No,0.17904,60,60,0.08121,0.27686
2019,17-29 y.,Second Stage of Tertiary Education,No,0.28460,121,121,0.20387,0.36533
2019,30-45 y.,Lower Secondary Level,No,0.11569,78,78,0.04425,0.18714
2019,30-45 y.,Upper Secondary Level,No,0.14158,316,316,0.10308,0.18008
2019,30-45 y.,Post-secondary Non-tertiary Level,No,0.16220,108,108,0.09235,0.23205
2019,30-45 y.,First Stage of Tertiary Education,No,0.10671,32,32,-0.00198,0.21540
2019,30-45 y.,Second Stage of Tertiary Education,No,0.19001,397,397,0.15137,0.22865
2019,46-65 y.,Lower Secondary Level,No,0.09148,65,65,0.02085,0.16211
2019,46-65 y.,Upper Secondary Level,No,0.08125,406,406,0.05464,0.10786
2019,46-65 y.,Post-secondary Non-tertiary Level,No,0.12875,131,131,0.07118,0.18632
2019,46-65 y.,First Stage of Tertiary Education,No,0.05746,75,75,0.00444,0.11049
2019,46-65 y.,Second Stage of Tertiary Education,No,0.11498,387,387,0.08316,0.14681
2019,66 and older,Upper Secondary Level,No,0.02689,65,65,-0.01274,0.06653
2019,66 and older,Second Stage of Tertiary Education,No,0.04048,75,75,-0.00442,0.08539
