year,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.00949,166,2216,0.00545,0.01353
2009,No,0.10643,2050,2216,0.09359,0.11928
2014,Yes,0.00716,236,3288,0.00428,0.01005
2014,No,0.09583,3052,3288,0.08577,0.10589
2019,Yes,0.00714,227,3444,0.00433,0.00995
2019,No,0.09791,3217,3444,0.08799,0.10784
