year,age_gr,bula_h,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Lower Saxony,No,0.25129,71,71,0.14968,0.35291
2009,17-29 y.,North Rhine-Westphalia,No,0.21149,124,124,0.13932,0.28366
2009,17-29 y.,Hesse,No,0.24172,52,52,0.12421,0.35922
2009,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.20476,37,37,0.07294,0.33658
2009,17-29 y.,Baden-Wuerttemberg,No,0.20880,89,89,0.12387,0.29372
2009,17-29 y.,Bavaria,No,0.26317,119,119,0.18371,0.34262
2009,17-29 y.,Berlin,No,0.26075,40,40,0.12295,0.39854
2009,17-29 y.,Saxony,No,0.16552,44,44,0.05444,0.27660
2009,30-45 y.,Lower Saxony,No,0.12191,57,57,0.03622,0.20760
2009,30-45 y.,North Rhine-Westphalia,No,0.15363,149,149,0.09554,0.21173
2009,30-45 y.,Hesse,No,0.17474,55,55,0.07346,0.27603
2009,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.17261,37,37,0.04916,0.29606
2009,30-45 y.,Baden-Wuerttemberg,No,0.18457,95,95,0.10614,0.26300
2009,30-45 y.,Bavaria,No,0.19431,110,110,0.12003,0.26859
2009,30-45 y.,Berlin,No,0.30479,48,48,0.17318,0.43639
2009,30-45 y.,Saxony,No,0.12917,38,38,0.02110,0.23724
2009,46-65 y.,Lower Saxony,No,0.09291,49,49,0.01078,0.17504
2009,46-65 y.,North Rhine-Westphalia,No,0.09754,109,109,0.04158,0.15349
2009,46-65 y.,Hesse,No,0.17509,64,64,0.08124,0.26893
2009,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.09142,33,33,-0.00844,0.19127
2009,46-65 y.,Baden-Wuerttemberg,No,0.12553,86,86,0.05510,0.19597
2009,46-65 y.,Bavaria,No,0.14977,110,110,0.08278,0.21676
2014,17-29 y.,Schleswig-Holstein,No,0.15737,32,32,0.02918,0.28556
2014,17-29 y.,Lower Saxony,No,0.18763,107,107,0.11330,0.26195
2014,17-29 y.,North Rhine-Westphalia,No,0.20236,203,203,0.14695,0.25776
2014,17-29 y.,Hesse,No,0.25645,77,77,0.15828,0.35463
2014,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.21094,45,45,0.09039,0.33149
2014,17-29 y.,Baden-Wuerttemberg,No,0.23447,130,130,0.16136,0.30759
2014,17-29 y.,Bavaria,Yes,0.04756,37,206,0.01842,0.07669
2014,17-29 y.,Bavaria,No,0.21606,169,206,0.15972,0.27240
2014,17-29 y.,Berlin,No,0.25869,48,48,0.13350,0.38389
2014,17-29 y.,Saxony,No,0.18809,31,31,0.04825,0.32793
2014,30-45 y.,Schleswig-Holstein,No,0.16559,51,51,0.06256,0.26862
2014,30-45 y.,Lower Saxony,No,0.11772,94,94,0.05222,0.18323
2014,30-45 y.,North Rhine-Westphalia,No,0.11486,220,220,0.07263,0.15709
2014,30-45 y.,Hesse,No,0.18067,85,85,0.09839,0.26295
2014,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.10112,53,53,0.01917,0.18306
2014,30-45 y.,Baden-Wuerttemberg,No,0.16005,163,163,0.10359,0.21651
2014,30-45 y.,Bavaria,No,0.15575,194,194,0.10459,0.20691
2014,30-45 y.,Berlin,No,0.26346,76,76,0.16376,0.36316
2014,30-45 y.,Saxony,No,0.12873,41,41,0.02494,0.23251
2014,46-65 y.,Lower Saxony,No,0.11885,103,103,0.05605,0.18166
2014,46-65 y.,North Rhine-Westphalia,No,0.09787,162,162,0.05197,0.14377
2014,46-65 y.,Hesse,No,0.14703,92,92,0.07427,0.21979
2014,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.07961,46,46,0.00052,0.15869
2014,46-65 y.,Baden-Wuerttemberg,No,0.11551,122,122,0.05856,0.17246
2014,46-65 y.,Bavaria,No,0.11873,161,161,0.06861,0.16886
2014,46-65 y.,Berlin,No,0.12549,34,34,0.01246,0.23852
2014,66 and older,North Rhine-Westphalia,No,0.04769,37,37,-0.02192,0.11731
2019,17-29 y.,Schleswig-Holstein,No,0.21005,42,42,0.08536,0.33473
2019,17-29 y.,Lower Saxony,No,0.21336,97,97,0.13141,0.29531
2019,17-29 y.,North Rhine-Westphalia,No,0.23991,252,252,0.18708,0.29274
2019,17-29 y.,Hesse,No,0.18237,80,80,0.09722,0.26752
2019,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.21027,46,46,0.09121,0.32933
2019,17-29 y.,Baden-Wuerttemberg,No,0.27591,122,122,0.19626,0.35555
2019,17-29 y.,Bavaria,Yes,0.03710,33,167,0.00835,0.06585
2019,17-29 y.,Bavaria,No,0.19724,134,167,0.13670,0.25777
2019,17-29 y.,Berlin,No,0.34524,45,45,0.20476,0.48573
2019,17-29 y.,Saxony,No,0.17231,43,43,0.05810,0.28653
2019,17-29 y.,Saxony-Anhalt,No,0.24629,31,31,0.09212,0.40047
2019,30-45 y.,Schleswig-Holstein,No,0.17826,50,50,0.07110,0.28542
2019,30-45 y.,Lower Saxony,No,0.09591,58,58,0.01946,0.17235
2019,30-45 y.,North Rhine-Westphalia,No,0.16006,207,207,0.10999,0.21013
2019,30-45 y.,Hesse,No,0.18331,68,68,0.09066,0.27596
2019,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.16169,43,43,0.05034,0.27304
2019,30-45 y.,Baden-Wuerttemberg,No,0.18808,129,129,0.12038,0.25578
2019,30-45 y.,Bavaria,No,0.15179,159,159,0.09584,0.20774
2019,30-45 y.,Berlin,No,0.29110,93,93,0.19828,0.38393
2019,30-45 y.,Saxony,No,0.09117,48,48,0.00888,0.17347
2019,30-45 y.,Thuringa,No,0.12178,31,31,0.00475,0.23881
2019,46-65 y.,Schleswig-Holstein,No,0.07038,33,33,-0.01825,0.15900
2019,46-65 y.,Lower Saxony,No,0.07649,89,89,0.02096,0.13202
2019,46-65 y.,North Rhine-Westphalia,No,0.10013,252,252,0.06300,0.13727
2019,46-65 y.,Hesse,No,0.13837,106,106,0.07232,0.20442
2019,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.08846,60,60,0.01600,0.16092
2019,46-65 y.,Baden-Wuerttemberg,No,0.10780,131,131,0.05449,0.16112
2019,46-65 y.,Bavaria,No,0.11401,187,187,0.06833,0.15968
2019,46-65 y.,Berlin,No,0.11059,52,52,0.02451,0.19667
2019,46-65 y.,Saxony,No,0.04718,47,47,-0.01409,0.10845
2019,66 and older,Bavaria,No,0.02597,33,33,-0.02914,0.08109
