year,bula_h,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Urban regions,No,0.83768,57,57,0.74110,0.93426
1996,Schleswig-Holstein,Rural regions,No,0.86910,68,68,0.78833,0.94986
1996,Hamburg,Urban regions,No,0.94833,78,78,0.89889,0.99777
1996,Lower Saxony,Urban regions,Yes,0.12676,35,278,0.08758,0.16594
1996,Lower Saxony,Urban regions,No,0.87324,243,278,0.83406,0.91242
1996,Lower Saxony,Rural regions,Yes,0.15388,41,253,0.10933,0.19843
1996,Lower Saxony,Rural regions,No,0.84612,212,253,0.80157,0.89067
1996,Bremen,Urban regions,No,0.93803,49,49,0.86982,1.00624
1996,North Rhine-Westphalia,Urban regions,Yes,0.09337,109,1257,0.07727,0.10946
1996,North Rhine-Westphalia,Urban regions,No,0.90663,1148,1257,0.89054,0.92273
1996,North Rhine-Westphalia,Rural regions,No,0.96739,31,31,0.90384,1.03095
1996,Hesse,Urban regions,Yes,0.09527,39,393,0.06621,0.12433
1996,Hesse,Urban regions,No,0.90473,354,393,0.87567,0.93379
1996,Hesse,Rural regions,No,0.86847,65,65,0.78566,0.95127
1996,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.12601,36,288,0.08762,0.16440
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.87399,252,288,0.83560,0.91238
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.82743,48,48,0.71939,0.93546
1996,Baden-Wuerttemberg,Urban regions,Yes,0.11070,69,734,0.08799,0.13341
1996,Baden-Wuerttemberg,Urban regions,No,0.88930,665,734,0.86659,0.91201
1996,Baden-Wuerttemberg,Rural regions,No,0.90621,96,96,0.84759,0.96484
1996,Bavaria,Urban regions,Yes,0.11137,43,441,0.08198,0.14077
1996,Bavaria,Urban regions,No,0.88863,398,441,0.85923,0.91802
1996,Bavaria,Rural regions,Yes,0.13424,52,420,0.10160,0.16688
1996,Bavaria,Rural regions,No,0.86576,368,420,0.83312,0.89840
1996,Berlin,Urban regions,No,0.91312,284,284,0.88031,0.94594
1996,Brandenburg,Rural regions,Yes,0.21567,64,282,0.16758,0.26376
1996,Brandenburg,Rural regions,No,0.78433,218,282,0.73624,0.83242
1996,Mecklenburg-Western Pomerania,Rural regions,Yes,0.17738,34,173,0.12029,0.23447
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.82262,139,173,0.76553,0.87971
1996,Saxony,Urban regions,No,0.91084,262,262,0.87627,0.94541
1996,Saxony,Rural regions,Yes,0.10695,35,259,0.06924,0.14466
1996,Saxony,Rural regions,No,0.89305,224,259,0.85534,0.93076
1996,Saxony-Anhalt,Urban regions,No,0.88187,65,65,0.80280,0.96095
1996,Saxony-Anhalt,Rural regions,Yes,0.21803,64,254,0.16715,0.26891
1996,Saxony-Anhalt,Rural regions,No,0.78197,190,254,0.73109,0.83285
1996,Thuringa,Urban regions,No,0.86396,80,80,0.78836,0.93956
1996,Thuringa,Rural regions,Yes,0.15853,41,232,0.11143,0.20563
1996,Thuringa,Rural regions,No,0.84147,191,232,0.79437,0.88857
2001,Schleswig-Holstein,Urban regions,No,0.84035,133,133,0.77786,0.90283
2001,Schleswig-Holstein,Rural regions,Yes,0.12117,31,206,0.07649,0.16584
2001,Schleswig-Holstein,Rural regions,No,0.87883,175,206,0.83416,0.92351
2001,Hamburg,Urban regions,No,0.96103,174,174,0.93219,0.98987
2001,Lower Saxony,Urban regions,Yes,0.11045,54,482,0.08243,0.13846
2001,Lower Saxony,Urban regions,No,0.88955,428,482,0.86154,0.91757
2001,Lower Saxony,Rural regions,Yes,0.17627,92,479,0.14211,0.21043
2001,Lower Saxony,Rural regions,No,0.82373,387,479,0.78957,0.85789
2001,Bremen,Urban regions,No,0.94906,91,91,0.90363,0.99449
2001,North Rhine-Westphalia,Urban regions,Yes,0.11413,299,2425,0.10147,0.12679
2001,North Rhine-Westphalia,Urban regions,No,0.88587,2126,2425,0.87321,0.89853
2001,North Rhine-Westphalia,Rural regions,No,0.81896,47,47,0.70768,0.93023
2001,Hesse,Urban regions,Yes,0.09310,68,630,0.07039,0.11581
2001,Hesse,Urban regions,No,0.90690,562,630,0.88419,0.92961
2001,Hesse,Rural regions,No,0.88745,129,129,0.83270,0.94220
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.14179,77,550,0.11261,0.17097
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.85821,473,550,0.82903,0.88739
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.85949,141,141,0.80192,0.91705
2001,Baden-Wuerttemberg,Urban regions,Yes,0.10067,132,1228,0.08383,0.11751
2001,Baden-Wuerttemberg,Urban regions,No,0.89933,1096,1228,0.88249,0.91617
2001,Baden-Wuerttemberg,Rural regions,No,0.92639,125,125,0.88042,0.97235
2001,Bavaria,Urban regions,Yes,0.07514,68,805,0.05692,0.09336
2001,Bavaria,Urban regions,No,0.92486,737,805,0.90664,0.94308
2001,Bavaria,Rural regions,Yes,0.13885,123,811,0.11504,0.16266
2001,Bavaria,Rural regions,No,0.86115,688,811,0.83734,0.88496
2001,Berlin,Urban regions,Yes,0.08142,39,481,0.05695,0.10588
2001,Berlin,Urban regions,No,0.91858,442,481,0.89412,0.94305
2001,Brandenburg,Urban regions,No,0.90683,33,33,0.80611,1.00754
2001,Brandenburg,Rural regions,Yes,0.21885,111,463,0.18115,0.25656
2001,Brandenburg,Rural regions,No,0.78115,352,463,0.74344,0.81885
2001,Mecklenburg-Western Pomerania,Urban regions,No,0.88626,36,36,0.78108,0.99145
2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.23302,65,245,0.17997,0.28607
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.76698,180,245,0.71393,0.82003
2001,Saxony,Urban regions,Yes,0.09510,48,420,0.06701,0.12318
2001,Saxony,Urban regions,No,0.90490,372,420,0.87682,0.93299
2001,Saxony,Rural regions,Yes,0.12183,63,429,0.09085,0.15282
2001,Saxony,Rural regions,No,0.87817,366,429,0.84718,0.90915
2001,Saxony-Anhalt,Urban regions,No,0.91485,93,93,0.85782,0.97189
2001,Saxony-Anhalt,Rural regions,Yes,0.24918,113,401,0.20679,0.29157
2001,Saxony-Anhalt,Rural regions,No,0.75082,288,401,0.70843,0.79321
2001,Thuringa,Urban regions,No,0.83544,116,116,0.76767,0.90321
2001,Thuringa,Rural regions,Yes,0.18228,82,350,0.14178,0.22279
2001,Thuringa,Rural regions,No,0.81772,268,350,0.77721,0.85822
2006,Schleswig-Holstein,Urban regions,No,0.91258,143,143,0.86613,0.95904
2006,Schleswig-Holstein,Rural regions,Yes,0.12722,33,230,0.08406,0.17038
2006,Schleswig-Holstein,Rural regions,No,0.87278,197,230,0.82962,0.91594
2006,Hamburg,Urban regions,No,0.98477,187,187,0.96717,1.00237
2006,Lower Saxony,Urban regions,Yes,0.11040,67,526,0.08359,0.13721
2006,Lower Saxony,Urban regions,No,0.88960,459,526,0.86279,0.91641
2006,Lower Saxony,Rural regions,Yes,0.17569,106,548,0.14380,0.20758
