year,hhtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.06648,92,1433,0.05358,0.07938
1996,Single-person household,No,0.93352,1341,1433,0.92062,0.94642
1996,Couple without children,Yes,0.11929,216,1841,0.10448,0.13410
1996,Couple without children,No,0.88071,1625,1841,0.86590,0.89552
1996,Single parent,Yes,0.15281,53,387,0.11691,0.18870
1996,Single parent,No,0.84719,334,387,0.81130,0.88309
1996,Couple with children,Yes,0.16036,394,2686,0.14648,0.17424
1996,Couple with children,No,0.83964,2292,2686,0.82576,0.85352
1996,Multi-generational household,No,0.83706,106,106,0.76642,0.90770
1996,Other Combinations,Yes,0.21578,31,160,0.15184,0.27972
1996,Other Combinations,No,0.78422,129,160,0.72028,0.84816
2001,Single-person household,Yes,0.06397,204,2926,0.05510,0.07284
2001,Single-person household,No,0.93603,2722,2926,0.92716,0.94490
2001,Couple without children,Yes,0.12646,470,3589,0.11558,0.13734
2001,Couple without children,No,0.87354,3119,3589,0.86266,0.88442
2001,Single parent,Yes,0.13232,99,706,0.10731,0.15733
2001,Single parent,No,0.86768,607,706,0.84267,0.89269
2001,Couple with children,Yes,0.18540,790,4175,0.17361,0.19719
2001,Couple with children,No,0.81460,3385,4175,0.80281,0.82639
2001,Multi-generational household,Yes,0.20795,32,159,0.14467,0.27123
2001,Multi-generational household,No,0.79205,127,159,0.72877,0.85533
2001,Other Combinations,No,0.80303,98,98,0.72389,0.88218
2006,Single-person household,Yes,0.07152,241,3288,0.06271,0.08032
2006,Single-person household,No,0.92848,3047,3288,0.91968,0.93729
2006,Couple without children,Yes,0.11788,520,4158,0.10808,0.12768
2006,Couple without children,No,0.88212,3638,4158,0.87232,0.89192
2006,Single parent,Yes,0.14745,115,772,0.12243,0.17248
2006,Single parent,No,0.85255,657,772,0.82752,0.87757
2006,Couple with children,Yes,0.18535,743,3837,0.17306,0.19765
2006,Couple with children,No,0.81465,3094,3837,0.80235,0.82694
2006,Multi-generational household,No,0.81538,79,79,0.72928,0.90149
2006,Other Combinations,No,0.82782,85,85,0.74708,0.90856
2011,Single-person household,Yes,0.07957,273,3510,0.07061,0.08852
2011,Single-person household,No,0.91861,3237,3510,0.90957,0.92766
2011,Couple without children,Yes,0.11768,534,4371,0.10813,0.12723
2011,Couple without children,No,0.88203,3837,4371,0.87247,0.89159
2011,Single parent,Yes,0.07613,117,784,0.05755,0.09471
2011,Single parent,No,0.44871,667,784,0.41388,0.48355
2011,Couple with children,Yes,0.15477,609,3240,0.14231,0.16722
2011,Couple with children,No,0.63961,2631,3240,0.62307,0.65614
2011,Multi-generational household,No,0.70246,63,63,0.58866,0.81626
2011,Other Combinations,No,0.78130,78,78,0.68897,0.87363
2016,Single-person household,Yes,0.07083,236,3388,0.06219,0.07947
2016,Single-person household,No,0.92296,3152,3388,0.91398,0.93194
2016,Couple without children,Yes,0.13634,533,4097,0.12583,0.14685
2016,Couple without children,No,0.86289,3564,4097,0.85235,0.87342
2016,Single parent,Yes,0.16689,248,1524,0.14817,0.18562
2016,Single parent,No,0.82673,1276,1524,0.80773,0.84574
2016,Couple with children,Yes,0.17919,892,4990,0.16854,0.18983
2016,Couple with children,No,0.81324,4098,4990,0.80243,0.82406
2016,Multi-generational household,No,0.85307,85,85,0.77736,0.92878
2016,Other Combinations,No,0.84380,171,171,0.78922,0.89837
2021,Single-person household,Yes,0.06479,222,3188,0.05624,0.07333
2021,Single-person household,No,0.92479,2966,3188,0.91564,0.93395
2021,Couple without children,Yes,0.13436,474,3414,0.12292,0.14580
2021,Couple without children,No,0.86360,2940,3414,0.85208,0.87511
2021,Single parent,Yes,0.21762,192,896,0.19059,0.24466
2021,Single parent,No,0.76669,704,896,0.73898,0.79440
2021,Couple with children,Yes,0.18755,660,3162,0.17394,0.20116
2021,Couple with children,No,0.78960,2502,3162,0.77539,0.80381
2021,Multi-generational household,No,0.76978,55,55,0.65750,0.88207
2021,Other Combinations,Yes,0.14327,38,263,0.10085,0.18569
2021,Other Combinations,No,0.83026,225,263,0.78480,0.87572
