year,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.10234,431,4408,0.09340,0.11129
1996,Urban regions,No,0.89766,3977,4408,0.88871,0.90660
1996,Rural regions,Yes,0.14958,373,2223,0.13475,0.16441
1996,Rural regions,No,0.85042,1850,2223,0.83559,0.86525
2001,Urban regions,Yes,0.10237,871,7783,0.09564,0.10911
2001,Urban regions,No,0.89763,6912,7783,0.89089,0.90436
2001,Rural regions,Yes,0.16406,751,3897,0.15243,0.17569
2001,Rural regions,No,0.83594,3146,3897,0.82431,0.84757
2006,Urban regions,Yes,0.09800,918,8168,0.09156,0.10445
2006,Urban regions,No,0.90200,7250,8168,0.89555,0.90844
2006,Rural regions,Yes,0.16483,747,4097,0.15346,0.17619
2006,Rural regions,No,0.83517,3350,4097,0.82381,0.84654
2011,Urban regions,Yes,0.09242,867,7873,0.08602,0.09881
2011,Urban regions,No,0.83231,7006,7873,0.82406,0.84057
2011,Rural regions,Yes,0.14468,704,4211,0.13406,0.15531
2011,Rural regions,No,0.77595,3507,4211,0.76336,0.78855
2016,Urban regions,Yes,0.10436,1095,9377,0.09817,0.11055
2016,Urban regions,No,0.89016,8282,9377,0.88383,0.89649
2016,Rural regions,Yes,0.15489,861,4925,0.14479,0.16500
2016,Rural regions,No,0.84019,4064,4925,0.82996,0.85043
2021,Urban regions,Yes,0.10904,938,7409,0.10194,0.11614
2021,Urban regions,No,0.87820,6471,7409,0.87075,0.88565
2021,Rural regions,Yes,0.14540,673,3646,0.13395,0.15684
2021,Rural regions,No,0.84650,2973,3646,0.83480,0.85820
